Journée du 18/04/2009
Heures	Consommation	PrévisionJ-1	PrévisionJ		
00:00	53600	53200	53600		
00:15	52718	52300	52550		
00:30	51473	51400	51500		
00:45	50058	50350	50250		
01:00	49180	49300	49000		
01:15	49584	49650	49400		
01:30	48932	50000	49800		
01:45	49377	49800	49550		
02:00	48761	49600	49300		
02:15	49261	49000	48650		
02:30	48047	48400	48000		
02:45	47276	47500	47100		
03:00	46186	46600	46200		
03:15	45836	45900	45500		
03:30	44753	45200	44800		
03:45	44383	44650	44400		
04:00	43882	44100	44000		
04:15	43853	43750	43600		
04:30	43253	43400	43200		
04:45	43132	43200	43050		
05:00	43196	43000	42900		
05:15	43338	43200	43300		
05:30	43631	43400	43700		
05:45	44107	43800	44050		
06:00	44127	44200	44400		
06:15	45065	44500	44700		
06:30	45286	44800	45000		
06:45	45115	44950	45100		
07:00	45102	45100	45200		
07:15	45636	45550	45600		
07:30	46059	46000	46000		
07:45	46499	46700	46700		
08:00	47285	47400	47400		
08:15	48275	48150	48150		
08:30	48888	48900	48900		
08:45	49759	49750	49750		
09:00	50521	50600	50600		
09:15	51222	51350	51150		
09:30	51673	52100	51700		
09:45	51913	52400	51950		
10:00	51910	52700	52200		
10:15	52215	52850	52300		
10:30	52256	53000	52400		
10:45	51919	52900	52200		
11:00	52040	52800	52000		
11:15	52034	52800	52100		
11:30	52010	52800	52200		
11:45	52084	53000	52500		
12:00	52600	53200	52800		
12:15	53068	53350	53150		
12:30	53455	53500	53500		
12:45	54466	54000	54000		
13:00	53847	54500	54500		
13:15	53062	53450	53350		
13:30	52205	52400	52200		
13:45	51597	51800	51700		
14:00	51048	51200	51200		
14:15	51199	50900	51000		
14:30	50486	50600	50800		
14:45	49609	49750	50000		
15:00	49117	48900	49200		
15:15	48677	48500	48850		
15:30	48234	48100	48500		
15:45	47397	47550	48000		
16:00	47213	47000	47500		
16:15	46749	46600	47100		
16:30	46384	46200	46700		
16:45	46334	45800	46350		
17:00	46032	45400	46000		
17:15	45659	45200	45850		
17:30	45931	45000	45700		
17:45	46264	45350	46000		
18:00	46326	45700	46300		
18:15	46729	46250	46850		
18:30	47387	46800	47400		
18:45	47982	47450	48000		
19:00	48801	48100	48600		
19:15	49067	48200	48650		
19:30	48989	48300	48700		
19:45	49158	48300	48650		
20:00	49237	48300	48600		
20:15	49098	48450	48750		
20:30	49318	48600	48900		
20:45	49495	49250	49500		
21:00	50326	49900	50100		
21:15	50464	49650	50000		
21:30	50332	49400	49900		
21:45	49937	49000	49700		
22:00	49394	48600	49500		
22:15	50154	49150	50200		
22:30	50262	49700	50900		
22:45	52872	50600	51950		
23:00	52340	51500	53000		
23:15	52332	51000	52450		
23:30	51685	50500	51900		
23:45	52497	50850	51550		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
