Journée du 14/10/2000
Heures	Consommation	PrévisionJ-1		
00:00	48970	49299		
00:15	48659	48399		
00:30	47060	47500		
00:45	46029	46549		
01:00	45549	45599		
01:15	45939	45949		
01:30	45310	46299		
01:45	45810	45999		
02:00	45009	45700		
02:15	45090	45050		
02:30	44009	44400		
02:45	43569	43599		
03:00	42569	42799		
03:15	41790	42249		
03:30	41360	41700		
03:45	41009	41200		
04:00	40549	40700		
04:15	40069	40300		
04:30	39759	39900		
04:45	39650	39800		
05:00	39619	39700		
05:15	39909	39850		
05:30	39979	40000		
05:45	40209	40399		
06:00	40540	40799		
06:15	41110	41299		
06:30	41279	41799		
06:45	41950	42599		
07:00	42840	43400		
07:15	43779	44550		
07:30	44569	45700		
07:45	45380	46200		
08:00	46000	46700		
08:15	45950	47100		
08:30	46700	47500		
08:45	47360	47950		
09:00	48060	48400		
09:15	48840	48849		
09:30	49159	49299		
09:45	49500	49449		
10:00	49409	49599		
10:15	49490	49449		
10:30	49680	49299		
10:45	49490	49199		
11:00	49380	49099		
11:15	49319	49049		
11:30	49419	49000		
11:45	49430	49149		
12:00	49729	49299		
12:15	50000	49549		
12:30	50000	49799		
12:45	51250	50399		
13:00	50639	51000		
13:15	49900	49799		
13:30	48830	48599		
13:45	48229	48099		
14:00	47759	47599		
14:15	47930	47149		
14:30	47139	46700		
14:45	46380	46100		
15:00	45709	45500		
15:15	45330	45000		
15:30	44779	44500		
15:45	44150	44149		
16:00	43799	43799		
16:15	43650	43499		
16:30	43419	43200		
16:45	43200	42999		
17:00	42830	42799		
17:15	43000	42899		
17:30	42979	43000		
17:45	43380	43500		
18:00	43750	44000		
18:15	44430	44799		
18:30	45200	45599		
18:45	46380	46499		
19:00	47930	47400		
19:15	49250	48900		
19:30	49990	50400		
19:45	50020	50499		
20:00	49970	50599		
20:15	49569	49799		
20:30	48389	49000		
20:45	48049	48299		
21:00	46900	47599		
21:15	46380	46849		
21:30	45779	46099		
21:45	45169	45649		
22:00	44709	45200		
22:15	45479	45749		
22:30	45700	46299		
22:45	47250	46949		
23:00	46720	47599		
23:15	46889	47249		
23:30	46279	46900		
23:45	46659	46550		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
