Journée du 14/07/2003
Heures	Consommation	PrévisionJ-1		
00:00	43611	43400		
00:15	43160	42550		
00:30	42013	41700		
00:45	40868	40950		
01:00	40361	40200		
01:15	40774	40450		
01:30	40130	40700		
01:45	40313	40300		
02:00	39647	39900		
02:15	39959	39350		
02:30	38924	38800		
02:45	38158	38000		
03:00	37154	37200		
03:15	37008	36800		
03:30	36233	36400		
03:45	35971	35950		
04:00	35556	35500		
04:15	35357	35250		
04:30	35201	35000		
04:45	35072	34850		
05:00	35039	34700		
05:15	34935	34700		
05:30	34846	34700		
05:45	34642	34350		
06:00	34243	34000		
06:15	34068	33800		
06:30	34016	33600		
06:45	34062	33800		
07:00	34292	34000		
07:15	34643	34350		
07:30	35072	34700		
07:45	35560	35150		
08:00	36176	35600		
08:15	36999	36250		
08:30	37604	36900		
08:45	38087	37550		
09:00	38731	38200		
09:15	39613	38900		
09:30	40024	39600		
09:45	40817	40200		
10:00	41034	40800		
10:15	41735	41250		
10:30	41978	41700		
10:45	42392	42050		
11:00	42473	42400		
11:15	43009	42700		
11:30	43205	43000		
11:45	43437	43450		
12:00	43598	43900		
12:15	44705	44400		
12:30	44874	44900		
12:45	46069	45450		
13:00	45254	46000		
13:15	44679	45000		
13:30	43808	44000		
13:45	43304	43500		
14:00	42871	43000		
14:15	43045	42600		
14:30	42688	42200		
14:45	42381	41950		
15:00	42021	41700		
15:15	41807	41350		
15:30	41550	41000		
15:45	41199	40750		
16:00	40993	40500		
16:15	40811	40400		
16:30	40946	40300		
16:45	40488	40100		
17:00	40542	39900		
17:15	40359	40050		
17:30	40524	40200		
17:45	40407	40350		
18:00	40782	40500		
18:15	41008	40850		
18:30	41496	41200		
18:45	41720	41600		
19:00	42016	42000		
19:15	42216	42200		
19:30	42444	42400		
19:45	42563	42550		
20:00	42724	42700		
20:15	42911	42550		
20:30	42747	42400		
20:45	42560	42350		
21:00	42599	42300		
21:15	42467	42300		
21:30	42352	42300		
21:45	42787	42800		
22:00	42965	43300		
22:15	44614	44450		
22:30	45328	45600		
22:45	47472	46550		
23:00	46560	47500		
23:15	46596	46750		
23:30	45966	46000		
23:45		45500		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
