Journée du 03/12/2010
Heures	Consommation	PrévisionJ-1	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2	PrévisionJ		
00:00	80133	80300	706	5110	2808	54009	448	7461	5929	3659	8854	80100		
00:15	79577	79550	736	5629	2786	54415	464	6667	6033	2845	9409	79100		
00:30	78081	78800	764	5311	2751	54117	461	5745	6073	2856	9130	78100		
00:45	77028	77800	711	5146	2784	53839	516	5271	6075	2684	8941	77150		
01:00	76426	76800	706	5135	2685	53679	512	6008	6073	1624	8891	76200		
01:15	78639	78150	718	5226	2692	54031	496	6249	6022	3202	8970	77400		
01:30	78522	79500	720	5236	2754	54118	500	6228	6072	2890	9024	78600		
01:45	79164	79350	724	5479	2762	54333	515	5859	6036	3454	9248	78850		
02:00	78279	79200	721	5444	2736	54360	518	5424	6018	3055	9196	79100		
02:15	79159	78700	732	5786	2784	54548	517	5845	5992	2952	9540	78550		
02:30	78017	78200	720	5582	2810	54527	555	5213	6015	2593	9353	78000		
02:45	77287	77150	719	5376	2760	54387	555	4654	6008	2825	9134	77150		
03:00	76248	76100	721	5111	2704	54300	548	4427	6014	2420	8863	76300		
03:15	75996	75700	724	5657	2748	54559	578	3636	6020	2071	9408	75650		
03:30	74977	75300	717	5222	2778	54331	583	3200	6020	2123	8995	75000		
03:45	74535	74950	718	5334	2744	54374	591	2547	6021	2203	9092	74600		
04:00	74200	74600	723	5111	2721	54295	625	2318	6025	2379	8875	74200		
04:15	74235	74550	718	5293	2754	54278	604	2151	6028	2405	9059	74100		
04:30	73949	74500	724	5279	2786	54247	659	2228	6029	1994	9062	74000		
04:45	74189	74450	726	5142	2784	54235	667	2227	6028	2377	8931	74200		
05:00	74396	74400	720	5162	2760	54191	701	2310	6024	2525	8935	74400		
05:15	75612	75150	726	5402	2810	54435	744	2693	6012	2789	9183	75300		
05:30	76162	75900	731	5474	2766	54483	774	3289	6014	2628	9241	76200		
05:45	76994	76650	821	5520	2769	54492	780	4195	6003	2410	9355	77100		
06:00	77866	77400	788	5067	2705	54283	781	5165	6001	3073	8870	78000		
06:15	79967	79050	1011	5041	2796	54398	792	6075	5984	3866	9049	79600		
06:30	81243	80700	1217	5319	2773	54401	788	6560	6047	4137	9497	81200		
06:45	82197	82350	1370	5611	2778	54566	787	7013	6049	4021	9903	82600		
07:00	83686	84000	1452	5668	2786	54476	783	8258	6045	4214	10025	84000		
07:15	84222	85600	1404	5443	2805	54339	756	9790	6051	3631	9780	85200		
07:30	86111	87200	1489	5797	2789	54528	768	10804	6053	3880	10182	86400		
07:45	86386	87700	1531	5578	2733	54461	742	11593	6044	3701	9982	86750		
08:00	86912	88200	1609	5584	2812	54435	698	11669	6055	4048	10083	87100		
08:15	86510	88000	1793	5501	2762	54448	695	10322	6064	4922	10136	86950		
08:30	86815	87800	1371	5640	2775	54464	740	10514	6064	5244	9937	86800		
08:45	87264	87900	1483	5806	2811	54440	743	10724	6062	5193	10197	87100		
09:00	87301	88000	1632	5905	2884	54596	733	10401	6066	5080	10440	87400		
09:15	87217	88300	1702	5989	2816	54757	724	11426	6079	3721	10557	87450		
09:30	87398	88600	1734	6002	2840	54857	713	11372	6073	3805	10601	87500		
09:45	87652	88500	1737	6027	2877	54840	745	11497	6071	3856	10640	87650		
10:00	87488	88400	1723	5958	2882	54835	712	11599	6072	3704	10565	87800		
10:15	87732	88300	1742	5932	2879	54840	723	12830	6122	2661	10575	87850		
