Journée du 08/06/2007
Heures	Consommation	PrévisionJ-1		
00:00	48264	47900		
00:15	47686	46750		
00:30	46141	45600		
00:45	44840	44650		
01:00	43876	43700		
01:15	44433	44050		
01:30	43728	44400		
01:45	44011	44250		
02:00	43435	44100		
02:15	43894	43400		
02:30	42844	42700		
02:45	42087	41900		
03:00	41495	41100		
03:15	40923	40550		
03:30	40157	40000		
03:45	39708	39650		
04:00	39297	39300		
04:15	39187	39150		
04:30	39338	39000		
04:45	39376	39250		
05:00	39619	39500		
05:15	40279	39900		
05:30	40548	40300		
05:45	40746	40550		
06:00	41339	40800		
06:15	42194	41950		
06:30	43350	43100		
06:45	44499	44450		
07:00	45935	45800		
07:15	47580	47200		
07:30	49076	48600		
07:45	49995	49600		
08:00	51049	50600		
08:15	51864	51350		
08:30	52430	52100		
08:45	52898	52700		
09:00	53607	53300		
09:15	54372	53750		
09:30	54836	54200		
09:45	55003	54500		
10:00	55195	54800		
10:15	55289	54950		
10:30	55562	55100		
10:45	55697	55250		
11:00	55665	55400		
11:15	55869	55500		
11:30	56123	55600		
11:45	56251	55800		
12:00	56322	56000		
12:15	56341	55700		
12:30	56253	55400		
12:45	57418	56100		
13:00	56564	56800		
13:15	56032	55950		
13:30	55555	55100		
13:45	55625	55250		
14:00	55581	55400		
14:15	56156	55050		
14:30	55355	54700		
14:45	55241	54350		
15:00	54773	54000		
15:15	54349	53650		
15:30	54027	53300		
15:45	53945	52950		
16:00	53093	52600		
16:15	52612	52150		
16:30	52106	51700		
16:45	51928	51300		
17:00	51610	50900		
17:15	51143	50650		
17:30	51198	50400		
17:45	51128	50350		
18:00	51163	50300		
18:15	51291	50450		
18:30	51266	50600		
18:45	51500	50850		
19:00	51386	51100		
19:15	50896	50350		
19:30	50444	49600		
19:45	50061	49150		
20:00	49335	48700		
20:15	48638	48050		
20:30	48097	47400		
20:45	47813	47000		
21:00	47227	46600		
21:15	47161	46300		
21:30	46763	46000		
21:45	47241	46250		
22:00	47079	46500		
22:15	48577	47500		
22:30	48965	48500		
22:45	51167	49550		
23:00	50527	50600		
23:15	50308	49750		
23:30	49774	48900		
23:45	49249	48600		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
