Journée du 02/01/2007
Heures	Consommation	PrévisionJ-1		
00:00	56170	56100		
00:15	55976	55300		
00:30	54914	54500		
00:45	53876	53750		
01:00	53156	53000		
01:15	53930	53500		
01:30	53592	54000		
01:45	54109	54100		
02:00	53345	54200		
02:15	54295	53800		
02:30	53395	53400		
02:45	52787	52600		
03:00	51793	51800		
03:15	51472	51250		
03:30	50900	50700		
03:45	50536	50350		
04:00	50107	50000		
04:15	50288	49900		
04:30	50184	49800		
04:45	50262	50050		
05:00	50490	50300		
05:15	51623	50900		
05:30	52048	51500		
05:45	52750	52200		
06:00	53479	52900		
06:15	54796	53800		
06:30	55533	54700		
06:45	56447	55850		
07:00	57598	57000		
07:15	58974	58150		
07:30	60112	59300		
07:45	61081	60450		
08:00	62494	61600		
08:15	63025	62350		
08:30	63557	63100		
08:45	63770	63450		
09:00	64135	63800		
09:15	64601	64300		
09:30	65150	64800		
09:45	65676	65250		
10:00	65993	65700		
10:15	66313	66050		
10:30	66588	66400		
10:45	66535	66500		
11:00	66735	66600		
11:15	66920	66900		
11:30	67317	67200		
11:45	67349	67550		
12:00	67852	67900		
12:15	68187	67950		
12:30	68258	68000		
12:45	69563	68550		
13:00	68895	69100		
13:15	68583	68350		
13:30	68106	67600		
13:45	67876	67500		
14:00	67469	67400		
14:15	67910	67100		
14:30	67253	66800		
14:45	66275	66200		
15:00	65798	65600		
15:15	65449	65300		
15:30	65283	65000		
15:45	64650	64750		
16:00	64751	64500		
16:15	64832	64450		
16:30	64671	64400		
16:45	64927	64750		
17:00	65421	65100		
17:15	66376	66500		
17:30	67912	67900		
17:45	69786	69150		
18:00	70670	70400		
18:15	71244	70900		
18:30	71664	71400		
18:45	72214	71900		
19:00	73014	72400		
19:15	72796	71750		
19:30	72090	71100		
19:45	71337	70450		
20:00	70843	69800		
20:15	70344	69050		
20:30	69220	68300		
20:45	68181	67450		
21:00	67685	66600		
21:15	66543	65550		
21:30	65496	64500		
21:45	64819	63650		
22:00	64220	62800		
22:15	64986	63250		
22:30	64941	63700		
22:45	66625	64650		
23:00	65475	65600		
23:15	65168	64600		
23:30	64195	63600		
23:45	64489	63550		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
