Journée du 27/07/2008
Heures	Consommation	PrévisionJ-1	PrévisionJ		
00:00	46140	46300	46200		
00:15	45680	45350	45050		
00:30	44066	44400	43900		
00:45	42779	43200	42850		
01:00	42071	42000	41800		
01:15	42233	42350	42050		
01:30	41749	42700	42300		
01:45	41791	42550	42200		
02:00	41256	42400	42100		
02:15	41166	41550	41250		
02:30	40412	40700	40400		
02:45	39382	39800	39450		
03:00	38508	38900	38500		
03:15	38233	38350	37950		
03:30	37453	37800	37400		
03:45	37115	37400	37000		
04:00	36648	37000	36600		
04:15	36301	36650	36350		
04:30	36158	36300	36100		
04:45	35899	36150	36000		
05:00	35831	36000	35900		
05:15	36001	35950	35850		
05:30	35836	35900	35800		
05:45	35838	35750	35650		
06:00	35408	35600	35500		
06:15	34972	35200	35100		
06:30	34700	34800	34700		
06:45	34431	34700	34550		
07:00	34454	34600	34400		
07:15	35006	35000	34900		
07:30	35330	35400	35400		
07:45	35596	35850	35750		
08:00	36078	36300	36100		
08:15	36759	36950	36750		
08:30	37524	37600	37400		
08:45	38199	38300	38200		
09:00	38972	39000	39000		
09:15	39401	39650	39650		
09:30	40377	40300	40300		
09:45	40881	40800	40800		
10:00	41330	41300	41300		
10:15	41946	41850	41850		
10:30	42391	42400	42400		
10:45	42499	42800	42750		
11:00	43044	43200	43100		
11:15	43358	43500	43450		
11:30	43695	43800	43800		
11:45	43725	44150	44050		
12:00	44413	44500	44300		
12:15	44928	45100	44850		
12:30	45434	45700	45400		
12:45	46503	46300	45850		
13:00	45836	46900	46300		
13:15	45313	45700	45150		
13:30	44039	44500	44000		
13:45	43428	44000	43500		
14:00	43048	43500	43000		
14:15	43095	43300	42800		
14:30	42599	43100	42600		
14:45	42004	42550	42100		
15:00	41627	42000	41600		
15:15	42006	41750	41350		
15:30	41696	41500	41100		
15:45	41400	41150	40800		
16:00	41048	40800	40500		
16:15	40804	40600	40300		
16:30	40648	40400	40100		
16:45	40396	40200	39950		
17:00	40325	40000	39800		
17:15	40427	40000	39800		
17:30	40460	40000	39800		
17:45	40509	40200	40000		
18:00	40860	40400	40200		
18:15	41412	40700	40500		
18:30	41566	41000	40800		
18:45	41805	41400	41200		
19:00	42182	41800	41600		
19:15	42920	42150	41950		
19:30	43162	42500	42300		
19:45	43176	42700	42500		
20:00	43467	42900	42700		
20:15	43660	43050	42800		
20:30	43553	43200	42900		
20:45	43635	43150	42850		
21:00	43457	43100	42800		
21:15	43711	43300	43000		
21:30	43987	43500	43200		
21:45	44769	44100	43800		
22:00	45221	44700	44400		
22:15	46269	45500	45200		
22:30	46799	46300	46000		
22:45	48882	47350	47050		
23:00	48089	48400	48100		
23:15	47980	47350	47200		
23:30	47000	46300	46300		
23:45	46892	45950	45900		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
