Journée du 03/09/2008
Heures	Consommation	PrévisionJ-1	PrévisionJ		
00:00	49274	49600	49300		
00:15	48547	48450	48150		
00:30	47053	47300	47000		
00:45	45547	46200	45900		
01:00	44915	45100	44800		
01:15	45226	45350	45050		
01:30	44658	45600	45300		
01:45	44911	45400	45150		
02:00	44360	45200	45000		
02:15	44626	44600	44500		
02:30	43934	44000	44000		
02:45	42944	43300	43150		
03:00	42390	42600	42300		
03:15	41727	42100	41900		
03:30	41468	41600	41500		
03:45	41119	41400	41100		
04:00	40885	41200	40700		
04:15	40706	40950	40600		
04:30	40664	40700	40500		
04:45	40744	40850	40750		
05:00	41188	41000	41000		
05:15	41783	41600	41600		
05:30	42279	42200	42200		
05:45	42882	42900	43050		
06:00	43926	43600	43900		
06:15	45057	44850	45150		
06:30	46399	46100	46400		
06:45	47416	47350	47500		
07:00	48534	48600	48600		
07:15	49719	49650	49500		
07:30	50396	50700	50400		
07:45	51368	51400	51250		
08:00	52185	52100	52100		
08:15	53068	53000	52800		
08:30	53520	53900	53500		
08:45	54750	54500	54350		
09:00	55388	55100	55200		
09:15	56014	55700	55800		
09:30	56424	56300	56400		
09:45	56739	56550	56700		
10:00	56955	56800	57000		
10:15	57329	57050	57200		
10:30	57495	57300	57400		
10:45	57674	57500	57550		
11:00	57939	57700	57700		
11:15	57947	57900	57950		
11:30	58183	58100	58200		
11:45	58452	58350	58500		
12:00	58755	58600	58800		
12:15	58458	58250	58400		
12:30	58366	57900	58000		
12:45	59129	58450	58700		
13:00	58256	59000	59400		
13:15	57992	58200	58550		
13:30	57615	57400	57700		
13:45	57841	57700	58050		
14:00	57904	58000	58400		
14:15	58156	57750	58150		
14:30	57784	57500	57900		
14:45	57506	57100	57550		
15:00	56794	56700	57200		
15:15	56457	56450	56950		
15:30	56034	56200	56700		
15:45	56108	55800	56350		
16:00	55687	55400	56000		
16:15	55442	55100	55700		
16:30	55161	54800	55400		
16:45	54882	54450	55100		
17:00	54338	54100	54800		
17:15	53804	53700	54400		
17:30	53514	53300	54000		
17:45	53564	53250	54000		
18:00	53693	53200	54000		
18:15	53800	53450	54350		
18:30	54219	53700	54700		
18:45	54559	54050	55100		
19:00	54912	54400	55500		
19:15	55106	54250	55300		
19:30	54616	54100	55100		
19:45	54139	53750	54700		
20:00	53835	53400	54300		
20:15	54036	53550	54350		
20:30	53832	53700	54400		
20:45	54032	54150	54800		
21:00	54038	54600	55200		
21:15	53617	53450	54000		
21:30	52328	52300	52800		
21:45	51656	51850	52300		
22:00	50462	51400	51800		
22:15	50958	51400	51700		
22:30	50781	51400	51600		
22:45	52667	52350	52500		
23:00	51431	53300	53400		
23:15	51250	52150	52150		
23:30	50328	51000	50900		
23:45	50393	50300	50250		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
