Journée du 12/11/2010
Heures	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2	Consommation	PrévisionJ-1	PrévisionJ		
00:00	0	249	1767	49633	3858	2690	5562	-5434	3100	58326	58300	58300		
00:15	0	265	1508	50294	3892	2881	5552	-6484	3018	57908	57500	57500		
00:30	0	242	1294	49507	3877	2573	5550	-6369	2918	56675	56700	56700		
00:45	0	255	1083	49087	3876	1546	5537	-6159	2849	55226	55650	55550		
01:00	0	281	831	48924	3876	1255	5547	-6000	2788	54714	54600	54400		
01:15	0	264	884	49604	3851	769	5545	-5923	2789	54995	54700	54450		
01:30	0	245	856	49524	3846	735	5544	-6412	2761	54339	54800	54500		
01:45	0	271	849	49310	3882	981	5538	-6522	2781	54311	54700	54350		
02:00	0	255	887	48664	3853	1143	5539	-6134	2780	54208	54600	54200		
02:15	0	239	835	48894	3846	769	5541	-6138	2746	53988	54000	53650		
02:30	0	234	686	48135	3876	861	5541	-6263	2688	53070	53400	53100		
02:45	0	271	681	47632	3885	501	5540	-6340	2721	52171	52350	52200		
03:00	0	262	744	46808	3894	133	5541	-6042	2735	51340	51300	51300		
03:15	0	262	759	46752	3891	43	5537	-6532	2739	50712	50650	50650		
03:30	0	275	731	46078	3899	0	5533	-6429	2740	50003	50000	50000		
03:45	0	267	701	45736	3653	0	5533	-6379	2721	49272	49400	49400		
04:00	0	276	737	45283	1695	0	7540	-6384	3546	48900	48800	48800		
04:15	0	268	706	45713	3690	0	5534	-6956	2725	48824	48550	48700		
04:30	0	267	721	45469	3674	0	5535	-6964	2730	48565	48300	48600		
04:45	0	284	734	45487	3665	0	5499	-6833	2736	48694	48550	48700		
05:00	0	292	722	45766	3675	97	5494	-6990	2737	49056	48800	48800		
05:15	0	318	763	46826	3666	768	5479	-8153	2771	49668	49400	49550		
05:30	0	354	754	47263	3637	1239	5504	-8433	2813	50320	50000	50300		
05:45	0	336	798	46983	3662	1601	5530	-8265	2822	50646	50800	51200		
06:00	0	365	764	47743	3645	2137	5529	-8324	2837	51860	51600	52100		
06:15	0	463	1028	48528	3669	3160	5535	-8851	3028	53532	52650	53200		
06:30	0	550	1071	49086	3651	3448	5535	-9031	3127	54311	53700	54300		
06:45	0	586	1182	49445	3655	3891	5529	-8762	3200	55528	55200	55650		
07:00	0	628	1236	50079	3551	4629	5528	-8638	3259	57015	56700	57000		
07:15	0	669	1428	50328	3502	5686	5533	-8966	3369	58180	58000	58200		
07:30	0	753	1628	50647	3547	6258	5537	-8933	3523	59438	59300	59400		
07:45	0	720	1746	50324	3519	6736	5537	-8908	3534	59675	59900	59700		
08:00	0	698	2074	50197	3532	6777	5536	-8781	3631	60035	60500	60000		
08:15	0	728	2065	50241	3529	7365	5551	-9100	3663	60380	60700	60350		
08:30	0	756	2155	50411	3497	7694	5602	-9399	3742	60717	60900	60700		
08:45	0	801	2155	50429	3463	8128	5551	-9468	3765	61059	61250	61000		
09:00	0	773	2105	50149	3432	8404	5550	-9307	3720	61106	61600	61300		
09:15	0	833	2114	50326	3419	8681	5601	-9258	3801	61716	62000	61700		
09:30	0	851	2136	50291	3477	9021	5599	-9312	3825	62063	62400	62100		
09:45	0	847	2110	50086	3538	9070	5594	-9375	3810	61871	62550	62000		
10:00	0	878	2066	49947	3551	9031	5596	-9206	3825	61865	62700	61900		
10:15	0	785	2122	49883	3640	8845	5659	-9197	3781	61739	62550	61700		
10:30	0	772	2133	49800	3680	8719	5599	-9156	3748	61548	62400	61500		
10:45	0	846	2094	49985	3614	8562	5603	-9133	3807	61572	62350	61550		
11:00										61617	62300	61600		
11:15	0	792	2141	49921	3728	8383	5675	-8665	3801	61976	62350	61750		
11:30	0	861	2111	50021	3730	8770	5674	-9275	3856	61893	62400	61900		
11:45	0	878	2098	49915	3709	8871	5671	-9023	3866	62120	62550	62250		
12:00	0	901	2109	49929	3718	8939	5664	-8708	3889	62554	62700	62600		
12:15	0	866	2153	49746	3707	8470	5680	-7839	3878	62784	62500	62500		
12:30	0	862	2074	49637	3693	8622	5682	-7822	3847	62749	62300	62400		
12:45	0	868	2091	49580	3681	9493	5681	-7966	3858	63429	63050	63050		
13:00	0	865	2116	49352	3704	9257	5684	-8168	3866	62811	63800	63700		
13:15	0	944	2113	49740	3711	9133	5672	-8933	3935	62382	62900	62600		
13:30	0	871	2091	49416	3663	8787	5678	-9007	3860	61499	62000	61500		
13:45	0	911	2084	49587	3596	8627	5695	-9191	3903	61309	61550	61300		
14:00	0	866	2119	49299	3599	8077	5713	-8576	3879	61098	61100	61100		
14:15	0	863	2094	49412	3571	7882	5674	-8310	3852	61186	61150	61000		
14:30	0	833	2081	49245	3543	7435	5674	-8252	3818	60559	61200	60900		
14:45	0	877	2074	49444	3558	6601	5645	-8248	3846	59951	60450	60200		
15:00	0	801	2099	49030	3694	6424	5663	-8151	3789	59560	59700	59500		
15:15	0	816	2088	49160	3727	6333	5601	-8676	3775	59049	59350	59200		
15:30	0	740	2063	48990	3760	6257	5595	-8521	3691	58885	59000	58900		
15:45	0	735	2099	48878	3716	5878	5587	-8570	3696	58323	58600	58500		
16:00	0	718	2113	48675	3753	6338	5595	-9145	3688	58048	58200	58100		
16:15	0	841	2102	49072	3733	6967	5546	-10661	3782	57601	58000	57950		
16:30	0	815	2097	49195	3733	7095	5550	-10698	3757	57788	57800	57800		
16:45	0	769	2150	49009	3722	7180	5551	-10506	3732	57876	58050	58000		
