Journée du 20/10/2011
Heures	Consommation	PrévisionJ-1	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2	PrévisionJ		
19:30	66661	67800	0	4523	3663	46103	852	10902	2053	-1436	6482	67200		
19:45	66360	67550	0	4447	3642	46141	855	10277	2042	-1045	6397	66950		
20:00	65707	67300	0	4419	3633	46136	849	9831	2054	-1217	6372	66700		
20:15	64381	66050	0	4514	3678	46164	881	8973	2070	-1901	6486	65450		
20:30	63433	64800	0	4407	3635	46162	885	8529	2077	-2263	6370	64200		
20:45	62387	63900	0	4328	3654	46170	869	7438	2087	-2160	6305	63300		
21:00	61333	63000	0	4072	3624	46138	835	6868	2024	-2230	6024	62400		
21:15	60532	61950	0	4028	3663	45743	845	5526	2045	-1321	6004	61400		
21:30	59241	60900	0	3891	3669	45396	833	5237	2075	-1862	5887	60400		
21:45	58428	59800	0	4092	3676	45341	836	4421	2046	-1986	6070	59300		
22:00	57544	58700	0	3740	3591	44710	840	3887	2040	-1266	5700	58200		
22:15	58018	58750	0	3750	3606	44994	826	3620	2051	-831	5719	58250		
22:30	58287	58800	0	3675	3574	44856	792	3759	2054	-424	5637	58300		
22:45	61014	60250	0	4098	3626	45694	805	4536	2049	203	6060	59750		
23:00	59949	61700	0	3827	3590	45549	786	4263	2052	-121	5788	61200		
23:15	59678	60750	0	3752	3608	45760	767	4060	2032	-303	5714	60150		
23:30	58964	59800	0	3391	3554	45600	735	3819	2035	-173	5349	59100		
23:45	59566	59100	0	3628	3603	45850	724	3548	2032	179	5593	58750		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
