Journée du 27/12/2012
Données consolidées
Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Autres	Ech. physiques	Taux de Co2	Ech. comm. Allemagne	Ech. comm. Angleterre	Ech. comm. Belgique	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse
00:00	59302	58700	57900	527	0	3148	46858	5393	0	7792	-10	690	-5097	31	1219	-1000	-2400	-1100	-864	-1052	
00:15		57750	56950																		
00:30	57300	56800	56000	527	0	3150	46326	5283	0	7435	-886	689	-5224	32							
00:45		55700	54800																		
01:00	54681	54600	53600	527	0	3114	45309	5232	0	7319	-1915	694	-5599	33	1500	-1000	-2400	-1296	-864	-927	
01:15		54850	53700																		
01:30	54362	55100	53800	528	0	3138	45496	5270	0	7189	-2906	687	-5040	34							
01:45		54950	53700																		
02:00	53719	54800	53600	528	0	3136	44782	5148	0	7131	-2904	689	-4790	34	1500	-1000	-2400	-1250	-864	-835	
02:15		54250	52900																		
02:30	53337	53700	52200	528	0	3137	44653	5025	0	7021	-2898	689	-4818	34							
02:45		52800	51300																		
03:00	51401	51900	50400	528	0	3139	42757	4923	0	6972	-2895	693	-4715	36	1295	-1000	-1900	-1128	-864	-828	
03:15		51300	49800																		
03:30	50140	50700	49200	527	0	3141	41525	4848	0	6693	-2910	691	-4375	37							
03:45		50050	48700																		
04:00	48994	49400	48200	527	0	3144	40615	4774	0	6638	-2912	692	-4483	38	1381	-1000	-1900	-1300	-864	-754	
04:15		49100	48000																		
04:30	48505	48800	47800	527	0	3146	40371	4713	0	6623	-2923	691	-4644	38							
04:45		48950	47750																		
05:00	48662	49100	47700	527	0	3142	40394	4625	0	6676	-3039	694	-4357	38	1500	-1000	-1875	-1275	-864	-749	
05:15		49800	48450																		
05:30	49910	50500	49200	526	0	3139	41010	4771	0	6885	-2958	685	-4148	37							
05:45		50800	49750																		
06:00	50939	51100	50300	525	0	3143	42386	4626	0	6996	-2928	685	-4495	36	779	-1000	-2000	-1290	-864	-787	
06:15		51950	51350																		
06:30	53140	52800	52400	525	0	3140	43769	4713	0	7408	-2345	687	-4757	35							
06:45		53650	53200																		
07:00	54665	54500	54000	524	0	3135	45492	4638	0	7471	-2033	687	-5249	33	-102	-1000	-2350	-1100	-864	-1366	
07:15		55500	55150																		
07:30	56783	56500	56300	525	0	3112	47250	4624	0	7539	-645	686	-6307	32							
07:45		57400	57050																		
08:00	58454	58300	57800	524	0	3092	48754	4597	0	7793	-338	684	-6652	30	-535	-1000	-2375	-1100	-864	-2389	
08:15		58650	58250																		
08:30	59383	59000	58700	518	0	3102	49438	4611	2	9791	-54	677	-8701	29							
08:45		59350	59100																		
09:00	60069	59700	59500	520	0	3089	49809	4625	34	9765	-2	681	-8451	29	-489	-1000	-2400	-1084	-864	-2585	
09:15		60350	59950																		
09:30	61038	61000	60400	521	0	3241	50449	4930	145	9758	-2	660	-8663	29							
09:45		61250	60800																		
10:00	62288	61500	61200	520	0	3058	51149	5075	273	9693	-2	672	-8151	28	-488	-1000	-2400	-1100	-864	-2601	
10:15		61600	61500																		
10:30	62652	61700	61800	520	0	3054	51354	5137	451	10064	-3	673	-8600	28							
10:45		61700	61900																		
11:00	62887	61700	62000	526	0	3028	51283	5309	591	9973	-2	675	-8496	27	-963	-1000	-2400	-1100	-864	-2569	
11:15		62200	62600																		
11:30	63881	62700	63200	521	0	3044	51595	5578	681	10583	-3	679	-8797	27							
11:45		62950	63950																		
12:00	64801	63200	64700	518	0	3008	51700	5726	913	10959	-2	679	-8700	27	-1125	-1000	-2400	-1100	-864	-3200	
12:15		62950	64550																		
12:30	65035	62700	64400	519	0	3075	51850	5888	1015	12032	-3	692	-10034	26							
12:45		63450	64850																		
13:00	65366	64200	65300	519	0	3100	51540	5970	973	12519	-2	684	-9937	26	-1690	-1000	-2400	-1051	-864	-3200	
13:15		63100	64100																		
13:30	63856	62000	62900	518	0	3111	51345	5991	931	11809	-2	687	-10534	27							
13:45		61850	62650																		
14:00	62940	61700	62400	519	0	3124	51400	6068	854	10607	-3	683	-10311	27	-1593	-1000	-2400	-1026	-864	-3200	
14:15		61350	62200																		
14:30	62808	61000	62000	518	0	3077	51459	6116	752	10495	-3	678	-10285	27							
14:45		60200	61050																		
15:00	61414	59400	60100	518	0	3134	51242	6168	619	9191	-9	681	-10129	28	-1771	-1000	-2400	-1090	-864	-3200	
15:15		59000	59550																		
15:30	60623	58600	59000	518	0	3112	51015	6176	443	9247	-359	675	-10203	28							
15:45		58650	59050																		
16:00	60147	58700	59100	517	0	3174	51252	6145	294	8858	-556	675	-10212	29	0	-1000	-2400	-1100	-864	-2900	
16:15		58800	59150																		
16:30	60284	58900	59200	519	0	3153	50706	6080	125	8358	-331	675	-9002	29							
16:45		59400	59700																		
17:00	61014	59900	60200	519	0	3189	50869	5957	30	8562	-330	670	-8451	29	-325	-1000	-2400	-950	-864	-2900	
17:15		61250	61550																		
17:30	63778	62600	62900	522	0	3134	51911	5844	2	10218	-137	669	-8385	28							
17:45		63700	64000																		
18:00	66034	64800	65100	522	0	3200	52001	5667	0	12289	-7	674	-8311	27	-5	-1000	-2400	-1100	-864	-2750	
18:15		65250	65500																		
18:30	66938	65700	65900	520	0	3211	52060	5603	0	13121	-7	680	-8250	27							
18:45		66150	66350																		
19:00	67871	66600	66800	520	0	3253	52489	5455	0	13662	-27	695	-8175	27	-1800	-1000	-2400	-1100	-864	-3050	
19:15		66000	66200																		
19:30	67186	65400	65600	521	0	3088	52820	5244	0	15208	-59	693	-10329	26							
19:45		64700	64900																		
20:00	65754	64000	64200	526	0	3096	52659	5033	0	13645	-62	691	-9835	26	-1800	-1000	-2400	-1100	-864	-3200	
20:15		63100	63250																		
20:30	63378	62200	62300	526	0	3124	52410	4863	0	12085	-61	684	-10254	27							
20:45		61250	61350																		
21:00	61560	60300	60400	527	0	3120	52587	4772	0	10320	-57	685	-10394	28	-1594	-1000	-2400	-1100	-864	-3200	
21:15		59550	59650																		
21:30	59615	58800	58900	527	0	3122	51950	4619	0	8972	-22	690	-10243	29							
21:45		58250	58350																		
22:00	58192	57700	57800	527	0	3125	51659	4512	0	8240	-329	694	-10235	29	-1051	-1000	-2400	-1100	-864	-3200	
22:15		58300	58350																		
22:30	58548	58900	58900	526	0	3161	51771	4313	0	8161	-263	690	-9811	30							
22:45		59950	59950																		
23:00	61333	61000	61000	527	0	3136	52420	4161	0	9776	-8	697	-9375	29	-1092	-1000	-2400	-1100	-864	-3200	
23:15		60050	60050																		
23:30	60151	59100	59100	530	0	3169	52276	3990	0	9246	-8	698	-9749	29							
23:45		58950	58950																		
RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
