Journée du 09/08/2011
Données temps réel
Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Autres	Ech. physiques	Taux de Co2	Ech. comm. Allemagne	Ech. comm. Angleterre	Ech. comm. Belgique	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse
00:00	42844	43000	42800	0	0	233	42224	2185	ND	4413	ND	1579	-7768	14	ND	ND	ND	ND	ND	ND	
00:15	41951	41900	41600	0	0	228	43108	2212	ND	3791	ND	1582	-8949	14							
00:30	40405	40800	40400	0	0	229	42474	2185	ND	3176	ND	1583	-9221	14							
00:45	38966	39650	39200	0	0	229	41969	2163	ND	2174	ND	1576	-9126	14							
01:00	38119	38500	38000	0	0	231	41312	2151	ND	1983	ND	1570	-9107	15	ND	ND	ND	ND	ND	ND	
01:15	38392	38550	38050	0	0	231	41245	2137	ND	1317	ND	1583	-8099	15							
01:30	37873	38600	38100	0	0	230	40556	2162	ND	1273	ND	1588	-7916	15							
01:45	38007	38450	37900	0	0	230	40740	2093	ND	1192	ND	1587	-7812	15							
02:00	37363	38300	37700	0	0	231	40214	2041	ND	1200	ND	1580	-7881	15	ND	ND	ND	ND	ND	ND	
02:15	37540	37700	37100	0	0	230	40581	2007	ND	907	ND	1583	-7733	15							
02:30	36485	37100	36500	0	0	232	39609	2035	ND	860	ND	1591	-7805	15							
02:45	35942	36350	35750	0	0	231	39113	2041	ND	687	ND	1586	-7692	16							
03:00	35075	35600	35000	0	0	233	38482	2037	ND	606	ND	1585	-7847	16	ND	ND	ND	ND	ND	ND	
03:15	34684	35100	34500	0	0	234	38369	2060	ND	104	ND	1595	-7654	16							
03:30	34128	34600	34000	0	0	233	38053	2023	ND	163	ND	1583	-7902	16							
03:45	33813	34250	33700	0	0	235	37520	2041	ND	198	ND	1577	-7736	17							
04:00	33414	33900	33400	0	0	235	37327	2024	ND	188	ND	1571	-7907	17	ND	ND	ND	ND	ND	ND	
04:15	33452	33750	33300	0	0	231	37033	2022	ND	0	ND	1549	-7360	17							
04:30	33451	33600	33200	0	0	234	36656	2018	ND	0	ND	1551	-6985	17							
04:45	33234	33750	33400	0	0	234	36311	2014	ND	114	ND	1584	-7004	17							
05:00	33607	33900	33600	0	0	233	36932	1994	ND	143	ND	1559	-7234	17	ND	ND	ND	ND	ND	ND	
05:15	33994	34200	33900	0	0	228	37440	1976	ND	1534	ND	1561	-8726	16							
05:30	34233	34500	34200	45	0	232	37645	1890	ND	1546	ND	1578	-8685	17							
05:45	34507	35050	34800	45	0	234	37819	1846	ND	1876	ND	1572	-8865	17							
06:00	35224	35600	35400	90	0	232	38429	1803	ND	1930	ND	1558	-8800	17	ND	ND	ND	ND	ND	ND	
06:15	35940	35900	35800	116	0	232	39269	1777	ND	2473	ND	1578	-9485	17							
06:30	36232	36200	36200	196	0	229	39623	1755	ND	2440	ND	1575	-9565	18							
