Journée du 18/10/2010
Heures	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2	Consommation	PrévisionJ-1	PrévisionJ		
00:00	0	1700	2022	42152	1058	3888	1801	2204	3080	54826	55200	54800		
00:15	0	1838	2009	42424	1062	3992	1801	1447	3208	54576	54450	54050		
00:30	0	1751	1976	41934	1068	3242	1806	1442	3115	53221	53700	53300		
00:45	0	1747	1987	41821	1048	1642	1805	1872	3114	51925	52700	52200		
01:00	0	1691	2011	41885	1041	1366	1806	1342	3069	51143	51700	51100		
01:15	0	1939	1920	42627	1027	1545	1814	877	3278	51750	51900	51450		
01:30	0	1775	1880	41989	1018	1274	1814	1425	3106	51177	52100	51800		
01:45	0	1915	1958	42245	985	1266	1785	1416	3257	51572	52050	51700		
02:00	0	1849	1977	42265	957	1021	1786	1046	3201	50903	52000	51600		
02:15	0	2079	1923	42642	924	1583	1781	201	3400	51136	51350	51000		
02:30	0	1893	1906	42292	918	1384	1785	274	3217	50453	50700	50400		
02:45	0	1714	1971	41970	909	1139	1788	256	3070	49749	50000	49650		
03:00	0	1762	2020	41905	895	635	1790	-72	3134	48936	49300	48900		
03:15	0	1838	2030	42046	884	688	1782	-837	3208	48431	48800	48350		
03:30	0	1880	2050	42106	890	165	1781	-1039	3255	47834	48300	47800		
03:45	0	1729	2043	41838	909	4	1785	-883	3109	47425	47750	47450		
04:00	0	1644	2022	41713	881	0	1784	-707	3019	47200	47200	47100		
04:15	0	1805	2032	41920	886	0	1789	-1028	3180	47262	47300	47150		
04:30	0	1818	2061	41903	899	0	1786	-1025	3201	47253	47400	47200		
04:45	0	1894	2043	41975	888	0	1780	-1081	3266	47294	47750	47600		
05:00	0	1979	2035	41853	883	0	1782	-320	3345	48028	48100	48000		
05:15	0	2123	2184	41992	861	0	1779	547	3536	49392	49350	49050		
05:30	0	2406	2210	42299	862	281	1782	276	3818	50118	50600	50100		
05:45	0	2577	2203	42436	864	843	1779	210	3978	50913	51550	51400		
06:00	0	2799	2200	42737	839	1121	1778	1194	4190	52670	52500	52700		
06:15	0	2742	2350	42455	822	1694	1829	2916	4210	54810	54550	54700		
06:30	0	2972	2496	42775	821	2715	1833	2947	4485	56561	56600	56700		
06:45	0	3026	2484	42947	820	4248	1833	2777	4532	58136	58700	58500		
07:00	0	3190	2472	42952	831	5262	1836	3780	4686	60325	60800	60300		
07:15	0	3185	2511	43013	826	6040	1856	5643	4704	63076	62650	62450		
07:30	0	3221	2474	43075	853	7833	1849	5302	4722	64610	64500	64600		
07:45	125	3300	2474	43223	850	8300	1860	5439	4902	65573	65150	65500		
08:00	158	3358	2459	43198	857	8503	1875	6006	4985	66416	65800	66400		
08:15	160	3365	2544	43010	859	9007	1916	5733	5041	66596	66000	66400		
08:30	158	3239	2493	42955	857	9258	1925	5524	4903	66411	66200	66400		
08:45	158	3277	2469	42975	859	9316	1933	5640	4934	66628	66300	66700		
09:00	158	3368	2517	42977	875	9084	1934	6069	5039	66984	66400	67000		
09:15	160	3542	2426	42995	884	9734	1997	6033	5200	67775	66550	67400		
09:30	156	3415	2384	42959	879	9717	2000	6296	5061	67807	66700	67800		
09:45	156	3456	2387	42979	847	9880	2040	6078	5118	67826	66700	67800		
10:00	160	3425	2435	42989	830	9760	2039	6179	5108	67818	66700	67800		
10:15	160	3354	2402	42995	811	10226	2121	5596	5061	67667	66700	67750		
10:30	156	3367	2402	42989	788	10103	2121	5872	5070	67798	66700	67700		
10:45	162	3468	2410	43030	771	9853	2110	5995	5170	67800	66650	67600		
11:00	158	3397	2432	43000	764	9658	2109	5945	5107	67466	66600	67500		
11:15	160	3456	2462	42998	760	9283	2177	6136	5202	67432	66550	67500		
11:30	158	3457	2474	43037	779	9094	2182	6275	5208	67458	66500	67500		
11:45	160	3495	2481	43037	775	9006	2137	6161	5231	67255	66500	67600		
12:00	160	3585	2502	43046	786	8756	2134	6596	5324	67567	66500	67700		
12:15	158	3599	2475	43046	781	7843	2172	7130	5341	67205	66000	67200		
12:30	160	3525	2387	43066	831	7545	2170	6924	5239	66609	65500	66700		
12:45	160	3565	2397	43051	853	8268	2216	7053	5299	67565	66000	67200		
13:00	158	3380	2380	43077	869	7498	2213	7073	5113	66650	66500	67700		
13:15	156	3389	2393	43078	858	7203	2207	7052	5122	66337	65350	66600		
13:30	158	3329	2385	43036	893	6518	2206	6989	5063	65516	64200	65500		
13:45	158	3412	2411	42914	906	6444	2200	7052	5149	65500	63950	65350		
14:00	160	3343	2388	42922	910	6202	2201	7047	5077	65175	63700	65200		
14:15	182	3515	2406	42954	924	6825	2119	6315	5233	65242	63550	65000		
14:30	221	3452	2383	42910	932	6227	2118	6151	5196	64397	63400	64800		
14:45	232	3334	2405	42900	933	5627	2118	6023	5099	63573	62450	63800		
15:00	288	3112	2394	42824	918	5098	2118	6298	4927	63051	61500	62800		
15:15	351	3202	2426	42158	952	5909	2067	5682	5054	62749	61000	62200		
15:30	407	3091	2471	41742	990	5981	2053	5508	5003	62244	60500	61600		
15:45	494	3081	2430	41676	1007	5584	2041	5484	5044	61799	60050	61100		
16:00	459	2963	2388	41708	1009	5309	2046	5501	4889	61384	59600	60600		
16:15	552	3159	2446	41715	953	4333	1987	5666	5149	60814	59350	60250		
16:30	528	3089	2497	41733	978	3893	1986	5857	5081	60564	59100	59900		
16:45	495	3179	2480	41695	995	3630	1991	5511	5137	59978	58950	59700		
17:00	409	2970	2631	41689	1028	3788	1995	5437	4923	59948	58800	59500		
17:15	346	2861	2656	41762	1023	4104	1948	4752	4759	59455	58750	59350		
17:30	333	2826	2685	41798	999	4004	1948	5086	4725	59681	58700	59200		
17:45	376	2910	2661	41786	1005	4287	1943	5130	4829	60100	59150	59600		
18:00	430	2864	2634	41708	1037	4603	1936	5521	4816	60735	59600	60000		
18:15	549	2966	2708	41793	1023	5878	1919	4728	5029	61565	60450	60850		
18:30	636	3104	2688	41827	1033	6450	1920	4775	5224	62435	61300	61700		
18:45	651	3132	2676	41940	1052	8104	1923	5126	5260	64606	63200	63550		
19:00	705	3174	2682	41979	1082	10241	1920	4892	5344	66677	65100	65400		
19:15	674	3072	2724	41957	1098	10708	1913	6169	5234	68318	66450	66700		
19:30	1145	3088	2686	41969	1133	11204	1910	5968	5611	69105	67800	68000		
19:45	1166	3065	2646	41985	1148	11059	1912	6108	5592	69092	67200	67400		
20:00	1107	3008	2663	41992	1195	10555	1916	5598	5498	68036	66600	66800		
20:15	1106	3170	2656	42023	1215	10370	1914	4305	5649	66760	65300	65500		
20:30	1036	3220	2615	42032	1246	8854	1913	4514	5626	65431	64000	64200		
20:45	932	2881	2636	41843	1253	8611	1912	4553	5225	64623	63050	63250		
21:00	770	2831	2680	41841	1251	7575	1916	4284	5065	63149	62100	62300		
21:15	656	2709	2620	41796	1276	6778	1911	4347	4833	62094	61000	61200		
21:30	519	2506	2573	41622	1300	6032	1910	4518	4511	60981	59900	60100		
21:45	602	2538	2634	41558	1322	4476	1907	5145	4629	60183	58850	59050		
22:00	597	2524	2744	41110	1360	4367	1905	4647	4650	59255	57800	58000		
22:15	747	2864	2713	40657	1397	5407	1916	3942	5090	59645	58150	58350		
22:30	692	2913	2630	40778	1444	5308	1917	4275	5064	59959	58500	58700		
22:45	816	3175	2647	40848	1483	6966	1905	4553	5416	62395	59650	59850		
23:00	748	3031	2674	40801	1529	6630	1906	3866	5233	61186	60800	61000		
23:15	679	3025	2612	40788	1539	6361	1915	4123	5153	61044	59950	60100		
23:30	624	2909	2612	40319	1590	5830	1906	4411	4994	60203	59100	59200		
23:45	829	3204	2665	39852	1619	6177	1906	4664	5461	60918	58650	58750		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
