Journée du 18/08/2010
Heures	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2	Consommation	PrévisionJ-1	PrévisionJ		
00:00	0	0	1096	43069	744	4688	1400	-5778	937	45202	44600	45200		
00:15	0	22	835	44315	737	4999	1403	-7991	882	44321	43450	44050		
00:30	0	22	569	43500	760	4732	1385	-8071	780	42898	42300	42900		
00:45	0	30	584	42573	770	3708	1391	-7684	795	41373	41200	41700		
01:00	0	28	590	42167	750	3333	1401	-7733	799	40536	40100	40500		
01:15	0	0	592	42031	769	3312	1392	-7438	745	40633	40150	40700		
01:30	0	0	583	41410	777	3332	1393	-7388	748	40087	40200	40900		
01:45	0	0	576	41757	755	3206	1400	-7308	748	40367	40100	40700		
02:00	0	0	590	41379	778	3187	1387	-7588	753	39720	40000	40500		
02:15	0	0	534	41108	765	3449	1393	-7318	736	39917	39500	40200		
02:30	0	0	600	40054	775	3457	1393	-7354	760	38913	39000	39900		
02:45	0	0	550	38985	769	3601	1403	-7179	745	38115	38100	38650		
03:00	0	0	550	38504	731	3293	1399	-7146	741	37314	37200	37400		
03:15	0	0	541	38573	743	3045	1390	-7386	737	36892	36800	36900		
03:30	0	0	611	38043	743	3011	1388	-7373	759	36406	36400	36400		
03:45	0	0	574	38035	762	2499	1384	-7330	744	35908	36000	36000		
04:00	0	0	571	37897	756	2431	1393	-7369	754	35671	35600	35600		
04:15	0	0	584	38457	741	2391	1389	-7876	749	35669	35500	35550		
04:30	0	6	566	38267	762	2399	1380	-7825	761	35556	35400	35500		
04:45	0	3	562	38379	784	2414	1378	-7878	756	35642	35600	35650		
05:00	0	1	571	38690	818	2440	1382	-8152	759	35751	35800	35800		
05:15	0	78	603	39389	846	2596	1379	-8623	843	36269	36150	36150		
05:30	0	61	564	40010	873	2606	1382	-8984	814	36513	36500	36500		
05:45	0	88	592	40143	864	2773	1383	-8936	851	36908	37050	37050		
06:00	0	122	561	40408	873	2975	1375	-8512	869	37802	37600	37600		
06:15	0	148	628	41692	858	3125	1387	-9357	923	38482	38350	38300		
06:30	0	157	604	41723	853	3147	1383	-8864	921	39004	39100	39000		
06:45	0	198	589	41911	872	3158	1388	-8989	957	39129	39300	39200		
07:00	0	269	664	42237	877	3319	1373	-9328	1046	39411	39500	39400		
07:15	0	332	703	42491	853	3844	1378	-9466	1123	40136	40200	40250		
07:30	0	359	769	43221	860	4110	1383	-9588	1174	41115	40900	41100		
07:45	0	347	790	43810	838	4597	1375	-9998	1167	41760	41800	41950		
08:00	0	307	1078	44288	819	4616	1382	-9720	1235	42771	42700	42800		
08:15	0	262	1205	44090	818	4852	1431	-8890	1258	43769	43500	43650		
08:30	0	290	1444	44524	853	4897	1441	-8885	1375	44566	44300	44500		
08:45	0	328	1424	44924	849	5370	1438	-8955	1403	45379	45150	45400		
09:00	0	369	1620	44896	851	5536	1434	-8654	1511	46052	46000	46300		
09:15	0	412	1644	45344	845	5634	1511	-8413	1591	46977	46700	46850		
09:30	0	412	1609	45191	833	6520	1517	-8562	1581	47521	47400	47400		
09:45	0	390	1630	44980	832	6992	1521	-8203	1569	48141	47850	47900		
10:00	0	407	1659	45145	808	7206	1519	-8430	1595	48314	48300	48400		
10:15	0	375	1645	44915	827	7554	1593	-8006	1589	48904	48650	48750		
10:30	0	385	1652	45131	824	7536	1585	-7980	1598	49134	49000	49100		
10:45	0	391	1559	45195	780	7824	1614	-8091	1582	49274	49300	49350		
11:00	0	389	1563	45234	747	7886	1593	-7833	1573	49581	49600	49600		
11:15	0	364	1669	45201	755	7636	1647	-7450	1609	49822	49800	49850		
11:30	0	389	1621	45352	766	7755	1647	-7454	1616	50077	50000	50100		
11:45	0	389	1657	45297	747	8047	1649	-7345	1629	50442	50350	50450		
12:00	0	395	1639	45267	762	8026	1655	-6975	1631	50769	50700	50800		
12:15	0	361	1652	45009	790	7842	1684	-6296	1615	51042	50800	50900		
12:30	0	364	1644	44978	739	7873	1686	-6298	1615	50986	50900	51000		
12:45	0	407	1643	45317	770	8261	1684	-6460	1655	51622	51400	51400		
13:00	0	406	1649	44779	748	8163	1680	-6537	1655	50888	51900	51800		
