Journée du 03/10/2010
Heures	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2	Consommation	PrévisionJ-1	PrévisionJ		
00:00	0	1359	1697	38669	2613	4340	1719	-2348	2603	48049	48000	48000		
00:15	0	1590	1405	39785	2647	5203	1701	-4801	2712	47531	47100	46900		
00:30	0	1433	1077	39094	2610	4591	1703	-4588	2444	45921	46200	45800		
00:45	0	1319	950	38777	2558	3961	1701	-4856	2288	44411	45100	44650		
01:00	0	1374	822	39050	2518	3238	1697	-4891	2294	43809	44000	43500		
01:15	0	1473	896	39350	2505	3067	1695	-5178	2414	43808	44000	43750		
01:30	0	1419	864	39129	2534	2750	1694	-5186	2351	43206	44000	44000		
01:45	0	1499	805	39313	2453	2683	1696	-5134	2407	43317	43750	43750		
02:00	0	1085	803	38807	2426	2444	1697	-4849	2009	42413	43500	43500		
02:15	0	1216	824	39502	2491	2014	1698	-4978	2143	42769	42850	43150		
02:30	0	1002	779	38595	2459	1620	1698	-4729	1921	41425	42200	42800		
02:45	0	940	790	38810	2452	914	1695	-4919	1864	40682	41250	41300		
03:00	0	936	828	38420	2397	601	1695	-5180	1874	39698	40300	39800		
03:15	0	1065	813	39186	2348	0	1692	-5895	1992	39054	39600	39100		
03:30	0	989	775	38819	2359	0	1690	-6050	1904	38393	38900	38400		
03:45	0	967	780	38938	2323	0	1689	-5974	1884	38020	38350	37850		
04:00	0	892	563	38747	2368	0	1689	-6196	1734	37330	37800	37300		
04:15	0	874	318	38817	2339	0	1688	-6293	1629	36989	37450	37000		
04:30	0	905	334	38904	2323	0	1688	-6636	1664	36750	37100	36700		
04:45	0	921	352	38750	2344	0	1691	-6549	1687	36690	36900	36550		
05:00	0	935	350	38515	2383	0	1689	-6472	1699	36574	36700	36400		
05:15	0	945	320	38680	2390	0	1690	-6604	1698	36547	36700	36500		
05:30	0	966	314	38835	2438	0	1690	-6739	1716	36668	36700	36600		
05:45	0	952	313	38695	2469	0	1691	-6558	1703	36741	36850	36850		
