Journée du 01/07/2006
Heures	Consommation	PrévisionJ-1		
00:00	49375	49200		
00:15	47988	48100		
00:30	46511	47000		
00:45	45192	45750		
01:00	44323	44500		
01:15	44660	44800		
01:30	43825	45100		
01:45	44078	44850		
02:00	43241	44600		
02:15	43780	43900		
02:30	42483	43200		
02:45	41548	42150		
03:00	40656	41100		
03:15	40055	40650		
03:30	39436	40200		
03:45	38896	39750		
04:00	38419	39300		
04:15	38586	39050		
04:30	38182	38800		
04:45	37935	38700		
05:00	37819	38600		
05:15	37898	38600		
05:30	37970	38600		
05:45	37733	38300		
06:00	37420	38000		
06:15	37547	38250		
06:30	37791	38500		
06:45	38415	38900		
07:00	38793	39300		
07:15	39509	39950		
07:30	39881	40600		
07:45	40951	41350		
08:00	41717	42100		
08:15	42481	42800		
08:30	43134	43500		
08:45	44258	44350		
09:00	44875	45200		
09:15	45969	45800		
09:30	46246	46400		
09:45	47080	46900		
10:00	47407	47400		
10:15	47904	47700		
10:30	48093	48000		
10:45	48209	48200		
11:00	48401	48400		
11:15	48536	48650		
11:30	48777	48900		
11:45	48858	49150		
12:00	49258	49400		
12:15	50010	49700		
12:30	50067	50000		
12:45	51462	50850		
13:00	50828	51700		
13:15	50151	50600		
13:30	49155	49500		
13:45	48771	49150		
14:00	48354	48800		
14:15	48849	48550		
14:30	48410	48300		
14:45	47837	47950		
15:00	47291	47600		
15:15	47235	47400		
15:30	46971	47200		
15:45	46541	46800		
16:00	46341	46400		
16:15	46140	46200		
16:30	45733	46000		
16:45	45319	45850		
17:00	45175	45700		
17:15	45260	45550		
17:30	45365	45400		
17:45	45474	45550		
18:00	45606	45700		
18:15	45742	45900		
18:30	45938	46100		
18:45	46160	46450		
19:00	46231	46800		
19:15	46064	46500		
19:30	45595	46200		
19:45	45197	45900		
20:00	45077	45600		
20:15	44708	45100		
20:30	44114	44600		
20:45	43952	44250		
21:00	43542	43900		
21:15	43249	43700		
21:30	42561	43500		
21:45	42794	43800		
22:00	43746	44100		
22:15	44943	45250		
22:30	45380	46400		
22:45	47525	47600		
23:00	47506	48800		
23:15	48304	48150		
23:30	47509	47500		
23:45	47516	47050		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
