Journée du 16/11/2008
Heures	Consommation	PrévisionJ-1	PrévisionJ		
00:00	56497	57000	56500		
00:15	56436	56250	55600		
00:30	54759	55500	54700		
00:45	53684	54200	53700		
01:00	52961	52900	52700		
01:15	53743	53250	53250		
01:30	52944	53600	53800		
01:45	53383	53450	53650		
02:00	52493	53300	53500		
02:15	52796	52600	52550		
02:30	51696	51900	51600		
02:45	50843	50850	50550		
03:00	49510	49800	49500		
03:15	48958	49050	48850		
03:30	48220	48300	48200		
03:45	47365	47550	47500		
04:00	46819	46800	46800		
04:15	46483	46450	46400		
04:30	46046	46100	46000		
04:45	45677	45750	45650		
05:00	45336	45400	45300		
05:15	45699	45500	45500		
05:30	45756	45600	45700		
05:45	45854	45700	45750		
06:00	45723	45800	45800		
06:15	46275	46100	46100		
06:30	46368	46400	46400		
06:45	46352	46750	46500		
07:00	46581	47100	46600		
07:15	47101	47300	46900		
07:30	47189	47500	47200		
07:45	47210	47700	47300		
08:00	47359	47900	47400		
08:15	47813	48350	47900		
08:30	48229	48800	48400		
08:45	49066	49600	49100		
09:00	49739	50400	49800		
09:15	50580	51100	50450		
09:30	51079	51800	51100		
09:45	51551	52350	51650		
10:00	52140	52900	52200		
10:15	52728	53300	52650		
10:30	53069	53700	53100		
10:45	53431	54000	53450		
11:00	53821	54300	53800		
11:15	53983	54550	54150		
11:30	54481	54800	54500		
11:45	54816	55000	54850		
12:00	55243	55200	55200		
12:15	56021	55750	55800		
12:30	56421	56300	56400		
12:45	57770	57000	57100		
13:00	56954	57700	57800		
13:15	56210	56350	56550		
13:30	55294	55000	55300		
13:45	54288	54250	54450		
14:00	53591	53500	53600		
14:15	53335	53150	53550		
14:30	52802	52800	53500		
14:45	52109	52150	52650		
15:00	51554	51500	51800		
15:15	51438	51300	51400		
15:30	51027	51100	51000		
15:45	50679	50800	50500		
16:00	50446	50500	50000		
16:15	50595	50500	49800		
16:30	50404	50500	49600		
16:45	50647	50750	49900		
17:00	51207	51000	50200		
17:15	52137	52300	51600		
17:30	54139	53600	53000		
17:45	55715	54950	54400		
18:00	57093	56300	55800		
18:15	57945	57250	56850		
18:30	58458	58200	57900		
18:45	59183	59000	58750		
19:00	59953	59800	59600		
19:15	59855	59650	59400		
19:30	59677	59500	59200		
19:45	59416	59400	59100		
20:00	59369	59300	59000		
20:15	59015	58900	58550		
20:30	58470	58500	58100		
20:45	58105	57950	57550		
21:00	57231	57400	57000		
21:15	56668	56700	56250		
21:30	55524	56000	55500		
21:45	55138	55400	54850		
22:00	54451	54800	54200		
22:15	54745	55150	54550		
22:30	54811	55500	54900		
22:45	57115	56750	56100		
23:00	56263	58000	57300		
23:15	56237	57200	56550		
23:30	55270	56400	55800		
23:45	55810	55650	55350		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
