Journée du 02/09/2009
Heures	Consommation	PrévisionJ-1	PrévisionJ		
00:00	48634	48900	48600		
00:15	48057	47750	47500		
00:30	46196	46600	46400		
00:45	44868	45450	45250		
01:00	44295	44300	44100		
01:15	44672	44550	44350		
01:30	43787	44800	44600		
01:45	43968	44650	43900		
02:00	43390	44500	43200		
02:15	43702	43950	42950		
02:30	42744	43400	42700		
02:45	42149	42650	41850		
03:00	40994	41900	41000		
03:15	40727	41350	40500		
03:30	40023	40800	40000		
03:45	39748	40450	39900		
04:00	39622	40100	39800		
04:15	39747	40000	39850		
04:30	39924	39900	39900		
04:45	39954	40100	40050		
05:00	40277	40300	40200		
05:15	40958	40950	40950		
05:30	41588	41600	41700		
05:45	42141	42300	42250		
06:00	42814	43000	42800		
06:15	44163	44200	44150		
06:30	45437	45400	45500		
06:45	46988	46400	46600		
07:00	47726	47400	47700		
07:15	48672	48200	48400		
07:30	49115	49000	49100		
07:45	50173	49800	50100		
08:00	51108	50600	51100		
08:15	52044	51550	52050		
08:30	52968	52500	53000		
08:45	53397	53200	53500		
09:00	53964	53900	54000		
09:15	54959	54550	54600		
09:30	55194	55200	55200		
09:45	55612	55650	55650		
10:00	55724	56100	56100		
10:15	56212	56300	56300		
10:30	56721	56500	56500		
10:45	56970	56900	56850		
11:00	56847	57300	57200		
11:15	57161	57650	57550		
11:30	57472	58000	57900		
11:45	57735	58300	58150		
12:00	57856	58600	58400		
12:15	57584	58250	58000		
12:30	57304	57900	57600		
12:45	58073	58500	58150		
13:00	57285	59100	58700		
13:15	56941	58150	57750		
13:30	56488	57200	56800		
13:45	56663	57650	57200		
14:00	56680	58100	57600		
14:15	57491	57950	57400		
14:30	56996	57800	57200		
14:45	56532	57250	56600		
15:00	55943	56700	56000		
15:15	55913	56350	55650		
15:30	55634	56000	55300		
15:45	55338	55700	54950		
16:00	54645	55400	54600		
16:15	54629	55150	54300		
16:30	54387	54900	54000		
16:45	53793	54450	53500		
17:00	53463	54000	53000		
17:15	53040	53600	52600		
17:30	52809	53200	52200		
17:45	52883	53250	52200		
18:00	53062	53300	52200		
18:15	53329	53450	52550		
18:30	53600	53600	52900		
18:45	54036	54050	53500		
19:00	54496	54500	54100		
19:15	54153	54150	53750		
19:30	54091	53800	53400		
19:45	53449	53300	52850		
20:00	53160	52800	52300		
20:15	52665	52700	52200		
20:30	52911	52600	52100		
20:45	53268	53000	52500		
21:00	53057	53400	52900		
21:15	52147	52900	52350		
21:30	51323	52400	51800		
21:45	50438	51550	50950		
22:00	49575	50700	50100		
22:15	49910	50750	50100		
22:30	49832	50800	50100		
22:45	51461	51750	51050		
23:00	50735	52700	52000		
23:15	51111	51450	50800		
23:30	49843	50200	49600		
23:45	50347	49400	49000		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
