Journée du 17/06/2001
Heures	Consommation	PrévisionJ-1		
00:00	41650	42099		
00:15	40979	41149		
00:30	39900	40200		
00:45	38840	39200		
01:00	38119	38200		
01:15	38479	38450		
01:30	37810	38700		
01:45	38360	38399		
02:00	37590	38099		
02:15	37720	37549		
02:30	36520	37000		
02:45	35720	36000		
03:00	34880	35000		
03:15	34450	34500		
03:30	34049	34000		
03:45	33250	33549		
04:00	32880	33099		
04:15	32599	32749		
04:30	32419	32400		
04:45	32099	32200		
05:00	32009	32000		
05:15	31840	31850		
05:30	31610	31700		
05:45	31250	31350		
06:00	30969	31000		
06:15	30879	30850		
06:30	30690	30700		
06:45	30829	30799		
07:00	31319	30899		
07:15	31520	31099		
07:30	31750	31299		
07:45	32139	31949		
08:00	32860	32599		
08:15	33400	33349		
08:30	33970	34099		
08:45	34830	34549		
09:00	35369	35000		
09:15	36069	35700		
09:30	36830	36400		
09:45	37380	36999		
10:00	38009	37599		
10:15	38299	37999		
10:30	38869	38400		
10:45	39340	38800		
11:00	39659	39200		
11:15	39880	39450		
11:30	40060	39700		
11:45	40200	40050		
12:00	40509	40400		
12:15	41220	40849		
12:30	41540	41299		
12:45	42599	42049		
13:00	41779	42799		
13:15	41400	41599		
13:30	40270	40400		
13:45	39740	39700		
14:00	38979	39000		
14:15	38689	38549		
14:30	38040	38099		
14:45	37450	37649		
15:00	37099	37200		
15:15	36729	36950		
15:30	36389	36700		
15:45	36049	36300		
16:00	35819	35900		
16:15	35400	35650		
16:30	35180	35400		
16:45	34930	35150		
17:00	34869	34900		
17:15	34709	34950		
17:30	34970	35000		
17:45	35299	35250		
18:00	35369	35500		
18:15	35970	35899		
18:30	36209	36299		
18:45	36979	36949		
19:00	37319	37599		
19:15	37799	37849		
19:30	37950	38099		
19:45	38299	38299		
20:00	38479	38500		
20:15	38830	38500		
20:30	38599	38500		
20:45	38689	38549		
21:00	38689	38599		
21:15	38900	38649		
21:30	38919	38700		
21:45	39159	38999		
22:00	39180	39299		
22:15	40540	39899		
22:30	41159	40500		
22:45	42689	41850		
23:00	42220	43200		
23:15	42360	42649		
23:30	41529	42099		
23:45	41299	41649		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
