Journée du 08/02/2009
Heures	Consommation	PrévisionJ-1	PrévisionJ		
00:00	69314	67800	69300		
00:15	68944	67150	68650		
00:30	67997	66500	68000		
00:45	66803	65600	67000		
01:00	66158	64700	66000		
01:15	66754	65250	66350		
01:30	66622	65800	66700		
01:45	66769	65900	66750		
02:00	66104	66000	66800		
02:15	66716	65450	66200		
02:30	65627	64900	65600		
02:45	64875	64100	64650		
03:00	63748	63300	63700		
03:15	63314	62550	63050		
03:30	62429	61800	62400		
03:45	61715	61150	61750		
04:00	61069	60500	61100		
04:15	60858	60100	60650		
04:30	60109	59700	60200		
04:45	59779	59350	59950		
05:00	59518	59000	59700		
05:15	60001	59150	59800		
05:30	59918	59300	59900		
05:45	59919	59300	59950		
06:00	59904	59300	60000		
06:15	60036	59400	60100		
06:30	60188	59500	60200		
06:45	60144	59700	60200		
07:00	60182	59900	60200		
07:15	60961	60300	60750		
07:30	61302	60700	61300		
07:45	61135	60900	61500		
08:00	61734	61100	61700		
08:15	61905	61600	62100		
08:30	62457	62100	62500		
08:45	63239	62800	63350		
09:00	64271	63500	64200		
09:15	64969	64300	65050		
09:30	65889	65100	65900		
09:45	66176	65750	66300		
10:00	66682	66400	66700		
10:15	67161	66850	67200		
10:30	67651	67300	67700		
10:45	67905	67450	68000		
11:00	68315	67600	68300		
11:15	68500	67800	68550		
11:30	68778	68000	68800		
11:45	68699	68100	69000		
12:00	69117	68200	69200		
12:15	69701	68500	69450		
12:30	69708	68800	69700		
12:45	70851	69400	70350		
13:00	69888	70000	71000		
13:15	69184	68650	69550		
13:30	68140	67300	68100		
13:45	66920	66500	67100		
14:00	66040	65700	66100		
14:15	65678	65100	65700		
14:30	64866	64500	65300		
14:45	63784	63800	64600		
15:00	63332	63100	63900		
15:15	63250	62550	63300		
15:30	62464	62000	62700		
15:45	61873	61550	62250		
16:00	61496	61100	61800		
16:15	61555	61000	61650		
16:30	61559	60900	61500		
16:45	61204	60750	61350		
17:00	61628	60600	61200		
17:15	61914	61200	61800		
17:30	62419	61800	62400		
17:45	63366	63250	63900		
18:00	64952	64700	65400		
18:15	67229	66650	67350		
18:30	69389	68600	69300		
18:45	70917	69800	70550		
19:00	72210	71000	71800		
19:15	72629	71300	72100		
19:30	72446	71600	72400		
19:45	72230	71400	72250		
20:00	72287	71200	72100		
20:15	71910	70850	71750		
20:30	71375	70500	71400		
20:45	70850	69950	70900		
21:00	69710	69400	70400		
21:15	69433	68600	69650		
21:30	68440	67800	68900		
21:45	68072	67100	68250		
22:00	67214	66400	67600		
22:15	68011	66800	68000		
22:30	68147	67200	68400		
22:45	70299	68150	69400		
23:00	69233	69100	70400		
23:15	68746	68200	69550		
23:30	68338	67300	68700		
23:45	68840	67650	68300		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
