Journée du 31/01/2005
Heures	Consommation	PrévisionJ-1		
00:00	67210	68100		
00:15	67324	67500		
00:30	66301	66900		
00:45	65062	65950		
01:00	64940	65000		
01:15	65913	65950		
01:30	65877	66900		
01:45	66127	67100		
02:00	65680	67300		
02:15	66592	66750		
02:30	65749	66200		
02:45	65362	65400		
03:00	64301	64600		
03:15	64135	64300		
03:30	63325	64000		
03:45	62777	63300		
04:00	62381	62600		
04:15	62066	62500		
04:30	62159	62400		
04:45	62047	62750		
05:00	62355	63100		
05:15	63829	63800		
05:30	64193	64500		
05:45	65041	65700		
06:00	66232	66900		
06:15	67583	68300		
06:30	68752	69700		
06:45	70557	71350		
07:00	72426	73000		
07:15	74111	74850		
07:30	75791	76700		
07:45	76954	77750		
08:00	77849	78800		
08:15	78221	79150		
08:30	78085	79500		
08:45	78354	79300		
09:00	78408	79100		
09:15	78546	79000		
09:30	78679	78900		
09:45	78819	79100		
10:00	78714	79300		
10:15	78771	79100		
10:30	78763	78900		
10:45	78278	78700		
11:00	78570	78500		
11:15	78978	78650		
11:30	78839	78800		
11:45	78811	78800		
12:00	79005	78800		
12:15	78525	78350		
12:30	78372	77900		
12:45	79439	78550		
13:00	78942	79200		
13:15	78845	78500		
13:30	78220	77800		
13:45	78362	77950		
14:00	77886	78100		
14:15	78301	77600		
14:30	77648	77100		
14:45	76500	76350		
15:00	75797	75600		
15:15	75058	75350		
15:30	75374	75100		
15:45	74814	74700		
16:00	74332	74300		
16:15	74274	74150		
16:30	73846	74000		
16:45	73586	74250		
17:00	73669	74500		
17:15	73471	74950		
17:30	73969	75400		
17:45	74189	76800		
18:00	75533	78200		
18:15	77047	78900		
18:30	78344	79600		
18:45	79686	80100		
19:00	80325	80600		
19:15	80063	79800		
19:30	78878	79000		
19:45	78143	78300		
20:00	77296	77600		
20:15	76523	76650		
20:30	75201	75700		
20:45	74846	74650		
21:00	73503	73600		
21:15	72346	72500		
21:30	70667	71400		
21:45	69736	70350		
22:00	69268	69300		
22:15	69927	69850		
22:30	69729	70400		
22:45	71587	71150		
23:00	70057	71900		
23:15	69770	70800		
23:30	69044	69700		
23:45	69257	69100		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
