Journée du 01/07/2004
Heures	Consommation	PrévisionJ-1		
00:00	49380	49900		
00:15	48696	48900		
00:30	47382	47900		
00:45	46164	46800		
01:00	45277	45700		
01:15	45758	46000		
01:30	45187	46300		
01:45	45435	45900		
02:00	44849	45500		
02:15	45098	44850		
02:30	44119	44200		
02:45	43430	43400		
03:00	42994	42600		
03:15	42352	42200		
03:30	41676	41800		
03:45	40986	41350		
04:00	41018	40900		
04:15	40919	40850		
04:30	40777	40800		
04:45	40600	41000		
05:00	40981	41200		
05:15	41668	41700		
05:30	41900	42200		
05:45	42302	42550		
06:00	42441	42900		
06:15	43330	43800		
06:30	43995	44700		
06:45	44920	45750		
07:00	46316	46800		
07:15	47663	48100		
07:30	48885	49400		
07:45	50291	50550		
08:00	51200	51700		
08:15	52263	52500		
08:30	52803	53300		
08:45	53537	54100		
09:00	54184	54900		
09:15	54557	55300		
09:30	55073	55700		
09:45	55498	56050		
10:00	55699	56400		
10:15	56168	56700		
10:30	56066	57000		
10:45	56367	57100		
11:00	56480	57200		
11:15	56943	57450		
11:30	56826	57700		
11:45	57225	57800		
12:00	57313	57900		
12:15	57054	57450		
12:30	57025	57000		
12:45	57974	57600		
13:00	57198	58200		
13:15	56862	57550		
13:30	56761	56900		
13:45	56901	57200		
14:00	56660	57500		
14:15	57164	57250		
14:30	57044	57000		
14:45	56477	56600		
15:00	56122	56200		
15:15	55914	56050		
15:30	55547	55900		
15:45	55204	55450		
16:00	54964	55000		
16:15	54521	54750		
16:30	54219	54500		
16:45	53884	54150		
17:00	53479	53800		
17:15	53217	53500		
17:30	52911	53200		
17:45	52615	53050		
18:00	52633	52900		
18:15	52706	52950		
18:30	52672	53000		
18:45	52709	53250		
19:00	53029	53500		
19:15	52891	52950		
19:30	52069	52400		
19:45	51695	51850		
20:00	51064	51300		
20:15	50229	50600		
20:30	50124	49900		
20:45	49609	49350		
21:00	48915	48800		
21:15	48895	48500		
21:30	48428	48200		
21:45	48957	48600		
22:00	48519	49000		
22:15	50151	50050		
22:30	51043	51100		
22:45	52943	52100		
23:00	52341	53100		
23:15	52013	52200		
23:30	50864	51300		
23:45	50778	50450		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
