Journée du 17/11/2012
Données consolidées
Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Autres	Ech. physiques	Taux de Co2	Ech. comm. Allemagne	Ech. comm. Angleterre	Ech. comm. Belgique	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse
00:00	62656	61900	62300	572	2956	3044	51367	1727	0	7741	-182	778	-5346	72	2950	-989	-2800	-528	-2502	-2610	
00:15		60750	61050																		
00:30	60427	59600	59800	566	3310	3076	51208	1670	0	7155	-618	778	-6718	78							
00:45		58350	58500																		
01:00	57411	57100	57200	566	2598	3056	50367	1658	0	6454	-1170	784	-6902	71	3000	-1000	-2644	-423	-2502	-2961	
01:15		57100	56900																		
01:30	56836	57100	56600	567	2254	3026	50453	1654	0	6214	-1406	787	-6715	66							
01:45		56800	56200																		
02:00	55926	56500	55800	568	2157	3054	50051	1631	0	6208	-1663	782	-6861	65	2224	-1000	-2143	-803	-2502	-2979	
02:15		55700	55050																		
02:30	55295	54900	54300	568	2255	3061	50194	1606	0	6101	-1674	783	-7600	67							
02:45		53950	53300																		
03:00	53107	53000	52300	568	2012	3055	49158	1591	0	5925	-2093	787	-7896	65	264	-1000	-2608	-607	-2402	-2926	
03:15		52300	51900																		
03:30	51921	51600	51500	569	2186	2973	49385	1594	0	5712	-1903	777	-9372	67							
03:45		51100	50800																		
04:00	50557	50600	50100	569	2163	3053	48798	1573	0	5419	-2183	785	-9620	68	-1378	-990	-2800	-600	-2327	-2971	
04:15		50300	49900																		
04:30	50326	50000	49700	569	2232	3042	49248	1544	0	5777	-1591	784	-11277	68							
04:45		49900	49550																		
05:00	50056	49800	49400	571	2212	3054	49239	1477	0	5695	-1827	787	-11153	68	-457	-1000	-2742	-585	-2428	-2943	
05:15		50350	49800																		
05:30	50728	50900	50200	569	2204	3024	49255	1414	0	5634	-1827	785	-10330	68							
05:45		51100	50550																		
06:00	51217	51300	50900	568	2209	3018	49292	1405	0	5664	-1597	779	-10120	68	1694	-1000	-2363	-743	-2502	-2966	
06:15		52100	51500																		
06:30	52661	52900	52100	569	2151	2960	49054	1447	0	5527	-1754	780	-8074	67							
06:45		53600	52750																		
07:00	53539	54300	53400	565	2306	3039	49709	1480	0	5192	-1792	782	-7742	69	2810	-1000	-2486	54	-2657	-3051	
07:15		54900	53850																		
07:30	54755	55500	54300	566	2229	3026	49618	1489	0	5419	-1788	779	-6582	68							
07:45		55750	54750																		
08:00	55439	56000	55200	568	2239	2996	50039	1463	7	5529	-1725	771	-6447	67	1649	-1000	-2285	500	-2657	-3073	
08:15		56600	55800																		
08:30	56492	57200	56400	570	2405	3004	50678	1447	61	5664	-1031	776	-7082	68							
08:45		57750	57200																		
09:00	58034	58300	58000	568	2498	3005	50783	1398	189	5823	-9	778	-6998	68	2689	-1000	-2800	0	-2657	-3085	
09:15		58750	58500																		
09:30	59368	59200	59000	567	2888	3018	50671	1334	358	6883	-9	773	-7115	72							
09:45		59450	59350																		
10:00	60277	59700	59700	567	3160	2975	50860	1262	570	6990	-9	768	-6864	75	3000	-1000	-2800	0	-2657	-2980	
10:15		59850	59750																		
10:30	60336	60000	59800	569	3189	3024	51020	1193	760	7090	-752	766	-6523	76							
10:45		59900	59650																		
11:00	60273	59800	59500	568	3203	2948	51081	1139	991	6812	-752	760	-6477	76	3000	-1000	-2800	0	-2657	-2576	
11:15		59900	59750																		
11:30	60495	60000	60000	568	2945	3002	50810	1079	1112	6725	-336	760	-6170	73							
11:45		60350	60400																		
12:00	61144	60700	60800	567	2879	2982	50935	1037	1237	6723	-9	755	-5963	71	2921	-1000	-2800	0	-2652	-1801	
12:15		60950	61150																		
12:30	61925	61200	61500	568	2744	3029	50941	967	1282	7161	-9	755	-5513	69							
12:45		62000	62250																		
13:00	62512	62800	63000	568	2790	2995	50901	911	1319	7927	-9	748	-5638	69	3000	-999	-2800	-900	-2524	-1992	
13:15		61400	61350																		
13:30	60625	60000	59700	566	2808	2938	50826	867	1265	7266	-221	757	-6449	70							
13:45		59250	59250																		
14:00	59307	58500	58800	567	2768	2949	50445	801	1152	6525	-221	747	-6426	71	2892	-1000	-2800	-900	-2652	-2772	
14:15		58400	58500																		
14:30	58744	58300	58200	565	3107	2931	51000	740	1035	6591	-544	753	-7434	75							
14:45		57600	57500																		
