Journée du 03/12/2009
Heures	Consommation	PrévisionJ-1	PrévisionJ		
00:00	62775	63000	62800		
00:15	62346	62150	61900		
00:30	61057	61300	61000		
00:45	59583	60100	60000		
01:00	59022	58900	59000		
01:15	59184	59250	59150		
01:30	58588	59600	59300		
01:45	58970	59550	59200		
02:00	58628	59500	59100		
02:15	59171	58900	58450		
02:30	57802	58300	57800		
02:45	57310	57350	56900		
03:00	56012	56400	56000		
03:15	55965	55800	55450		
03:30	55092	55200	54900		
03:45	54448	54650	54450		
04:00	54040	54100	54000		
04:15	54062	53850	53850		
04:30	54066	53600	53700		
04:45	53691	53750	53900		
05:00	54142	53900	54100		
05:15	55623	54900	55050		
05:30	55990	55900	56000		
05:45	56918	56900	57100		
06:00	58342	57900	58200		
06:15	60550	59800	60100		
06:30	61993	61700	62000		
06:45	63828	63450	64450		
07:00	65938	65200	66900		
07:15	67894	67200	68250		
07:30	69537	69200	69600		
07:45	70321	69950	70500		
08:00	71228	70700	71400		
08:15	71155	70450	71050		
08:30	70857	70200	70700		
08:45	70917	70150	70600		
09:00	70487	70100	70500		
09:15	70692	70250	70450		
09:30	70433	70400	70400		
09:45	70743	70300	70400		
10:00	70436	70200	70400		
10:15	70509	70200	70500		
10:30	70557	70200	70600		
10:45	70904	70200	70750		
11:00	70872	70200	70900		
11:15	71056	70400	71100		
11:30	71305	70600	71300		
11:45	71493	70650	71500		
12:00	71573	70700	71700		
12:15	71085	70150	71150		
12:30	70882	69600	70600		
12:45	71825	70300	71250		
13:00	71193	71000	71900		
13:15	71119	70250	71050		
13:30	70420	69500	70200		
13:45	70304	69600	70250		
14:00	70168	69700	70300		
14:15	70357	69650	70250		
14:30	70029	69600	70200		
14:45	69294	68950	69550		
15:00	68953	68300	68900		
15:15	68699	68150	68700		
15:30	68749	68000	68500		
15:45	68412	67750	68250		
16:00	67934	67500	68000		
16:15	68185	67600	68050		
16:30	68136	67700	68100		
16:45	68724	68300	68650		
17:00	69361	68900	69200		
17:15	70671	70300	70600		
17:30	71958	71700	72000		
17:45	73578	72550	72800		
18:00	74053	73400	73600		
18:15	74288	74000	74150		
18:30	74854	74600	74700		
18:45	75474	75200	75250		
19:00	76199	75800	75800		
19:15	75280	75100	75100		
19:30	74636	74400	74400		
19:45	73853	73250	73250		
20:00	72977	72100	72100		
20:15	72140	70950	70950		
20:30	70760	69800	69800		
20:45	70195	68850	68850		
21:00	68887	67900	67900		
21:15	67569	66900	66900		
21:30	66557	65900	65900		
21:45	65417	64850	64850		
22:00	64342	63800	63800		
22:15	65107	64200	64200		
22:30	64832	64600	64600		
22:45	67300	65650	65650		
23:00	66243	66700	66700		
23:15	65799	65700	65700		
23:30	64948	64700	64700		
23:45	65577	64150	64150		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
