Journée du 05/07/2000
Heures	Consommation	PrévisionJ-1		
00:00	45409	46500		
00:15	44849	45549		
00:30	43729	44599		
00:45	42459	43849		
01:00	41439	43099		
01:15	42209	43249		
01:30	41810	43400		
01:45	42099	43150		
02:00	41319	42900		
02:15	41400	42300		
02:30	40360	41700		
02:45	39970	40899		
03:00	39099	40099		
03:15	38659	39599		
03:30	38290	39099		
03:45	37900	38749		
04:00	37689	38400		
04:15	37549	38300		
04:30	37380	38200		
04:45	37340	38300		
05:00	37669	38400		
05:15	38400	38900		
05:30	38759	39400		
05:45	39009	39599		
06:00	38950	39799		
06:15	39729	40849		
06:30	40459	41900		
06:45	41610	42950		
07:00	42790	44000		
07:15	43970	45100		
07:30	44919	46200		
07:45	46040	47200		
08:00	47049	48200		
08:15	47840	49100		
08:30	48639	50000		
08:45	49500	50600		
09:00	49810	51200		
09:15	50610	51700		
09:30	50819	52200		
09:45	51450	52649		
10:00	51400	53099		
10:15	51830	53299		
10:30	52099	53500		
10:45	52270	53600		
11:00	52259	53700		
11:15	52700	53850		
11:30	52830	54000		
11:45	53040	54000		
12:00	52889	54000		
12:15	52520	53600		
12:30	52310	53200		
12:45	53259	53850		
13:00	52299	54500		
13:15	52619	53950		
13:30	52250	53400		
13:45	52549	53650		
14:00	52400	53900		
14:15	52439	53800		
14:30	52259	53700		
14:45	51790	53200		
15:00	51459	52700		
15:15	51220	52499		
15:30	50979	52299		
15:45	50779	51849		
16:00	50400	51400		
16:15	50060	51050		
16:30	49959	50700		
16:45	49490	50499		
17:00	48979	50299		
17:15	48740	49899		
17:30	48439	49500		
17:45	48290	49250		
18:00	48099	49000		
18:15	47950	49000		
18:30	48049	49000		
18:45	48240	49250		
19:00	48279	49500		
19:15	48150	49250		
19:30	48009	49000		
19:45	47409	48500		
20:00	46979	48000		
20:15	46540	47299		
20:30	45919	46599		
20:45	45270	46099		
21:00	45099	45599		
21:15	44750	45349		
21:30	44419	45099		
21:45	44759	45299		
22:00	44540	45500		
22:15	46150	46399		
22:30	46659	47299		
22:45	48330	48149		
23:00	47810	49000		
23:15	47720	48600		
23:30	47250	48200		
23:45	46990	47600		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
