Journée du 30/05/2003
Heures	Consommation	PrévisionJ-1		
00:00	42533	42100		
00:15	42016	41250		
00:30	40716	40400		
00:45	39314	39600		
01:00	38872	38800		
01:15	39449	39100		
01:30	39034	39400		
01:45	39221	39250		
02:00	38451	39100		
02:15	38980	38450		
02:30	38020	37800		
02:45	37426	37050		
03:00	36333	36300		
03:15	35868	35800		
03:30	35270	35300		
03:45	35021	34950		
04:00	34519	34600		
04:15	34576	34400		
04:30	34304	34200		
04:45	34342	34350		
05:00	34639	34500		
05:15	35345	34950		
05:30	35545	35400		
05:45	35488	35550		
06:00	35451	35700		
06:15	36280	36400		
06:30	36827	37100		
06:45	37882	38250		
07:00	38589	39400		
07:15	39935	40400		
07:30	40896	41400		
07:45	41725	42250		
08:00	42659	43100		
08:15	43754	43850		
08:30	44263	44600		
08:45	45057	45200		
09:00	45713	45800		
09:15	46483	46250		
09:30	46968	46700		
09:45	47183	46950		
10:00	47399	47200		
10:15	47752	47300		
10:30	47778	47400		
10:45	48063	47500		
11:00	48246	47600		
11:15	48325	47700		
11:30	48384	47800		
11:45	48859	48100		
12:00	49029	48400		
12:15	49618	48550		
12:30	49557	48700		
12:45	50722	49350		
13:00	49830	50000		
13:15	49610	49200		
13:30	49118	48400		
13:45	49027	48200		
14:00	48654	48000		
14:15	49082	47700		
14:30	48507	47400		
14:45	48107	46850		
15:00	47475	46300		
15:15	47218	46000		
15:30	47040	45700		
15:45	46583	45300		
16:00	46305	44900		
16:15	45890	44450		
16:30	45729	44000		
16:45	45411	43800		
17:00	45220	43600		
17:15	44943	43550		
17:30	45075	43500		
17:45	45059	43600		
18:00	45022	43700		
18:15	45115	43950		
18:30	45340	44200		
18:45	45395	44550		
19:00	45351	44900		
19:15	45026	44550		
19:30	44811	44200		
19:45	44548	43850		
20:00	44205	43500		
20:15	43588	43100		
20:30	43452	42700		
20:45	43035	42550		
21:00	42771	42400		
21:15	42855	42600		
21:30	42716	42800		
21:45	43187	43200		
22:00	43353	43600		
22:15	45149	44300		
22:30	45597	45000		
22:45	47290	45750		
23:00	46534	46500		
23:15	46517	45750		
23:30	45753	45000		
23:45		44700		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
