Journée du 24/07/2006
Heures	Consommation	PrévisionJ-1		
00:00	45063	44600		
00:15	44317	43500		
00:30	42789	42400		
00:45	41531	41500		
01:00	40665	40600		
01:15	41233	40950		
01:30	40780	41300		
01:45	40961	41200		
02:00	40264	41100		
02:15	40755	40350		
02:30	39787	39600		
02:45	38975	39000		
03:00	38605	38400		
03:15	38080	38000		
03:30	37901	37600		
03:45	37527	37450		
04:00	37203	37300		
04:15	37502	37400		
04:30	37630	37500		
04:45	37882	37700		
05:00	38248	37900		
05:15	38998	38750		
05:30	40037	39600		
05:45	40496	40000		
06:00	40827	40400		
06:15	41536	41050		
06:30	42127	41700		
06:45	42930	42700		
07:00	43886	43700		
07:15	45208	44950		
07:30	46004	46200		
07:45	47246	47300		
08:00	48438	48400		
08:15	49676	49500		
08:30	50664	50600		
08:45	51153	51300		
09:00	52005	52000		
09:15	53004	52650		
09:30	53655	53300		
09:45	54154	53750		
10:00	54428	54200		
10:15	54982	54550		
10:30	55562	54900		
10:45	55824	55350		
11:00	56011	55800		
11:15	56144	55850		
11:30	56207	55900		
11:45	56604	56200		
12:00	56818	56500		
12:15	56960	56450		
12:30	56976	56400		
12:45	58123	57050		
13:00	57295	57700		
13:15	57203	56950		
13:30	56971	56200		
13:45	56973	56650		
14:00	56831	57100		
14:15	57443	56800		
14:30	57000	56500		
14:45	56790	56100		
15:00	56570	55700		
15:15	56268	55700		
15:30	55965	55700		
15:45	55631	55400		
16:00	55364	55100		
16:15	55047	54700		
16:30	54975	54300		
16:45	54536	53950		
17:00	54289	53600		
17:15	53916	53250		
17:30	53851	52900		
17:45	53414	52800		
18:00	53257	52700		
18:15	53162	52800		
18:30	53185	52900		
18:45	53329	53150		
19:00	53563	53400		
19:15	53439	53250		
19:30	52874	53100		
19:45	52594	52700		
20:00	52215	52300		
20:15	51627	51550		
20:30	51019	50800		
20:45	50581	50200		
21:00	50093	49600		
21:15	49832	49250		
21:30	49469	48900		
21:45	50274	49050		
22:00	50464	49200		
22:15	51775	50000		
22:30	52086	50800		
22:45	54185	51800		
23:00	53389	52800		
23:15	52580	51650		
23:30	51526	50500		
23:45	51272	50000		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
