Journée du 13/03/2006
Heures	Consommation	PrévisionJ-1		
00:00	66033	66200		
00:15	66014	65750		
00:30	65177	65300		
00:45	63886	64450		
01:00	63672	63600		
01:15	64673	64200		
01:30	64572	64800		
01:45	65309	65150		
02:00	64797	65500		
02:15	65778	65250		
02:30	65086	65000		
02:45	64556	64500		
03:00	63705	64000		
03:15	63420	63450		
03:30	62957	62900		
03:45	62382	62650		
04:00	62139	62400		
04:15	62330	62250		
04:30	62363	62100		
04:45	62376	62350		
05:00	62829	62600		
05:15	64149	63350		
05:30	64789	64100		
05:45	65942	65100		
06:00	67226	66100		
06:15	68516	67400		
06:30	70155	68700		
06:45	71182	69900		
07:00	71803	71100		
07:15	71951	71500		
07:30	73059	71900		
07:45	73318	72650		
08:00	73991	73400		
08:15	74354	73800		
08:30	74793	74200		
08:45	75034	74450		
09:00	75079	74700		
09:15	75166	74750		
09:30	75279	74800		
09:45	75262	74750		
10:00	74988	74700		
10:15	74730	74300		
10:30	74621	73900		
10:45	74354	73700		
11:00	74150	73500		
11:15	74080	73350		
11:30	73876	73200		
11:45	73554	73100		
12:00	73591	73000		
12:15	73232	72550		
12:30	72891	72100		
12:45	73992	72800		
13:00	73275	73500		
13:15	73049	73050		
13:30	72254	72600		
13:45	72085	72400		
14:00	71546	72200		
14:15	71886	71950		
14:30	70608	71700		
14:45	69592	70900		
15:00	68721	70100		
15:15	68155	69650		
15:30	67727	69200		
15:45	67230	68750		
16:00	66982	68300		
16:15	66683	68100		
16:30	66034	67900		
16:45	65850	67650		
17:00	65645	67400		
17:15	65256	67150		
17:30	65535	66900		
17:45	65964	67650		
18:00	66506	68400		
18:15	67399	69300		
18:30	68444	70200		
18:45	70196	72050		
19:00	73165	73900		
19:15	75068	74700		
19:30	75816	75500		
19:45	75820	74700		
20:00	75320	73900		
20:15	74560	72600		
20:30	73660	71300		
20:45	72777	70700		
21:00	71764	70100		
21:15	70412	68950		
21:30	69374	67800		
21:45	68809	66950		
22:00	67605	66100		
22:15	68928	66950		
22:30	68972	67800		
22:45	70724	68800		
23:00	69663	69800		
23:15	69420	68750		
23:30	68663	67700		
23:45	69050	68000		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
