Journée du 13/07/2003
Heures	Consommation	PrévisionJ-1		
00:00	44976	45600		
00:15	44354	44650		
00:30	42857	43700		
00:45	41628	42800		
01:00	41244	41900		
01:15	41536	42100		
01:30	41118	42300		
01:45	41260	42000		
02:00	40434	41700		
02:15	40367	40900		
02:30	39555	40100		
02:45	38771	39250		
03:00	38051	38400		
03:15	37660	37850		
03:30	37124	37300		
03:45	36574	36850		
04:00	36020	36400		
04:15	35622	36050		
04:30	35609	35700		
04:45	35485	35550		
05:00	35120	35400		
05:15	35266	35300		
05:30	35143	35200		
05:45	34790	34800		
06:00	34026	34400		
06:15	34177	34100		
06:30	34093	33800		
06:45	33953	34000		
07:00	34238	34200		
07:15	34694	34450		
07:30	35002	34700		
07:45	35373	35200		
08:00	36018	35700		
08:15	36572	36300		
08:30	37213	36900		
08:45	37781	37550		
09:00	38289	38200		
09:15	39043	38850		
09:30	39522	39500		
09:45	40168	40050		
10:00	40537	40600		
10:15	40837	41000		
10:30	41133	41400		
10:45	41309	41750		
11:00	41605	42100		
11:15	41996	42400		
11:30	42169	42700		
11:45	42089	42900		
12:00	42458	43100		
12:15	43390	43700		
12:30	43509	44300		
12:45	44906	44900		
13:00	43967	45500		
13:15	43594	44350		
13:30	42732	43200		
13:45	42225	42650		
14:00	41814	42100		
14:15	41571	41850		
14:30	41465	41600		
14:45	41072	41250		
15:00	40621	40900		
15:15	40366	40600		
15:30	40030	40300		
15:45	39814	40150		
16:00	39598	40000		
16:15	39253	39850		
16:30	38921	39700		
16:45	38980	39500		
17:00	38475	39300		
17:15	38541	39350		
17:30	38711	39400		
17:45	38770	39500		
18:00	38815	39600		
18:15	39168	39800		
18:30	39482	40000		
18:45	40010	40400		
19:00	40052	40800		
19:15	40237	41000		
19:30	40783	41200		
19:45	40421	41250		
20:00	40706	41300		
20:15	41053	41250		
20:30	40887	41200		
20:45	40573	41150		
21:00	40525	41100		
21:15	40809	41100		
21:30	40251	41100		
21:45	40803	41500		
22:00	41239	41900		
22:15	42782	43100		
22:30	43293	44300		
22:45	45605	45100		
23:00	44788	45900		
23:15	44977	45250		
23:30	44290	44600		
23:45		44000		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
