Journée du 09/01/2004
Heures	Consommation	PrévisionJ-1		
00:00	64794	65100		
00:15	64357	64450		
00:30	63249	63800		
00:45	62228	62950		
01:00	61528	62100		
01:15	62208	62550		
01:30	62069	63000		
01:45	62599	63200		
02:00	61730	63400		
02:15	62579	63100		
02:30	61674	62800		
02:45	60961	61750		
03:00	60086	60700		
03:15	59570	60100		
03:30	58663	59500		
03:45	58205	59000		
04:00	57650	58500		
04:15	57529	58400		
04:30	57368	58300		
04:45	57324	58450		
05:00	57289	58600		
05:15	58513	59300		
05:30	58700	60000		
05:45	59434	60800		
06:00	60575	61600		
06:15	61993	62900		
06:30	63194	64200		
06:45	64845	66100		
07:00	66905	68000		
07:15	69256	69750		
07:30	70569	71500		
07:45	71728	72650		
08:00	73171	73800		
08:15	73412	74100		
08:30	72833	74400		
08:45	72768	74150		
09:00	72631	73900		
09:15	72578	73800		
09:30	72161	73700		
09:45	72390	73450		
10:00	72037	73200		
10:15	72163	73250		
10:30	71820	73300		
10:45	71865	73100		
11:00	71700	72900		
11:15	71773	72750		
11:30	71713	72600		
11:45	71480	72500		
12:00	71196	72400		
12:15	70890	71850		
12:30	70625	71300		
12:45	71755	72050		
13:00	70727	72800		
13:15	70999	71950		
13:30	70284	71100		
13:45	69984	71050		
14:00	69589	71000		
14:15	69776	70350		
14:30	69257	69700		
14:45	68400	69050		
15:00	67769	68400		
15:15	67350	67950		
15:30	67047	67500		
15:45	66588	67050		
16:00	66054	66600		
16:15	65632	66250		
16:30	65810	65900		
16:45	65517	66050		
17:00	66041	66200		
17:15	66633	67200		
17:30	68392	68200		
17:45	70008	69600		
18:00	71185	71000		
18:15	71799	71750		
18:30	72002	72500		
18:45	72618	72900		
19:00	72709	73300		
19:15	72143	72550		
19:30	71139	71800		
19:45	70448	70900		
20:00	69892	70000		
20:15	69105	69250		
20:30	68353	68500		
20:45	67363	67700		
21:00	66675	66900		
21:15	65653	65950		
21:30	64318	65000		
21:45	63884	64150		
22:00	62890	63300		
22:15	64032	64100		
22:30	63651	64900		
22:45	65311	65300		
23:00	64489	65700		
23:15	64054	64650		
23:30	63265	63600		
23:45	63263	63100		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
