Journée du 10/01/2001
Heures	Consommation	PrévisionJ-1		
00:00	58970	58799		
00:15	59000	58049		
00:30	57720	57299		
00:45	56580	56549		
01:00	55729	55799		
01:15	56599	56249		
01:30	56180	56700		
01:45	56880	56600		
02:00	56189	56500		
02:15	56590	55899		
02:30	55580	55299		
02:45	54830	54649		
03:00	53900	54000		
03:15	53509	53549		
03:30	52700	53099		
03:45	52209	52599		
04:00	51799	52099		
04:15	51549	51899		
04:30	51310	51700		
04:45	51340	51899		
05:00	51369	52099		
05:15	52020	52649		
05:30	52430	53200		
05:45	53319	53999		
06:00	54049	54799		
06:15	55069	56099		
06:30	56310	57400		
06:45	57659	58999		
07:00	59830	60599		
07:15	61709	62049		
07:30	62849	63500		
07:45	63790	64900		
08:00	64900	66300		
08:15	65680	66699		
08:30	66050	67099		
08:45	66120	66949		
09:00	65989	66800		
09:15	65720	66749		
09:30	65769	66699		
09:45	65709	66699		
10:00	65669	66699		
10:15	65879	66599		
10:30	65620	66500		
10:45	65400	66400		
11:00	65169	66300		
11:15	65669	66400		
11:30	65489	66500		
11:45	65569	66349		
12:00	65250	66199		
12:15	64250	65749		
12:30	64180	65300		
12:45	64989	65749		
13:00	64120	66199		
13:15	64220	65549		
13:30	64010	64900		
13:45	64419	65100		
14:00	64139	65300		
14:15	64269	64949		
14:30	63319	64599		
14:45	62360	64149		
15:00	61900	63700		
15:15	61590	63300		
15:30	61259	62900		
15:45	60900	62700		
16:00	60790	62500		
16:15	60599	62350		
16:30	60459	62200		
16:45	60560	62450		
17:00	61060	62700		
17:15	61659	63699		
17:30	62439	64699		
17:45	63790	65699		
18:00	64760	66699		
18:15	65019	67199		
18:30	65720	67699		
18:45	66169	68049		
19:00	66769	68400		
19:15	66150	67900		
19:30	65529	67400		
19:45	64419	66650		
20:00	63490	65900		
20:15	63099	65049		
20:30	61959	64199		
20:45	61180	63299		
21:00	60380	62400		
21:15	59080	61499		
21:30	57840	60599		
21:45	56860	59499		
22:00	55740	58400		
22:15	56770	59200		
22:30	57080	60000		
22:45	58319	60750		
23:00	57270	61500		
23:15	56889	60549		
23:30	56299	59599		
23:45	56490	59149		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
