Journée du 30/11/2008
Heures	Consommation	PrévisionJ-1	PrévisionJ		
00:00	66592	66200	66600		
00:15	66042	65350	65800		
00:30	64755	64500	65000		
00:45	63495	63400	63800		
01:00	62635	62300	62600		
01:15	63266	62500	62850		
01:30	62842	62700	63100		
01:45	62965	62600	62950		
02:00	62258	62500	62800		
02:15	62926	62100	62300		
02:30	62008	61700	61800		
02:45	60903	60700	60800		
03:00	59887	59700	59800		
03:15	59345	58950	59150		
03:30	58542	58200	58500		
03:45	57829	57400	57750		
04:00	56987	56600	57000		
04:15	56578	56250	56650		
04:30	56316	55900	56300		
04:45	56001	55550	55900		
05:00	55668	55200	55500		
05:15	55739	55250	55550		
05:30	55782	55300	55600		
05:45	55721	55400	55650		
06:00	55691	55500	55700		
06:15	56172	55700	55850		
06:30	55989	55900	56000		
06:45	56085	56250	56150		
07:00	56291	56600	56300		
07:15	56871	57000	56900		
07:30	57287	57400	57500		
07:45	57383	57700	57650		
08:00	57779	58000	57800		
08:15	58168	58400	58150		
08:30	58503	58800	58500		
08:45	59187	59450	59200		
09:00	59935	60100	59900		
09:15	60597	60950	60650		
09:30	61385	61800	61400		
09:45	61999	62400	62050		
10:00	62731	63000	62700		
10:15	63318	63450	63300		
10:30	63903	63900	63900		
10:45	64204	64250	64300		
11:00	64587	64600	64700		
11:15	64928	64850	65050		
11:30	65289	65100	65400		
11:45	65441	65350	65700		
12:00	66143	65600	66000		
12:15	67020	66100	66500		
12:30	66940	66600	67000		
12:45	68400	67300	67650		
13:00	67426	68000	68300		
13:15	66468	66700	67000		
13:30	65710	65400	65700		
13:45	64728	64700	64950		
14:00	63901	64000	64200		
14:15	63858	63500	63700		
14:30	63343	63000	63200		
14:45	62240	62400	62550		
15:00	61491	61800	61900		
15:15	61254	61550	61650		
15:30	60856	61300	61400		
15:45	60606	61050	61100		
16:00	60305	60800	60800		
16:15	60508	61000	60950		
16:30	60613	61200	61100		
16:45	60939	61800	61600		
17:00	61756	62400	62100		
17:15	62416	63900	63550		
17:30	64117	65400	65000		
17:45	65120	66750	66300		
18:00	66710	68100	67600		
18:15	67418	68800	68200		
18:30	68288	69500	68800		
18:45	68944	70350	69600		
19:00	69480	71200	70400		
19:15	69483	71000	70250		
19:30	69476	70800	70100		
19:45	69107	70500	69800		
20:00	68998	70200	69500		
20:15	68849	69800	69150		
20:30	68124	69400	68800		
20:45	67777	68850	68300		
21:00	66960	68300	67800		
21:15	66014	67400	66900		
21:30	65079	66500	66000		
21:45	64733	65700	65250		
22:00	64121	64900	64500		
22:15	64659	65350	64950		
22:30	64486	65800	65400		
22:45	66715	66650	66300		
23:00	66004	67500	67200		
23:15	65530	66400	66200		
23:30	64598	65300	65200		
23:45	64993	64900	64850		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
