Journée du 10/12/2011
Données temps réel
Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Autres	Ech. physiques	Taux de Co2	Ech. comm. Allemagne	Ech. comm. Angleterre	Ech. comm. Belgique	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse
00:00	63342	63700	63500	0	1289	964	52599	914	ND	5859	ND	5408	-3692	56	ND	ND	ND	ND	ND	ND	
00:15	62679	62600	62100	0	1515	922	53374	893	ND	6193	ND	5342	-5562	57							
00:30	60793	61500	60700	0	1282	763	52615	883	ND	5401	ND	5321	-5474	55							
00:45	59515	60200	59550	0	1334	652	52847	859	ND	3955	ND	5309	-5444	56							
01:00	58623	58900	58400	0	1260	586	52515	808	ND	3804	ND	5312	-5665	55	ND	ND	ND	ND	ND	ND	
01:15	58861	58950	58400	0	1381	544	52641	768	ND	3605	ND	5311	-5390	57							
01:30	58011	59000	58400	0	1314	576	52118	755	ND	3561	ND	5308	-5623	56							
01:45	58220	58750	58150	0	1360	590	51630	742	ND	4018	ND	5308	-5430	57							
02:00	57587	58500	57900	0	1279	586	51136	733	ND	4017	ND	5301	-5466	56	ND	ND	ND	ND	ND	ND	
02:15	57923	57850	57250	0	1526	460	51790	728	ND	4833	ND	5306	-6722	58							
02:30	56527	57200	56600	0	1465	478	51440	692	ND	4278	ND	5307	-7136	58							
02:45	55740	56150	55550	0	1398	508	51170	674	ND	3691	ND	5314	-7017	58							
03:00	54613	55100	54500	0	1289	503	50524	660	ND	3504	ND	5322	-7190	57	ND	ND	ND	ND	ND	ND	
03:15	54246	54400	54000	0	1510	432	51281	643	ND	3686	ND	5324	-8633	59							
03:30	53590	53700	53500	0	1430	419	50881	640	ND	3271	ND	5321	-8373	59							
03:45	53179	53050	53050	0	1396	436	51469	631	ND	2434	ND	5296	-8485	59							
04:00	52581	52400	52600	0	1185	435	51153	623	ND	2252	ND	5270	-8339	56	ND	ND	ND	ND	ND	ND	
04:15	52315	52000	52250	0	1036	426	50770	613	ND	1447	ND	5276	-7254	55							
04:30	52156	51600	51900	0	967	407	50747	607	ND	1327	ND	5274	-7174	54							
04:45	52017	51800	52150	0	965	418	50767	597	ND	1312	ND	5284	-7327	54							
05:00	52162	52000	52400	0	985	409	50709	604	ND	1291	ND	5221	-7059	54	ND	ND	ND	ND	ND	ND	
05:15	52709	52350	52650	0	1153	435	51149	603	ND	2331	ND	5284	-8247	55							
05:30	52828	52700	52900	0	1319	431	51054	605	ND	2333	ND	5290	-8207	58							
05:45	53143	53100	53300	0	1453	371	51503	615	ND	2358	ND	5280	-8440	59							
06:00	53724	53500	53700	0	1520	428	50983	607	ND	2326	ND	5217	-7356	61	ND	ND	ND	ND	ND	ND	
06:15	54702	54150	54400	0	1576	438	51044	604	ND	1812	ND	5298	-6072	62							
06:30	55144	54800	55100	0	1622	435	51242	598	ND	1873	ND	5303	-5929	63							
06:45	55476	55500	55800	0	1754	437	51491	589	ND	2041	ND	5313	-6150	64							
07:00	56514	56200	56500	0	1915	432	51641	581	ND	2153	ND	5299	-5507	66	ND	ND	ND	ND	ND	ND	
07:15	57430	57000	57350	0	1861	609	51357	577	ND	2167	ND	5304	-4446	67							
07:30	58204	57800	58200	0	2084	611	51832	568	ND	2574	ND	5298	-4764	69							
07:45	58763	58500	58950	0	2076	608	51706	579	ND	3082	ND	5296	-4584	68							
08:00	59771	59200	59700	0	2197	579	51997	567	ND	3926	ND	5348	-4844	69	ND	ND	ND	ND	ND	ND	
08:15	60356	59700	60250	0	2043	614	51830	565	ND	5151	ND	5276	-5125	66							
08:30	60805	60200	60800	0	2120	610	51829	558	ND	5252	ND	5298	-4865	67							
08:45	61298	60750	61300	0	2114	587	51893	556	ND	5688	ND	5317	-4859	66							
09:00	61776	61300	61800	0	2148	590	52054	552	ND	6255	ND	5315	-5139	66	ND	ND	ND	ND	ND	ND	
09:15	62656	61850	62400	0	2073	584	52196	560	ND	6835	ND	5437	-5032	65							
09:30	62886	62400	63000	0	2069	583	52124	564	ND	6908	ND	5433	-4797	65							
09:45	63233	62700	63300	0	2008	574	52286	561	ND	7248	ND	5432	-4879	63							
