Journée du 07/08/2001
Heures	Consommation	PrévisionJ-1		
00:00	41290	42099		
00:15	40830	41199		
00:30	39500	40299		
00:45	38400	39349		
01:00	37860	38400		
01:15	38240	38800		
01:30	37779	39200		
01:45	38290	38850		
02:00	37630	38500		
02:15	37680	37950		
02:30	36569	37400		
02:45	36069	36800		
03:00	35119	36200		
03:15	34799	35800		
03:30	34419	35400		
03:45	34229	34999		
04:00	33779	34599		
04:15	33729	34549		
04:30	33580	34500		
04:45	33930	34600		
05:00	33909	34700		
05:15	34509	35149		
05:30	34560	35599		
05:45	35279	35999		
06:00	35490	36400		
06:15	36200	36650		
06:30	36270	36900		
06:45	36779	37249		
07:00	37380	37599		
07:15	38380	38599		
07:30	39240	39599		
07:45	39849	40399		
08:00	41020	41200		
08:15	42229	42249		
08:30	42930	43299		
08:45	43689	43899		
09:00	44439	44500		
09:15	45360	45049		
09:30	45569	45599		
09:45	46119	45799		
10:00	46569	46000		
10:15	46869	46250		
10:30	47130	46500		
10:45	47229	46850		
11:00	47150	47200		
11:15	47540	47249		
11:30	47860	47299		
11:45	47979	47499		
12:00	48080	47700		
12:15	48020	47600		
12:30	47869	47500		
12:45	48880	48100		
13:00	48040	48700		
13:15	47869	47950		
13:30	47349	47200		
13:45	47229	47200		
14:00	46979	47200		
14:15	47069	46950		
14:30	46700	46700		
14:45	46470	46350		
15:00	46259	46000		
15:15	45909	45750		
15:30	45259	45500		
15:45	45029	45299		
16:00	44610	45099		
16:15	44389	44799		
16:30	44159	44500		
16:45	44040	44149		
17:00	43880	43799		
17:15	43689	43549		
17:30	43369	43299		
17:45	43569	43399		
18:00	43540	43500		
18:15	43590	43649		
18:30	43860	43799		
18:45	44189	44049		
19:00	44400	44299		
19:15	44380	44149		
19:30	43880	44000		
19:45	43430	43649		
20:00	43270	43299		
20:15	42860	42999		
20:30	42430	42700		
20:45	42240	42550		
21:00	41990	42400		
21:15	42430	42749		
21:30	42659	43099		
21:45	42860	43349		
22:00	42500	43599		
22:15	42979	44049		
22:30	43310	44500		
22:45	44569	44799		
23:00	43759	45099		
23:15	43340	44349		
23:30	42549	43599		
23:45	42430	42999		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
