Journée du 20/11/2012
Données consolidées
Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Autres	Ech. physiques	Taux de Co2	Ech. comm. Allemagne	Ech. comm. Angleterre	Ech. comm. Belgique	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse
00:00	61530	61600	60800	542	3324	3260	53605	1362	0	4674	-900	707	-5045	79	2737	-743	-2416	-900	-2442	-2667	
00:15		60700	59800																		
00:30	59557	59800	58800	545	3019	3233	53698	1361	0	4781	-1040	712	-6752	74							
00:45		58650	57900																		
01:00	56817	57500	57000	539	2353	3188	52841	1384	0	4348	-1411	712	-7138	67	1674	-745	-2209	-895	-2393	-2448	
01:15		57200	56650																		
01:30	56452	56900	56300	538	2134	3199	52755	1441	0	4132	-1336	704	-7115	64							
01:45		56750	56300																		
02:00	55967	56600	56300	540	1950	3198	52480	1505	0	3979	-1281	705	-7109	62	-436	-745	-2291	296	-2178	-2577	
02:15		56200	55650																		
02:30	55709	55800	55000	558	2031	3246	53352	1568	0	3854	-1524	704	-8079	63							
02:45		55000	54300																		
03:00	54002	54200	53600	613	1920	3201	52233	1640	0	3667	-1554	707	-8424	63	-1670	-745	-2415	-287	-2057	-3089	
03:15		53500	53050																		
03:30	53050	52800	52500	672	1954	3212	53254	1655	0	3734	-1791	708	-10349	63							
03:45		52450	52150																		
04:00	52155	52100	51800	728	1872	3221	52779	1692	0	3741	-2196	713	-10396	64	-1692	-745	-2421	-290	-2170	-3200	
04:15		52050	51900																		
04:30	52342	52000	52000	730	1934	3210	53134	1725	0	3819	-2271	711	-10650	64							
04:45		52500	52450																		
05:00	52833	53000	52900	730	2015	3244	53144	1736	0	3914	-2251	713	-10414	65	-310	-747	-2452	-7	-2444	-2713	
05:15		53900	53700																		
05:30	54794	54800	54500	531	2166	3297	53454	1727	0	4051	-2233	705	-8903	65							
05:45		55950	55600																		
06:00	56762	57100	56700	530	3107	3756	53338	1728	0	4172	-1989	705	-8585	79	-906	679	-2352	900	-2502	-3082	
06:15		59150	58850																		
06:30	61051	61200	61000	739	3653	4104	54372	1753	0	4523	-1331	698	-7460	88							
06:45		63150	63100																		
07:00	64720	65100	65200	788	4455	4618	54848	1674	0	5079	-27	686	-7402	97	-509	750	-2425	700	-2617	-2592	
07:15		66750	66750																		
07:30	68310	68400	68300	845	4669	4995	54905	1718	0	7837	-2	696	-7353	98							
07:45		68350	68550																		
08:00	69038	68300	68800	922	4882	4995	54866	1761	2	8223	-2	696	-7307	100	33	-403	-2263	700	-2657	-2326	
08:15		68450	68750																		
08:30	68994	68600	68700	955	4785	4988	54835	1780	71	8017	-2	693	-7127	100							
08:45		68700	68600																		
09:00	69278	68800	68500	1107	4777	4982	54807	1789	262	7858	-2	690	-6992	101	197	-572	-2099	700	-2657	-2494	
09:15		68900	68450																		
09:30	69370	69000	68400	1209	4716	5006	54835	1725	528	7675	-2	689	-7012	101							
09:45		68950	68300																		
10:00	69380	68900	68200	1409	4765	4985	54984	1690	857	7025	-3	684	-7017	104	194	-749	-2029	700	-2657	-2743	
10:15		68550	68050																		
10:30	69197	68200	67900	1714	4766	4837	55041	1686	1172	6739	-4	690	-7445	106							
10:45		68200	67800																		
