Journée du 03/08/2003
Heures	Consommation	PrévisionJ-1		
00:00	42966	42600		
00:15	42183	41750		
00:30	41010	40900		
00:45	39892	40050		
01:00	39172	39200		
01:15	39545	39400		
01:30	39160	39600		
01:45	39615	39300		
02:00	38878	39000		
02:15	39203	38400		
02:30	38061	37800		
02:45	37302	37050		
03:00	36420	36300		
03:15	36041	35800		
03:30	35499	35300		
03:45	35011	34800		
04:00	34498	34300		
04:15	34415	34000		
04:30	34257	33700		
04:45	34020	33550		
05:00	33768	33400		
05:15	33775	33350		
05:30	33720	33300		
05:45	33792	33250		
06:00	33574	33200		
06:15	33277	32850		
06:30	32834	32500		
06:45	32551	32400		
07:00	32564	32300		
07:15	32888	32650		
07:30	33264	33000		
07:45	33584	33450		
08:00	34039	33900		
08:15	34463	34400		
08:30	35074	34900		
08:45	35808	35550		
09:00	36532	36200		
09:15	36963	36850		
09:30	37531	37500		
09:45	37928	37950		
10:00	38573	38400		
10:15	39168	38950		
10:30	39411	39500		
10:45	39769	39850		
11:00	40137	40200		
11:15	40535	40550		
11:30	40432	40900		
11:45	40711	41100		
12:00	40991	41300		
12:15	41964	41850		
12:30	42226	42400		
12:45	43448	43050		
13:00	42605	43700		
13:15	42012	42550		
13:30	41271	41400		
13:45	40631	40900		
14:00	40273	40400		
14:15	40191	40050		
14:30	39621	39700		
14:45	39218	39350		
15:00	39166	39000		
15:15	38844	38700		
15:30	38582	38400		
15:45	38152	38100		
16:00	37908	37800		
16:15	37814	37600		
16:30	37713	37400		
16:45	37422	37300		
17:00	37336	37200		
17:15	37387	37300		
17:30	37325	37400		
17:45	37449	37550		
18:00	37732	37700		
18:15	38023	38050		
18:30	38201	38400		
18:45	38592	38900		
19:00	39003	39400		
19:15	39307	39700		
19:30	39606	40000		
19:45	39747	40200		
20:00	39829	40400		
20:15	40273	40400		
20:30	39990	40400		
20:45	40038	40350		
21:00	40272	40300		
21:15	40570	40650		
21:30	41053	41000		
21:45	41968	41500		
22:00	42459	42000		
22:15	43467	42550		
22:30	43930	43100		
22:45	45466	43950		
23:00	44709	44800		
23:15	44484	43950		
23:30	43639	43100		
23:45		42600		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
