Journée du 02/04/2011
Heures	Consommation	PrévisionJ-1	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2	PrévisionJ		
00:00	52045	51900	0	857	535	47577	1863	5328	2518	-6635	2023	52100		
00:15	51554	50800	0	748	160	47774	1890	6047	2595	-7661	1813	50950		
00:30	49765	49700	0	512	128	47195	1901	5213	2586	-7772	1572	49800		
00:45	48201	48550	0	351	167	47469	1982	3048	2526	-7343	1408	48550		
01:00	47276	47400	0	304	200	46856	2023	2760	2529	-7399	1376	47300		
01:15	47513	47750	0	184	166	46055	2043	2300	2517	-5755	1244	47250		
01:30	46799	48100	0	0	176	45371	2068	2308	2523	-5622	1047	47200		
01:45	46963	47950	0	0	235	45512	2105	2121	2523	-5513	1072	46950		
02:00	46110	47800	0	0	221	45165	2140	2039	2507	-5942	1062	46700		
02:15	46459	47150	0	0	138	46310	2165	1959	2519	-6613	1038	45850		
02:30	45116	46500	0	0	163	45254	2190	1647	2486	-6605	1033	45000		
02:45	44415	45450	0	0	210	45337	2152	892	2520	-6684	1070	44150		
03:00	43395	44400	0	0	118	45418	2163	932	2522	-7744	1037	43300		
03:15	42875	43800	0	0	163	46235	2189	817	2508	-9025	1048	42700		
03:30	42057	43200	0	0	204	45406	2158	754	2510	-8962	1064	42100		
03:45	41707	42550	0	0	203	45024	2197	717	2509	-8930	1062	41650		
04:00	41363	41900	0	0	156	45094	2162	519	2484	-9040	1037	41200		
04:15	41114	41550	0	0	152	45173	2163	404	2500	-9266	1041	40900		
04:30	40566	41200	0	0	217	44945	2145	396	2504	-9627	1066	40600		
04:45	40583	40900	0	0	168	45286	2196	344	2507	-9905	1050	40450		
05:00	40577	40600	0	0	129	45112	2225	341	2506	-9723	1035	40300		
05:15	40758	40850	0	0	170	45046	2212	336	2499	-9493	1047	40650		
05:30	41004	41100	0	0	205	44956	2154	473	2494	-9264	1057	41000		
05:45	41175	41400	0	0	155	45332	2153	393	2504	-9347	1043	41350		
06:00	41734	41700	0	0	143	45745	2138	451	2449	-9179	1018	41700		
06:15	42449	42150	0	0	196	45519	2187	620	2508	-8568	1060	42200		
06:30	42812	42600	0	0	167	45885	2161	868	2510	-8767	1050	42700		
06:45	43088	43200	0	0	159	45290	2200	1227	2472	-8247	1033	43300		
07:00	43949	43800	0	0	153	45740	2151	1219	2504	-7804	1042	43900		
07:15	43992	44100	0	0	206	45674	2084	1464	2522	-7947	1070	43950		
07:30	43964	44400	0	0	128	46038	2101	1484	2507	-8284	1036	44000		
07:45	44439	45050	0	0	148	46195	2128	1493	2511	-8018	1039	44700		
08:00	45369	45700	0	0	149	46087	2107	2216	2519	-7687	1039	45400		
08:15	46148	46350	0	0	184	46425	2056	3792	2578	-8859	1068	46050		
08:30	46740	47000	0	0	126	46366	1967	4596	2603	-8891	1058	46700		
08:45	47473	47700	0	0	135	46243	1922	5393	2597	-8789	1059	47400		
09:00	48119	48400	0	0	176	46464	1847	5802	2595	-8736	1071	48100		
09:15	49240	49050	0	0	157	46175	1797	6392	2753	-8007	1131	48750		
09:30	49410	49700	0	0	149	46569	1670	6498	2755	-8202	1126	49400		
09:45	49599	49850	0	0	155	46463	1563	6563	2762	-7879	1131	49750		
10:00	49663	50000	0	0	217	46430	1443	6810	2763	-7972	1155	50100		
10:15	49927	49900	0	0	134	46246	1406	6683	2936	-7454	1199	49800		
10:30	49508	49800	0	0	135	46022	1312	6472	2917	-7323	1188	49500		
10:45	49148	49650	0	0	159	46005	1259	6372	2929	-7549	1202	49350		
11:00	49248	49500	0	0	170	46091	1213	6203	2894	-7297	1193	49200		
11:15	49294	49350	0	0	167	46104	1142	5910	3049	-7053	1254	49100		
11:30	49140	49200	0	0	153	46141	1106	5610	3047	-6892	1248	49000		
11:45	48981	49400	0	0	191	45877	1089	5643	3045	-6841	1263	49200		
12:00	49382	49600	0	0	196	46186	1062	5661	3047	-6752	1270	49400		
12:15	50063	49950	0	0	187	46083	1050	5183	3113	-5535	1294	49750		
12:30	50147	50300	0	0	163	45906	1066	5633	3093	-5696	1277	50100		
12:45	51229	50850	0	0	222	46056	1075	6117	3112	-5335	1306	50700		
13:00	50370	51400	0	0	209	45976	1058	5912	3112	-5878	1301	51300		
13:15	49431	50400	0	0	167	46160	1043	5408	3115	-6444	1288	49800		
13:30	48350	49400	0	0	171	45198	1008	5053	3111	-6173	1288	48300		
13:45	47919	48800	0	0	247	45522	1013	4205	3110	-6159	1313	48000		
14:00	47675	48200	0	0	142	45263	987	4365	3101	-6166	1273	47700		
14:15	47632	47950	0	0	185	45543	1016	3942	3054	-6090	1270	47500		
14:30	47019	47700	0	0	223	45166	1018	3678	3031	-6080	1274	47300		
14:45	46295	46850	0	0	217	45249	1068	2905	3056	-6183	1282	46450		
15:00	45634	46000	0	0	189	45140	1032	2618	3027	-6354	1261	45600		
15:15	45112	45500	0	0	222	46007	1074	2641	2928	-7741	1232	45050		
15:30	44551	45000	0	0	233	45429	1063	2147	2931	-7232	1236	44500		
15:45	44179	44550	0	0	179	45606	1059	1898	2907	-7451	1207	44050		
16:00	43797	44100	0	0	177	45586	1044	1787	2926	-7700	1210	43600		
16:15	43406	43700	0	0	174	45718	1028	2106	2780	-8381	1154	43200		
16:30	43180	43300	0	0	224	45127	1006	2142	2798	-8094	1177	42800		
16:45	42982	43050	0	0	171	44864	972	2177	2798	-7977	1158	42500		
17:00	42655	42800	0	0	164	45094	967	1906	2815	-8272	1164	42200		
17:15	42419	42550	0	0	212	45001	926	2063	2652	-8405	1107	41950		
17:30	42637	42300	0	0	231	45286	926	2124	2668	-8569	1120	41700		
17:45	42862	42700	0	0	186	45451	922	2160	2662	-8497	1109	42100		
18:00	43085	43100	0	0	215	45511	867	2385	2645	-8510	1107	42500		
18:15	43630	43500	0	0	237	45436	903	2788	2525	-8228	1065	42900		
18:30	43939	43900	0	0	233	45508	900	3187	2526	-8388	1067	43300		
18:45	44606	44550	0	0	227	45177	935	4196	2506	-8406	1054	43950		
19:00	45263	45200	0	0	183	45535	898	4284	2527	-8143	1056	44600		
19:15	45426	45500	0	0	240	45125	871	4609	2467	-7868	1055	44850		
19:30	45725	45800	0	0	215	45603	863	4862	2472	-8272	1046	45100		
19:45	45896	46050	0	0	193	45890	861	5077	2467	-8574	1038	45350		
20:00	46276	46300	0	0	231	45835	886	5276	2461	-8399	1051	45600		
20:15	46757	46900	0	0	225	45472	939	5800	2452	-8112	1042	46200		
20:30	47531	47500	0	0	180	45755	986	6217	2455	-8042	1026	46800		
20:45	48214	48200	0	0	184	46015	1011	6788	2451	-8214	1025	47500		
21:00	47767	48900	0	0	246	45682	945	6521	2450	-8054	1046	48200		
21:15	47494	48400	0	0	203	45498	927	6066	2449	-7627	1031	47750		
21:30	46882	47900	0	0	198	45508	957	5360	2454	-7573	1030	47300		
21:45	46445	47400	0	0	154	45525	965	4816	2459	-7451	1016	46900		
