Journée du 17/02/2011
Heures	Consommation	PrévisionJ-1	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2	PrévisionJ		
00:00	65920	66400	177	2169	2989	55796	1704	2519	5728	-5165	5592	65900		
00:15	65748	65700	177	2422	2951	56040	1668	3161	5667	-6339	5796	65000		
00:30	64053	65000	178	2205	3000	55281	1634	2857	5712	-6814	5624	64100		
00:45	63221	64000	178	2105	2935	55244	1603	1973	5721	-6539	5508	63150		
01:00	62454	63000	178	2061	2842	55227	1574	1165	5699	-6295	5424	62200		
01:15	64856	63850	177	2378	2784	56186	1515	1017	5724	-4928	5717	63550		
01:30	64229	64700	180	2284	2744	55882	1491	1142	5745	-5241	5623	64900		
01:45	64720	64750	178	2279	2748	55978	1462	1510	5723	-5159	5609	64950		
02:00	63982	64800	179	2150	2693	55576	1449	1404	5720	-5191	5465	65000		
02:15	64714	64250	179	2448	2758	56507	1408	1391	5729	-5707	5778	64300		
02:30	63590	63700	179	2348	2692	56242	1354	797	5726	-5749	5657	63600		
02:45	63151	62950	179	2353	2728	56243	1361	0	5724	-5439	5674	62800		
03:00	62229	62200	179	2352	2732	55763	1342	0	5700	-5841	5665	62000		
03:15	61656	61600	178	2520	2576	56274	1318	0	5725	-6938	5780	61300		
03:30	60931	61000	178	2277	2550	55677	1273	0	5697	-6723	5526	60600		
03:45	60739	60550	179	2256	2552	55740	1258	0	5723	-6971	5518	60100		
04:00	60181	60100	201	2104	2543	55450	1232	0	5676	-7026	5366	59600		
04:15	60438	60050	256	2283	2744	55902	1239	0	5713	-7702	5671	59500		
04:30	60275	60000	298	2427	2684	55775	1214	0	5695	-7820	5813	59400		
04:45	60288	60100	307	2268	2685	56046	1215	0	5729	-7964	5682	59800		
05:00	60773	60200	310	2148	2745	55668	1208	0	5730	-7039	5592	60200		
05:15	61753	61050	308	2222	2869	55901	1175	0	5733	-6457	5707	61050		
05:30	62206	61900	308	2402	2891	56482	1139	0	5766	-6784	5901	61900		
05:45	62750	62850	307	2466	2904	56537	1115	425	5738	-6746	5955	62950		
06:00	63822	63800	307	2628	2893	56473	1122	554	5702	-5858	6091	64000		
06:15	65840	65750	307	2475	2939	56292	1102	1309	5758	-4345	5983	65750		
06:30	67313	67700	311	2734	2949	56727	1069	1861	5744	-4084	6234	67500		
06:45	68703	68800	428	2820	2966	56622	1062	3516	5760	-4475	6423	68850		
07:00	70200	69900	493	3029	2953	56552	1092	5227	5744	-4893	6664	70200		
07:15	71227	71650	492	2659	2943	56611	1074	6144	5758	-4457	6309	71500		
