Journée du 17/09/2010
Heures	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2	Consommation	PrévisionJ-1	PrévisionJ		
00:00	0	1118	1491	44255	585	2051	1585	-2097	2244	48989	49200	49000		
00:15										48000	48050	47950		
00:30	0	1046	780	44030	588	2490	1593	-4228	1922	46300	46900	46900		
00:45	0	885	722	43496	577	1667	1582	-3920	1742	45009	45700	45550		
01:00	0	710	727	43543	569	1063	1582	-3923	1576	44271	44500	44200		
01:15	0	737	736	44369	568	510	1584	-3966	1606	44539	44750	44450		
01:30	0	696	734	43931	556	160	1579	-3746	1564	43910	45000	44700		
01:45	0	690	736	44031	539	121	1580	-3666	1559	44032	44850	44350		
02:00	0	693	732	43726	531	129	1580	-3957	1561	43436	44700	44000		
02:15	0	746	732	44579	513	676	1585	-5197	1614	43636	44050	43300		
02:30	0	745	734	43846	521	784	1566	-5523	1606	42674	43400	42600		
02:45	0	660	726	43149	517	649	1566	-5368	1521	41900	42500	41950		
03:00	0	656	728	42905	503	612	1566	-5669	1518	41301	41600	41300		
03:15	0	689	732	43840	491	771	1561	-7158	1549	40927	41200	40850		
03:30	0	673	733	43423	511	780	1562	-7273	1534	40410	40800	40400		
03:45	0	678	732	42838	508	397	1564	-6815	1540	39903	40400	39950		
04:00	0	655	729	42815	505	441	1567	-7122	1518	39591	40000	39500		
04:15	0	671	739	43386	529	278	1575	-7211	1540	39968	39900	39550		
04:30	0	682	731	43505	503	71	1575	-7292	1548	39777	39800	39600		
04:45	0	648	736	43399	476	311	1576	-7407	1517	39740	40050	39950		
05:00	0	642	732	43388	466	346	1579	-6912	1511	40242	40300	40300		
05:15	0	640	739	42962	461	396	1574	-5558	1510	41215	41100	40900		
05:30	0	679	738	42967	465	743	1571	-5651	1546	41513	41900	41500		
05:45	0	761	1072	43614	472	728	1578	-5964	1747	42262	42800	42450		
06:00	0	870	1232	43196	446	1089	1572	-5001	1907	43405	43700	43400		
06:15	0	857	1395	43474	445	1291	1581	-4222	1957	44822	45300	44950		
06:30	0	913	1600	43906	423	1428	1580	-3360	2084	46490	46900	46500		
06:45	0	1023	1629	44443	438	2627	1592	-3690	2205	48063	48600	48300		
07:00	0	1075	1746	44376	444	3628	1591	-2750	2297	50110	50300	50100		
07:15	0	1185	1768	44057	426	4478	1593	-1772	2411	51736	51500	51250		
07:30	0	1360	1770	44437	441	4817	1592	-1990	2579	52428	52700	52400		
07:45	0	1306	1774	44335	445	4886	1592	-1751	2529	52588	53100	52800		
08:00	0	1364	1773	44421	426	5127	1592	-1536	2584	53169	53500	53200		
08:15	0	1343	1777	44382	439	4949	1615	-770	2575	53736	54000	53600		
08:30	0	1440	1772	44696	412	5232	1617	-1207	2667	53963	54500	54000		
08:45	0	1532	1779	44848	418	5648	1606	-1426	2753	54406	54850	54350		
09:00	0	1439	1781	44741	400	5968	1605	-1277	2664	54658	55200	54700		
09:15	15	1389	1778	44832	375	5931	1663	-675	2650	55309	55550	55100		
09:30	179	1428	1778	44764	342	6152	1660	-889	2818	55415	55900	55500		
09:45	173	1327	1773	44797	324	6235	1674	-705	2720	55600	56050	55600		
10:00	173	1294	1783	44819	343	6248	1663	-706	2688	55618	56200	55700		
10:15	204	1189	1778	44865	355	6052	1740	-510	2640	55674	56300	55700		
10:30	228	1195	1779	44861	367	6077	1735	-645	2664	55598	56400	55700		
10:45	216	1214	1774	44871	390	6062	1738	-404	2672	55862	56450	55750		
11:00	233	1195	1774	44849	395	6031	1747	-444	2671	55782	56500	55800		
11:15	234	1234	1774	44870	406	5782	1809	-432	2734	55677	56600	55900		
11:30	56	1511	1774	44922	413	5633	1801	-155	2854	55955	56700	56000		
