Journée du 18/12/2008
Heures	Consommation	PrévisionJ-1	PrévisionJ		
00:00	71665	71600	71600		
00:15	70798	70850	70700		
00:30	69740	70100	69800		
00:45	68792	68850	68700		
01:00	67608	67600	67600		
01:15	68322	68050	68000		
01:30	67775	68500	68400		
01:45	68675	68550	68550		
02:00	67902	68600	68700		
02:15	68596	68050	68100		
02:30	67585	67500	67500		
02:45	66965	66600	66650		
03:00	65823	65700	65800		
03:15	65257	65150	65150		
03:30	64603	64600	64500		
03:45	63948	64050	64050		
04:00	63611	63500	63600		
04:15	63635	63350	63300		
04:30	62990	63200	63000		
04:45	63122	63400	63200		
05:00	63427	63600	63400		
05:15	64739	64600	64250		
05:30	65150	65600	65100		
05:45	65916	66450	66100		
06:00	67147	67300	67100		
06:15	69204	69250	68950		
06:30	70557	71200	70800		
06:45	72246	73000	72550		
07:00	74098	74800	74300		
07:15	76403	76850	76350		
07:30	78080	78900	78400		
07:45	78838	79750	79350		
08:00	79897	80600	80300		
08:15	80165	80450	80300		
08:30	79834	80300	80300		
08:45	79493	80000	79800		
09:00	79073	79700	79300		
09:15	79276	79800	79250		
09:30	79194	79900	79200		
09:45	79183	79950	79150		
10:00	79040	80000	79100		
10:15	79088	80050	79050		
10:30	78864	80100	79000		
10:45	78973	80100	79000		
11:00	78894	80100	79000		
11:15	79417	80300	79100		
11:30	79109	80500	79200		
11:45	79395	80600	79300		
12:00	79393	80700	79400		
12:15	78742	80300	78800		
12:30	78389	79900	78200		
12:45	79249	80450	78550		
13:00	78922	81000	78900		
13:15	78618	80150	78550		
13:30	78158	79300	78200		
13:45	77960	79200	77900		
14:00	77566	79100	77600		
14:15	77699	79050	77550		
14:30	77255	79000	77500		
14:45	76390	78200	76800		
15:00	75959	77400	76100		
15:15	75584	77100	75950		
15:30	75278	76800	75800		
15:45	74968	76300	75400		
16:00	74492	75800	75000		
16:15	74664	75900	75150		
16:30	74588	76000	75300		
16:45	74656	76500	75900		
17:00	75600	77000	76500		
17:15	76651	78300	77850		
17:30	78094	79600	79200		
17:45	79490	80250	79900		
18:00	80280	80900	80600		
18:15	80277	81100	80900		
18:30	80588	81300	81200		
18:45	81092	81900	81850		
19:00	81536	82500	82500		
19:15	80847	81650	81650		
19:30	80132	80800	80800		
19:45	78900	79800	79800		
20:00	77966	78800	78800		
20:15	77200	77700	77700		
20:30	76305	76600	76600		
20:45	75172	75650	75650		
21:00	74171	74700	74700		
21:15	73057	73450	73450		
21:30	71714	72200	72200		
21:45	70717	71150	71150		
22:00	69490	70100	70100		
22:15	69871	70500	70500		
22:30	69907	70900	70900		
22:45	71816	71800	71800		
23:00	70256	72700	72700		
23:15	69722	71550	71550		
23:30	68837	70400	70400		
23:45	69524	69925	69800		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
