Journée du 19/05/2001
Heures	Consommation	PrévisionJ-1		
00:00	45990	47000		
00:15	45189	45899		
00:30	43950	44799		
00:45	43060	43749		
01:00	42299	42700		
01:15	42599	42950		
01:30	42080	43200		
01:45	42419	42999		
02:00	41659	42799		
02:15	42180	42149		
02:30	41060	41500		
02:45	40250	40649		
03:00	39459	39799		
03:15	38959	39249		
03:30	38200	38700		
03:45	37869	38249		
04:00	37310	37799		
04:15	37130	37499		
04:30	36770	37200		
04:45	36650	37050		
05:00	36360	36900		
05:15	36790	37050		
05:30	36650	37200		
05:45	36869	37100		
06:00	36319	37000		
06:15	36580	37000		
06:30	36430	37000		
06:45	36959	37500		
07:00	37689	38000		
07:15	38369	38700		
07:30	39200	39400		
07:45	39889	40150		
08:00	40520	40900		
08:15	40979	41599		
08:30	41689	42299		
08:45	42310	42899		
09:00	43049	43500		
09:15	43770	44049		
09:30	43939	44599		
09:45	44130	44699		
10:00	44479	44799		
10:15	44279	44849		
10:30	44400	44900		
10:45	43990	44849		
11:00	44049	44799		
11:15	44119	44849		
11:30	44000	44900		
11:45		45050		
12:00		45200		
12:15		45550		
12:30		45900		
12:45		46450		
13:00		47000		
13:15		46000		
13:30		45000		
13:45		44500		
14:00		44000		
14:15		43649		
14:30		43299		
14:45		42699		
15:00		42099		
15:15		41599		
15:30		41099		
15:45		40749		
16:00		40400		
16:15		40099		
16:30		39799		
16:45		39449		
17:00		39099		
17:15		38999		
17:30		38900		
17:45		39150		
18:00		39400		
18:15		39749		
18:30		40099		
18:45		40599		
19:00		41099		
19:15		40949		
19:30		40799		
19:45		40749		
20:00		40700		
20:15		40550		
20:30		40400		
20:45		40300		
21:00		40200		
21:15		40300		
21:30		40400		
21:45		40800		
22:00		41200		
22:15		42050		
22:30		42900		
22:45		43550		
23:00		44200		
23:15		43700		
23:30		43200		
23:45		42899		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
