Journée du 02/12/2003
Heures	Consommation	PrévisionJ-1		
00:00	58468	58800		
00:15	58356	58000		
00:30	56941	57200		
00:45	56012	56250		
01:00	55349	55300		
01:15	56031	55800		
01:30	55346	56300		
01:45	56195	56350		
02:00	55431	56400		
02:15	55966	55800		
02:30	55157	55200		
02:45	54424	54400		
03:00	53426	53600		
03:15	53259	52950		
03:30	52490	52300		
03:45	51975	51950		
04:00	51568	51600		
04:15	51703	51450		
04:30	51438	51300		
04:45	51515	51400		
05:00	51774	51500		
05:15	52710	52450		
05:30	53431	53400		
05:45	54483	54300		
06:00	55548	55200		
06:15	57030	56800		
06:30	58538	58400		
06:45	60336	60250		
07:00	62757	62100		
07:15	64498	64150		
07:30	66544	66200		
07:45	67427	67300		
08:00	68533	68400		
08:15	68653	68250		
08:30	68496	68100		
08:45	68424	68200		
09:00	68263	68300		
09:15	68458	68500		
09:30	68516	68700		
09:45	68705	68700		
10:00	68479	68700		
10:15	68286	68600		
10:30	68283	68500		
10:45	68382	68500		
11:00	68665	68500		
11:15	69043	68550		
11:30	68854	68600		
11:45	69022	68600		
12:00	69195	68600		
12:15	68716	67900		
12:30	68432	67200		
12:45	69241	67900		
13:00	68214	68600		
13:15	68499	68050		
13:30	68182	67500		
13:45	68331	67650		
14:00	68130	67800		
14:15	68651	67450		
14:30	67940	67100		
14:45	67161	66750		
15:00	66952	66400		
15:15	66460	66100		
15:30	66190	65800		
15:45	66361	65650		
16:00	65999	65500		
16:15	66229	65400		
16:30	66544	65300		
16:45	66572	65900		
17:00	67389	66500		
17:15	68109	67850		
17:30	69202	69200		
17:45	69961	70200		
18:00	70689	71200		
18:15	70852	71750		
18:30	71405	72300		
18:45	71747	72600		
19:00	72273	72900		
19:15	71015	71950		
19:30	69931	71000		
19:45	69409	70000		
20:00	68292	69000		
20:15	67785	67800		
20:30	66725	66600		
20:45	65546	65600		
21:00	64606	64600		
21:15	63716	63600		
21:30	62285	62600		
21:45	61467	61650		
22:00	60528	60700		
22:15	61392	61400		
22:30	61389	62100		
22:45	62701	62750		
23:00	61908	63400		
23:15	61362	62200		
23:30	60520	61000		
23:45	60483	60350		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
