Journée du 24/08/2008
Heures	Consommation	PrévisionJ-1	PrévisionJ		
00:00	43924	43400	44000		
00:15	43319	42500	43000		
00:30	41987	41600	42000		
00:45	40723	40500	41000		
01:00	39906	39400	40000		
01:15	40317	39750	40200		
01:30	39711	40100	40400		
01:45	39757	39900	40200		
02:00	39210	39700	40000		
02:15	39116	38950	39050		
02:30	38114	38200	38100		
02:45	37238	37400	37200		
03:00	36347	36600	36300		
03:15	35763	36100	35950		
03:30	35579	35600	35600		
03:45	35243	35050	35150		
04:00	34758	34500	34700		
04:15	34432	34100	34400		
04:30	34089	33700	34100		
04:45	33823	33600	33850		
05:00	33507	33500	33600		
05:15	33828	33500	33650		
05:30	33833	33500	33700		
05:45	33832	33500	33900		
06:00	33936	33500	34100		
06:15	34367	33650	34300		
06:30	34357	33800	34500		
06:45	33950	33400	33850		
07:00	33352	33000	33200		
07:15	33280	32950	33200		
07:30	33376	32900	33200		
07:45	33752	33500	33750		
08:00	34349	34100	34300		
08:15	35035	34650	35000		
08:30	35733	35200	35700		
08:45	36401	35900	36350		
09:00	37073	36600	37000		
09:15	38013	37400	37750		
09:30	38542	38200	38500		
09:45	39115	38750	39200		
10:00	39923	39300	39900		
10:15	40310	39750	40250		
10:30	40692	40200	40600		
10:45	40968	40550	41050		
11:00	41307	40900	41500		
11:15	41508	41300	41750		
11:30	42033	41700	42000		
11:45	42321	42000	42300		
12:00	42689	42300	42600		
12:15	43512	42800	43050		
12:30	43892	43300	43500		
12:45	45040	44000	44200		
13:00	44505	44700	44900		
13:15	43878	43550	43750		
13:30	42983	42400	42600		
13:45	42263	41750	41900		
14:00	41783	41100	41200		
14:15	41762	40900	41000		
14:30	41296	40700	40800		
14:45	40626	40150	40250		
15:00	40269	39600	39700		
15:15	40055	39300	39350		
15:30	39631	39000	39000		
15:45	39254	38600	38600		
16:00	38737	38200	38200		
16:15	38573	37900	37900		
16:30	38621	37600	37600		
16:45	38651	37400	37350		
17:00	38450	37200	37100		
17:15	38459	37250	37150		
17:30	38567	37300	37200		
17:45	38643	37650	37600		
18:00	39111	38000	38000		
18:15	39607	38400	38450		
18:30	39835	38800	38900		
18:45	40368	39350	39500		
19:00	41049	39900	40100		
19:15	41271	40200	40450		
19:30	41569	40500	40800		
19:45	41821	40800	41150		
20:00	42307	41100	41500		
20:15	42295	41550	42000		
20:30	42590	42000	42500		
20:45	43223	43000	43550		
21:00	43991	44000	44600		
21:15	44706	44250	44800		
21:30	44377	44500	45000		
21:45	44294	43900	44300		
22:00	43603	43300	43600		
22:15	44137	43750	44000		
22:30	44374	44200	44400		
22:45	46284	45000	45100		
23:00	45764	45800	45800		
23:15	45391	45000	45050		
23:30	44733	44200	44300		
23:45	44828	43750	43800		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
