Journée du 30/07/2003
Heures	Consommation	PrévisionJ-1		
00:00	46132	45800		
00:15	45348	44900		
00:30	44059	44000		
00:45	42740	43000		
01:00	42310	42000		
01:15	42792	42300		
01:30	42333	42600		
01:45	42733	42400		
02:00	41889	42200		
02:15	42332	41550		
02:30	41304	40900		
02:45	40519	40250		
03:00	39665	39600		
03:15	39464	39150		
03:30	38904	38700		
03:45	38780	38350		
04:00	38249	38000		
04:15	38282	37900		
04:30	38108	37800		
04:45	38197	37950		
05:00	38358	38100		
05:15	39167	38600		
05:30	39543	39100		
05:45	40164	39350		
06:00	40490	39600		
06:15	40968	40150		
06:30	41303	40700		
06:45	41793	41500		
07:00	42625	42300		
07:15	43818	43350		
07:30	44633	44400		
07:45	45620	45400		
08:00	46711	46400		
08:15	48103	47350		
08:30	48727	48300		
08:45	49546	49050		
09:00	50185	49800		
09:15	51046	50400		
09:30	51375	51000		
09:45	52139	51400		
10:00	52274	51800		
10:15	52489	52050		
10:30	52489	52300		
10:45		52450		
11:00	53436	52600		
11:15	53569	52800		
11:30	53680	53000		
11:45	53820	53100		
12:00	54118	53200		
12:15	53704	52800		
12:30	53504	52400		
12:45	54414	53050		
13:00	53474	53700		
13:15	53221	53000		
13:30	53004	52300		
13:45	53159	52450		
14:00	53306	52600		
14:15	53680	52450		
14:30	52812	52300		
14:45	52437	51900		
15:00	51993	51500		
15:15	51718	51200		
15:30	51394	50900		
15:45	51205	50500		
16:00	50734	50100		
16:15	50497	49850		
16:30	50250	49600		
16:45	49928	49250		
17:00	49546	48900		
17:15	49145	48650		
17:30	48915	48400		
17:45	48870	48250		
18:00	48749	48100		
18:15	48781	48200		
18:30	48824	48300		
18:45	49117	48500		
19:00	49491	48700		
19:15	49339	48350		
19:30	49086	48000		
19:45	48379	47550		
20:00	48121	47100		
20:15	47536	46600		
20:30	46779	46100		
20:45	46390	45600		
21:00	46023	45100		
21:15	46024	45150		
21:30	45747	45200		
21:45	46132	45600		
22:00	46304	46000		
22:15	47545	46900		
22:30	47380	47800		
22:45	49419	48450		
23:00	48619	49100		
23:15	48442	48150		
23:30	47393	47200		
23:45	47110	46600		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
