Journée du 01/12/2010
Heures	Consommation	PrévisionJ-1	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2	PrévisionJ		
00:00	79466	79400	689	4975	2777	54035	1919	6130	5833	3106	8660	79500		
00:15	78913	78400	703	5158	2738	54057	1902	4856	5926	3570	8871	78600		
00:30	77652	77400	691	5019	2707	53914	1837	3888	5928	3665	8717	77700		
00:45	76077	76450	694	4754	2656	53741	1859	3130	5896	3344	8434	76450		
01:00	75580	75500	705	4654	2602	53703	1824	3057	5898	3135	8328	75200		
01:15	76912	76350	733	5129	2711	54131	1835	2794	5897	3679	8845	76100		
01:30	76578	77200	719	5147	2744	54081	1823	2767	5899	3396	8864	77000		
01:45	77140	76950	709	5344	2728	54364	1797	2845	5888	3462	9036	77100		
02:00	76473	76700	699	5000	2714	54114	1791	2535	5887	3730	8691	77200		
02:15	77124	76100	789	5076	2696	54276	1777	2606	5881	4020	8828	76600		
02:30	76039	75500	793	4789	2713	54113	1819	1877	5883	4050	8562	76000		
02:45	75150	74650	798	4794	2657	54108	1838	1166	5887	3901	8552	75100		
03:00	74183	73800	765	4614	2650	53976	1848	1000	5887	3442	8350	74200		
03:15	73564	73350	810	4688	2676	54239	1822	285	5889	3151	8468	73650		
03:30	73086	72900	788	4556	2712	54131	1808	92	5874	3121	8331	73100		
03:45	72732	72550	703	4320	2698	53969	1772	32	5857	3378	8024	72450		
04:00	71877	72200	693	3985	2643	53649	1744	0	5842	3319	7669	71800		
04:15	72160	72100	699	4197	2684	54097	1741	0	5844	2897	7892	71900		
04:30	71982	72000	712	4106	2608	54000	1782	146	5846	2780	7789	72000		
04:45	72139	72250	748	4027	2638	53817	1734	410	5882	2879	7767	72350		
05:00	72653	72500	876	3947	2626	53688	1757	537	5886	3333	7790	72700		
05:15	73911	73350	953	3983	2719	53891	1748	1098	5881	3634	7919	73450		
05:30	74220	74200	1052	4049	2680	53859	1738	1358	5885	3596	8047	74200		
05:45	75220	75100	1062	4349	2690	54112	1756	1666	5907	3676	8356	75150		
06:00	76158	76000	1116	4608	2726	54155	1717	1749	5899	4183	8659	76100		
