Journée du 17/07/2012
Données temps réel
Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Autres	Ech. physiques	Taux de Co2	Ech. comm. Allemagne	Ech. comm. Angleterre	Ech. comm. Belgique	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse
00:00	48298	47700	48300	0	275	330	39343	3187	ND	5513	ND	1931	-2281	22	ND	ND	ND	ND	ND	ND	
00:15	47443	46500	46950	0	266	328	39412	3211	ND	5269	ND	1919	-2962	22							
00:30	45610	45300	45600	0	260	336	38609	3255	ND	4437	ND	1923	-3210	23							
00:45	44035	43950	44150	0	261	332	38501	3300	ND	2828	ND	1906	-3093	24							
01:00	42740	42600	42700	0	255	331	38440	3284	ND	2410	ND	1904	-3884	24	ND	ND	ND	ND	ND	ND	
01:15	42942	42600	42950	0	224	330	39615	3222	ND	1994	ND	1896	-4339	23							
01:30	42503	42600	43200	0	177	327	39427	3174	ND	1944	ND	1906	-4452	22							
01:45	42402	42300	43000	0	146	314	39653	3119	ND	1752	ND	1905	-4487	21							
02:00	41731	42000	42800	0	130	328	39643	3115	ND	1624	ND	1897	-5006	21	ND	ND	ND	ND	ND	ND	
02:15	42071	41500	41850	0	147	331	38989	3071	ND	1808	ND	1902	-4177	22							
02:30	40753	41000	40900	0	136	328	38550	2978	ND	1758	ND	1905	-4902	22							
02:45	40166	40200	40150	0	234	328	38000	2896	ND	1562	ND	1891	-4745	24							
03:00	39398	39400	39400	0	229	330	38018	2785	ND	1489	ND	1895	-5348	24	ND	ND	ND	ND	ND	ND	
03:15	38787	38950	38950	0	272	333	37804	2763	ND	1431	ND	1888	-5704	25							
03:30	38364	38500	38500	0	290	328	37649	2724	ND	1324	ND	1897	-5848	26							
03:45	38089	38200	38150	0	305	330	37638	2682	ND	823	ND	1883	-5572	26							
04:00	37780	37900	37800	0	332	334	37363	2632	ND	848	ND	1886	-5615	27	ND	ND	ND	ND	ND	ND	
04:15	37805	37800	37650	0	426	330	37652	2531	ND	934	ND	1895	-5963	29							
04:30	37495	37700	37500	0	421	333	37526	2481	ND	922	ND	1890	-6078	29							
04:45	37663	37950	37800	0	440	333	37619	2442	ND	921	ND	1887	-5979	29							
05:00	37977	38200	38100	0	457	335	37731	2378	ND	976	ND	1886	-5786	30	ND	ND	ND	ND	ND	ND	
05:15	39158	38650	38750	0	600	332	38618	2421	ND	1318	ND	1891	-6022	32							
05:30	39257	39100	39400	0	517	335	38871	2335	ND	1331	ND	1887	-6019	30							
05:45	40029	39550	39900	0	576	336	39143	2273	ND	1336	ND	1882	-5517	31							
06:00	40145	40000	40400	0	762	333	39434	2251	ND	1654	ND	1878	-6167	34	ND	ND	ND	ND	ND	ND	
06:15	40808	40800	40800	0	851	333	38937	2193	ND	2067	ND	1891	-5464	36							
