Journée du 30/04/2012
Données temps réel
Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Autres	Ech. physiques	Taux de Co2	Ech. comm. Allemagne	Ech. comm. Angleterre	Ech. comm. Belgique	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse
00:00	49746	50000	49700	0	568	210	41163	2152	ND	8801	ND	2198	-5346	27	ND	ND	ND	ND	ND	ND	
00:15	49331	49000	48750	0	534	216	40829	2237	ND	7614	ND	2217	-4316	27							
00:30	47955	48000	47800	0	483	224	39848	2232	ND	7033	ND	2219	-4084	27							
00:45	46479	46950	46750	0	453	223	39344	2266	ND	6446	ND	2221	-4474	27							
01:00	45835	45900	45700	0	394	209	39610	2215	ND	5695	ND	2220	-4508	26	ND	ND	ND	ND	ND	ND	
01:15	46087	46050	45850	0	305	217	39598	2157	ND	5635	ND	2221	-4046	25							
01:30	45577	46200	46000	0	219	213	39818	2072	ND	5144	ND	2221	-4110	23							
01:45	45535	46150	45750	0	159	220	39971	2087	ND	4806	ND	2221	-3929	22							
02:00	45010	46100	45500	0	46	220	39991	2094	ND	4794	ND	2221	-4356	20	ND	ND	ND	ND	ND	ND	
02:15	45368	45400	44950	0	0	223	40931	2137	ND	4586	ND	2220	-4700	18							
02:30	44436	44700	44400	0	0	219	40285	2127	ND	4528	ND	2220	-4915	19							
02:45	43586	43800	43600	0	0	209	39667	2117	ND	4070	ND	2219	-4664	19							
03:00	42839	42900	42800	0	0	212	39332	2102	ND	4112	ND	2218	-5105	19	ND	ND	ND	ND	ND	ND	
03:15	42306	42400	42150	0	0	215	40427	2005	ND	4114	ND	2216	-6637	19							
03:30	41505	41900	41500	0	0	221	39825	1983	ND	4113	ND	2217	-6825	19							
03:45	41170	41450	41300	0	0	219	39566	1922	ND	4220	ND	2221	-6950	19							
04:00	41036	41000	41100	0	0	218	39317	1918	ND	4263	ND	2218	-6879	19	ND	ND	ND	ND	ND	ND	
04:15	40827	40900	40850	0	0	218	39644	1854	ND	4478	ND	2218	-7548	19							
04:30	40873	40800	40600	0	0	220	39549	1853	ND	4537	ND	2220	-7483	19							
04:45	40618	41000	40900	0	0	208	39448	1821	ND	4543	ND	2222	-7590	19							
05:00	41165	41200	41200	0	0	217	39648	1837	ND	4660	ND	2218	-7384	19	ND	ND	ND	ND	ND	ND	
05:15	41819	41750	41700	0	0	216	40054	1825	ND	4762	ND	2219	-7226	19							
05:30	42292	42300	42200	0	0	202	40651	1836	ND	4820	ND	2221	-7401	18							
05:45	42955	43100	43100	0	53	207	40892	1842	ND	5177	ND	2220	-7436	20							
06:00	43884	43900	44000	0	60	220	40811	1777	ND	5376	ND	2222	-6582	20	ND	ND	ND	ND	ND	ND	
06:15	44652	44950	44550	0	96	215	40593	1807	ND	5860	ND	2222	-6141	20							
06:30	45327	46000	45100	0	135	197	40611	1797	ND	6375	ND	2217	-6005	21							
06:45	45820	46800	45950	0	175	209	40831	1777	ND	6615	ND	2220	-6007	21							
07:00	46821	47600	46800	0	195	213	40884	1761	ND	7234	ND	2223	-5689	22	ND	ND	ND	ND	ND	ND	
07:15	48023	48800	47900	0	201	218	40884	1749	ND	7672	ND	2285	-4986	22							
07:30	48974	50000	49000	0	240	214	41415	1685	ND	8368	ND	2286	-5234	22							
07:45	49379	50800	49700	0	263	221	41709	1675	ND	8666	ND	2283	-5438	22							
08:00	50543	51600	50400	0	320	217	41948	1605	ND	8937	ND	2284	-4768	23	ND	ND	ND	ND	ND	ND	
08:15	51457	52300	51050	0	362	217	41510	1532	ND	9552	ND	2511	-4227	25							
08:30	51727	53000	51700	0	409	216	41818	1448	ND	9838	ND	2511	-4513	26							
08:45	52417	53400	52200	0	496	207	41962	1405	ND	10142	ND	2512	-4307	27							
09:00	52706	53800	52700	0	534	204	42014	1363	ND	10203	ND	2584	-4196	28	ND	ND	ND	ND	ND	ND	
09:15	53485	54200	53350	0	553	222	42011	1293	ND	10567	ND	2943	-4104	31							
09:30	53856	54600	54000	0	566	217	42118	1238	ND	10836	ND	2948	-4067	31							
09:45	54116	54700	54350	0	639	205	42153	1244	ND	10956	ND	2947	-4028	32							
10:00	54256	54800	54700	0	565	204	41951	1245	ND	11394	ND	2946	-4049	30	ND	ND	ND	ND	ND	ND	
10:15	54360	54800	54500	0	532	206	41927	1327	ND	10965	ND	3336	-3933	32							
10:30	54069	54800	54300	0	506	204	41808	1353	ND	10825	ND	3333	-3960	32							
10:45	54446	54900	54350	0	519	205	41872	1374	ND	10902	ND	3329	-3755	32							
11:00	54210	55000	54400	0	541	192	41920	1397	ND	10215	ND	3334	-3389	33	ND	ND	ND	ND	ND	ND	
11:15	54527	55150	54550	0	558	189	41832	1408	ND	9848	ND	3614	-2922	35							
11:30	54639	55300	54700	0	592	183	41834	1379	ND	9912	ND	3615	-2876	36							
11:45	54586	55500	55200	0	588	201	41814	1336	ND	10189	ND	3606	-3148	36							
12:00	54904	55700	55700	0	609	177	41832	1373	ND	10202	ND	3614	-2903	36	ND	ND	ND	ND	ND	ND	
12:15	55511	55300	55450	0	621	200	41877	1391	ND	9883	ND	3789	-2250	37							
12:30	55275	54900	55200	0	579	196	41720	1414	ND	9767	ND	3791	-2192	37							
12:45	56358	55650	55900	0	712	213	41908	1433	ND	10359	ND	3792	-2059	39							
13:00	55518	56400	56600	0	685	204	41903	1429	ND	10039	ND	3798	-2540	38	ND	ND	ND	ND	ND	ND	
13:15	54954	55450	55300	0	674	191	41669	1398	ND	9835	ND	3877	-2690	39							
13:30	53997	54500	54000	0	597	191	41196	1382	ND	9666	ND	3873	-2908	38							
13:45	53561	54350	53700	0	568	191	41029	1337	ND	9513	ND	3881	-2958	38							
14:00	53387	54200	53400	0	587	205	41124	1399	ND	9174	ND	3877	-2979	38	ND	ND	ND	ND	ND	ND	
14:15	53631	53950	53450	0	628	209	41629	1684	ND	8865	ND	3798	-3182	38							
14:30	53131	53700	53500	0	587	216	41426	1682	ND	8786	ND	3760	-3326	38							
14:45	52553	53000	52850	0	574	216	41274	1672	ND	8045	ND	3755	-2983	38							
15:00	51736	52300	52200	0	526	222	40860	1664	ND	7951	ND	3749	-3236	37	ND	ND	ND	ND	ND	ND	
15:15	51057	51850	51850	0	584	209	41375	1557	ND	7963	ND	3593	-4224	37							
15:30	50658	51400	51500	0	521	177	40817	1549	ND	8024	ND	3596	-4026	36							
15:45	50318	50650	50800	0	534	156	41067	1593	ND	7491	ND	3597	-4120	36							
16:00	49596	49900	50100	0	453	182	40775	1550	ND	7217	ND	3601	-4182	36	ND	ND	ND	ND	ND	ND	
16:15	49032	49300	49600	0	482	207	41638	1534	ND	6686	ND	3347	-4862	34							
16:30	48805	48700	49100	0	451	124	41476	1481	ND	6732	ND	3345	-4804	33							
16:45	48755	48300	48750	0	470	158	41826	1528	ND	6262	ND	3345	-4834	34							
17:00	48636	47900	48400	0	473	140	41818	1533	ND	6376	ND	3342	-5046	34	ND	ND	ND	ND	ND	ND	
17:15	48225	48100	48500	0	451	190	41315	1504	ND	7262	ND	3028	-5525	31							
17:30	48500	48300	48600	0	476	170	41517	1494	ND	7290	ND	3029	-5476	32							
17:45	48886	48700	48950	0	465	201	41466	1471	ND	8011	ND	3029	-5757	31							
18:00	49163	49100	49300	0	462	181	41266	1444	ND	8021	ND	3030	-5241	31	ND	ND	ND	ND	ND	ND	
18:15	49010	49600	49700	0	508	207	41628	1455	ND	8397	ND	2666	-5851	29							
18:30	49711	50100	50100	0	549	174	41528	1462	ND	8966	ND	2662	-5630	29							
18:45	49995	50900	50800	0	535	162	41351	1452	ND	9410	ND	2662	-5577	29							
19:00	50772	51700	51500	0	612	158	41686	1391	ND	9777	ND	2694	-5546	30	ND	ND	ND	ND	ND	ND	
19:15	50371	51600	51450	0	605	194	41581	1329	ND	9699	ND	2444	-5481	29							
19:30	50556	51500	51400	0	626	196	41666	1137	ND	9827	ND	2438	-5334	29							
