Journée du 26/09/2010
Heures	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2	Consommation	PrévisionJ-1	PrévisionJ		
00:00	232	1413	450	41339	1562	3019	1553	-3170	2325	46400	47000	46400		
00:15	232	1560	316	42018	1514	3539	1554	-5114	2418	45621	46000	45350		
00:30	216	1488	317	41601	1483	3429	1550	-5815	2335	44270	45000	44300		
00:45	168	1395	314	41259	1475	3063	1550	-6046	2206	43178	43850	43350		
01:00	132	1381	314	41160	1457	3077	1552	-6625	2165	42449	42700	42400		
01:15	80	1346	303	41653	1440	2625	1548	-6500	2084	42496	42850	42400		
01:30	42	1304	310	41378	1417	2603	1551	-6681	2017	41925	43000	42400		
01:45	0	1063	325	41237	1435	2793	1545	-6399	1755	42000	42750	41950		
02:00	0	943	306	41329	1390	2694	1545	-6868	1633	41339	42500	41500		
02:15	0	909	308	41987	1327	2444	1540	-7174	1599	41342	41900	40950		
02:30	0	750	305	41379	1351	2236	1538	-7112	1445	40447	41300	40400		
02:45	0	682	336	41330	1378	1166	1537	-7015	1390	39415	40400	39450		
03:00	0	689	304	40693	1395	1133	1537	-7267	1385	38484	39500	38500		
03:15	0	713	304	40769	1339	762	1547	-7410	1413	38025	38850	37950		
03:30	0	705	351	40302	1369	936	1546	-7835	1421	37376	38200	37400		
03:45	0	691	307	39941	1357	1216	1549	-8139	1393	36923	37850	36800		
04:00	0	682	301	39398	1371	1115	1547	-7988	1381	36427	37500	36200		
04:15	0	668	311	39680	1357	727	1549	-8098	1373	36195	37250	36000		
04:30	0	689	350	39478	1401	710	1549	-8287	1407	35891	37000	35800		
04:45	0	682	304	39599	1426	245	1545	-7982	1382	35820	36800	35700		
05:00	0	688	310	39624	1464	5	1544	-7953	1389	35683	36600	35600		
05:15	0	662	331	39561	1454	0	1547	-7828	1373	35687	36650	35600		
05:30	0	688	346	39536	1411	0	1543	-7785	1402	35705	36700	35600		
