Journée du 19/11/2000
Heures	Consommation	PrévisionJ-1		
00:00	50729	51500		
00:15	50349	50600		
00:30	49200	49700		
00:45	48360	48850		
01:00	47810	48000		
01:15	48250	48399		
01:30	48020	48799		
01:45	48139	48649		
02:00	47490	48500		
02:15	47779	47950		
02:30	46740	47400		
02:45	45919	46400		
03:00	44840	45400		
03:15	44290	44550		
03:30	43680	43700		
03:45	43150	43249		
04:00	42389	42799		
04:15	42060	42449		
04:30	41419	42099		
04:45	41159	41849		
05:00	40900	41599		
05:15	40909	41499		
05:30	40790	41400		
05:45	40930	41349		
06:00	40819	41299		
06:15	40810	41349		
06:30	40740	41400		
06:45	40790	41950		
07:00	40849	42500		
07:15	41080	43049		
07:30	41229	43599		
07:45	41349	43749		
08:00	41669	43900		
08:15	41709	43999		
08:30	42389	44099		
08:45	42990	44499		
09:00	43639	44900		
09:15	44479	45599		
09:30	45279	46299		
09:45	45779	46599		
10:00	46139	46900		
10:15	46770	47300		
10:30	47209	47700		
10:45	47310	47999		
11:00	47860	48299		
11:15	47880	48449		
11:30	48090	48599		
11:45	48430	48749		
12:00	48849	48900		
12:15	49419	49300		
12:30	49389	49700		
12:45	50599	50350		
13:00	49729	51000		
13:15	49419	49850		
13:30	48500	48700		
13:45	47560	47899		
14:00	46779	47099		
14:15	46419	46499		
14:30	45840	45900		
14:45	44750	45349		
15:00	44409	44799		
15:15	44459	44499		
15:30	44150	44200		
15:45	44069	43899		
16:00	44000	43599		
16:15	43889	43649		
16:30	43889	43700		
16:45	44419	43950		
17:00	44900	44200		
17:15	45580	45800		
17:30	47290	47400		
17:45	48590	49050		
18:00	49740	50700		
18:15	50490	51300		
18:30	51049	51900		
18:45	52340	52599		
19:00	52790	53299		
19:15	52959	53049		
19:30	52639	52799		
19:45	52369	52599		
20:00	52389	52400		
20:15	52240	51900		
20:30	51720	51400		
20:45	51360	50749		
21:00	50790	50099		
21:15	50139	49449		
21:30	49169	48799		
21:45	49060	48149		
22:00	48150	47500		
22:15	49000	48100		
22:30	49169	48700		
22:45	50770	49399		
23:00	49849	50099		
23:15	50000	49449		
23:30	49459	48799		
23:45	49650	48499		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
