Journée du 04/11/2000
Heures	Consommation	PrévisionJ-1		
00:00	50180	50200		
00:15	49950	49350		
00:30	48790	48500		
00:45	47689	47649		
01:00	46830	46799		
01:15	47590	47249		
01:30	47310	47700		
01:45	47729	47399		
02:00	46750	47099		
02:15	47250	46549		
02:30	46369	46000		
02:45	45439	45200		
03:00	44380	44400		
03:15	44029	43800		
03:30	43349	43200		
03:45	42759	42749		
04:00	42200	42299		
04:15	41790	41999		
04:30	41450	41700		
04:45	41400	41600		
05:00	41250	41500		
05:15	41400	41700		
05:30	41450	41900		
05:45	41950	42099		
06:00	41880	42299		
06:15	42279	42549		
06:30	42659	42799		
06:45	42880	43249		
07:00	43669	43700		
07:15	44049	44249		
07:30	44619	44799		
07:45	44500	45349		
08:00	44959	45900		
08:15	45680	46499		
08:30	46439	47099		
08:45	47159	47649		
09:00	47659	48200		
09:15	48590	48800		
09:30	48950	49400		
09:45	49319	49800		
10:00	49400	50200		
10:15	49360	50300		
10:30	49099	50400		
10:45	49029	50349		
11:00	48950	50299		
11:15	48869	50249		
11:30	48970	50200		
11:45	48819	50300		
12:00	49200	50400		
12:15	49849	50749		
12:30	49830	51099		
12:45	50909	51649		
13:00	50119	52200		
13:15	49500	51100		
13:30	49139	50000		
13:45	48509	49500		
14:00	47659	49000		
14:15	47759	48649		
14:30	46979	48299		
14:45	46299	47699		
15:00	45790	47099		
15:15	45270	46749		
15:30	44819	46400		
15:45	44700	46099		
16:00	44389	45799		
16:15	44159	45599		
16:30	43930	45400		
16:45	43930	45349		
17:00	44099	45299		
17:15	44799	45649		
17:30	45869	46000		
17:45	47939	47649		
18:00	49970	49299		
18:15	51580	50399		
18:30	52369	51500		
18:45	52509	52899		
19:00	53319	54299		
19:15	52880	53749		
19:30	52459	53200		
19:45	51580	52600		
20:00	51290	52000		
20:15	50540	51399		
20:30	49689	50799		
20:45	49259	50199		
21:00	48360	49599		
21:15	47830	48999		
21:30	47209	48400		
21:45	46840	47849		
22:00	46610	47299		
22:15	47880	48099		
22:30	48250	48900		
22:45	49490	49650		
23:00	48830	50400		
23:15	48970	49749		
23:30	48560	49099		
23:45	48880	48499		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
