Journée du 10/11/2006
Heures	Consommation	PrévisionJ-1		
00:00	57565	57200		
00:15	57247	56400		
00:30	55973	55600		
00:45	54736	54550		
01:00	54081	53500		
01:15	54778	54200		
01:30	53992	54900		
01:45	54653	54800		
02:00	54006	54700		
02:15	54857	54300		
02:30	53734	53900		
02:45	53284	53050		
03:00	52226	52200		
03:15	52192	51750		
03:30	51356	51300		
03:45	51025	50900		
04:00	50890	50500		
04:15	50855	50400		
04:30	50672	50300		
04:45	50929	50450		
05:00	51317	50600		
05:15	52431	51500		
05:30	53210	52400		
05:45	53930	53200		
06:00	54681	54000		
06:15	56797	55700		
06:30	58094	57400		
06:45	60461	59400		
07:00	62531	61400		
07:15	64578	63050		
07:30	65749	64700		
07:45	66042	65200		
08:00	66431	65700		
08:15	66407	65900		
08:30	66583	66100		
08:45	66795	66200		
09:00	67163	66300		
09:15	67352	66500		
09:30	66954	66700		
09:45	66993	66500		
10:00	66798	66300		
10:15	66513	66200		
10:30	66444	66100		
10:45	66076	65950		
11:00	65681	65800		
11:15	65598	65700		
11:30	65289	65600		
11:45	65342	65450		
12:00	65027	65300		
12:15	64851	64700		
12:30	64371	64100		
12:45	65344	64800		
13:00	64227	65500		
13:15	64151	64450		
13:30	63480	63400		
13:45	63183	63350		
14:00	62766	63300		
14:15	62859	62750		
14:30	62313	62200		
14:45	61213	61550		
15:00	60867	60900		
15:15	60544	60500		
15:30	60279	60100		
15:45	59726	59750		
16:00	59536	59400		
16:15	59294	59100		
16:30	59078	58800		
16:45	58947	59300		
17:00	59519	59800		
17:15	60275	61150		
17:30	61932	62500		
17:45	64153	64150		
18:00	65804	65800		
18:15	67163	66700		
18:30	67211	67600		
18:45	68245	68200		
19:00	68673	68800		
19:15	68136	68000		
19:30	67339	67200		
19:45	66504	66200		
20:00	65655	65200		
20:15	64955	64300		
20:30	63927	63400		
20:45	63071	62600		
21:00	62270	61800		
21:15	61219	60800		
21:30	60445	59800		
21:45	59835	59000		
22:00	59115	58200		
22:15	59756	58900		
22:30	60045	59600		
22:45	61690	60250		
23:00	60686	60900		
23:15	60406	59950		
23:30	59705	59000		
23:45	59923	59200		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
