Journée du 05/07/2009
Heures	Consommation	PrévisionJ-1	PrévisionJ		
00:00	46912	46900	46900		
00:15	46065	45750	45700		
00:30	44500	44600	44500		
00:45	42941	43450	43300		
01:00	42166	42300	42100		
01:15	42352	42400	42150		
01:30	41646	42500	42200		
01:45	41584	42250	41850		
02:00	41233	42000	41500		
02:15	41476	41300	40950		
02:30	40258	40600	40400		
02:45	39519	39600	39500		
03:00	38829	38600	38600		
03:15	38088	38050	38100		
03:30	37588	37500	37600		
03:45	37054	36900	37100		
04:00	36613	36300	36600		
04:15	36580	36050	36400		
04:30	36112	35800	36200		
04:45	35877	35600	36050		
05:00	35889	35400	35900		
05:15	36079	35150	35800		
05:30	35651	34900	35700		
05:45	35330	34500	35300		
06:00	34890	34100	34900		
06:15	34490	33950	34600		
06:30	34440	33800	34300		
06:45	34599	34050	34600		
07:00	35046	34300	34900		
07:15	34986	34700	35250		
07:30	35361	35100	35600		
07:45	35693	35600	36100		
08:00	36429	36100	36600		
08:15	36746	36800	37100		
08:30	37678	37500	37600		
08:45	38417	38300	38350		
09:00	39105	39100	39100		
09:15	39768	39800	39800		
09:30	40555	40500	40500		
09:45	41101	41100	41100		
10:00	41542	41700	41700		
10:15	42134	42250	42250		
10:30	42524	42800	42800		
10:45	43131	43150	43150		
11:00	43418	43500	43500		
11:15	43703	43850	43800		
11:30	43933	44200	44100		
11:45	44314	44600	44450		
12:00	44898	45000	44800		
12:15	45579	45550	45350		
12:30	45919	46100	45900		
12:45	47163	46750	46600		
13:00	46288	47400	47300		
13:15	45648	46200	46100		
13:30	44676	45000	44900		
13:45	44215	44400	44350		
14:00	43637	43800	43800		
14:15	43813	43650	43750		
14:30	43544	43500	43700		
14:45	43052	42900	43100		
15:00	42525	42300	42500		
15:15	42196	42000	42250		
15:30	42222	41700	42000		
15:45	41794	41400	41700		
16:00	41461	41100	41400		
16:15	41167	40900	41250		
16:30	41360	40700	41100		
16:45	41010	40450	40850		
17:00	40831	40200	40600		
17:15	40800	40350	40750		
17:30	40700	40500	40900		
17:45	40986	40700	41050		
18:00	41140	40900	41200		
18:15	41685	41350	41650		
18:30	41872	41800	42100		
18:45	42249	42150	42400		
19:00	42266	42500	42700		
19:15	42992	42800	43000		
19:30	42938	43100	43300		
19:45	43218	43300	43450		
20:00	43583	43500	43600		
20:15	43671	43450	43550		
20:30	43247	43400	43500		
20:45	43246	43350	43400		
21:00	43171	43300	43300		
21:15	43173	43300	43300		
21:30	42986	43300	43300		
21:45	43285	43750	43700		
22:00	43833	44200	44100		
22:15	45341	45350	45250		
22:30	46298	46500	46400		
22:45	49093	47750	47600		
23:00	48240	49000	48800		
23:15	48151	48100	48000		
23:30	46972	47200	47200		
23:45	47260	46500	46500		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
