Journée du 25/09/2005
Heures	Consommation	PrévisionJ-1		
00:00	45092	45100		
00:15	44757	44250		
00:30	43452	43400		
00:45	42133	42350		
01:00	41455	41300		
01:15	41873	41650		
01:30	41254	42000		
01:45	41364	41850		
02:00	40919	41700		
02:15	41148	40950		
02:30	40083	40200		
02:45	39244	39350		
03:00	38493	38500		
03:15	37783	37950		
03:30	37204	37400		
03:45	36722	36900		
04:00	36422	36400		
04:15	36081	36050		
04:30	35759	35700		
04:45	35600	35500		
05:00	35416	35300		
05:15	35717	35350		
05:30	35332	35400		
05:45	35688	35450		
06:00	35551	35500		
06:15	35858	35700		
06:30	35862	35900		
06:45	36091	36300		
07:00	36538	36700		
07:15	36862	36650		
07:30	36646	36600		
07:45	36537	36800		
08:00	36811	37000		
08:15	37250	37550		
08:30	37934	38100		
08:45	38462	38900		
09:00	39372	39700		
09:15	39967	40400		
09:30	40625	41100		
09:45	41154	41700		
10:00	41535	42300		
10:15	42491	42750		
10:30	42661	43200		
10:45	43244	43500		
11:00	43255	43800		
11:15	43851	44000		
11:30	44240	44200		
11:45	44408	44450		
12:00	44484	44700		
12:15	45574	45200		
12:30	45879	45700		
12:45	47176	46350		
13:00	46222	47000		
13:15	45265	45750		
13:30	44526	44500		
13:45	43968	43900		
14:00	43406	43300		
14:15	43048	42850		
14:30	42533	42400		
14:45	41836	41900		
15:00	41157	41400		
15:15	41220	40950		
15:30	40714	40500		
15:45	40192	40050		
16:00	39967	39600		
16:15	39831	39350		
16:30	39459	39100		
16:45	39023	38950		
17:00	38985	38800		
17:15	39021	39000		
17:30	39064	39200		
17:45	39333	39600		
18:00	39934	40000		
18:15	40264	40550		
18:30	41025	41100		
18:45	41981	42000		
19:00	42760	42900		
19:15	43382	43550		
19:30	44309	44200		
19:45	45309	45450		
20:00	46380	46700		
20:15	47766	47600		
20:30	48023	48500		
20:45	47807	48200		
21:00	47303	47900		
21:15	46521	47050		
21:30	45614	46200		
21:45	45224	45450		
22:00	44135	44700		
22:15	44498	45050		
22:30	44679	45400		
22:45	46314	45950		
23:00	45621	46500		
23:15	45268	45800		
23:30	44748	45100		
23:45	44789	44650		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
