Journée du 31/10/2012
Données temps réel
Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Autres	Ech. physiques	Taux de Co2	Ech. comm. Allemagne	Ech. comm. Angleterre	Ech. comm. Belgique	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse
00:00	61182	61100	61200	0	4304	1607	48966	1206	ND	5314	ND	1805	-2020	86	ND	ND	ND	ND	ND	ND	
00:15	60478	60300	60300	0	4469	1385	48901	1217	ND	5273	ND	1797	-2564	87							
00:30	59069	59500	59400	0	4253	1176	48768	1233	ND	4338	ND	1799	-2498	84							
00:45	57689	58300	58100	0	4195	987	48737	1280	ND	3138	ND	1799	-2447	84							
01:00	56971	57100	56800	0	4139	917	48739	1272	ND	3048	ND	1795	-2939	83	ND	ND	ND	ND	ND	ND	
01:15	57074	57550	56950	0	4170	785	48358	1250	ND	2593	ND	1797	-1879	84							
01:30	56541	58000	57100	0	4084	802	47754	1280	ND	2551	ND	1802	-1732	84							
01:45	56577	57950	56950	0	4198	800	47632	1310	ND	2474	ND	1792	-1629	86							
02:00	55885	57900	56800	0	4028	850	47328	1311	ND	2519	ND	1794	-1945	84	ND	ND	ND	ND	ND	ND	
02:15	56517	57350	56250	0	4327	886	47904	1287	ND	2491	ND	1793	-2171	88							
02:30	55458	56800	55700	0	4062	772	47565	1302	ND	2155	ND	1797	-2195	84							
02:45	54811	55950	54750	0	3904	833	47690	1341	ND	1698	ND	1792	-2447	83							
03:00	53835	55100	53800	0	3403	819	47568	1324	ND	1722	ND	1799	-2800	75	ND	ND	ND	ND	ND	ND	
03:15	53652	54600	53350	0	3225	837	47913	1371	ND	1300	ND	1795	-2789	72							
03:30	52838	54100	52900	0	3140	808	47598	1383	ND	1188	ND	1796	-3075	72							
03:45	52307	53750	52500	0	3058	863	47312	1388	ND	944	ND	1795	-3053	71							
04:00	52334	53400	52100	0	3003	854	47046	1416	ND	1085	ND	1792	-2862	70	ND	ND	ND	ND	ND	ND	
04:15	52336	53300	52100	0	3104	841	47092	1540	ND	1099	ND	1795	-3135	72							
04:30	52264	53200	52100	0	3159	852	46737	1541	ND	1120	ND	1790	-2935	73							
04:45	52266	53400	52550	0	3248	906	46590	1554	ND	1448	ND	1793	-3273	74							
05:00	53002	53600	53000	0	3272	878	46819	1503	ND	1504	ND	1789	-2763	74	ND	ND	ND	ND	ND	ND	
05:15	54367	54400	53950	0	3436	844	46807	1554	ND	1593	ND	1795	-1662	77							
05:30	54872	55200	54900	0	3710	859	46935	1539	ND	1687	ND	1792	-1650	81							
05:45	55464	56150	55900	0	3732	910	46743	1503	ND	2546	ND	1786	-1756	80							
06:00	56781	57100	56900	0	3802	903	47104	1501	ND	2782	ND	1789	-1100	81	ND	ND	ND	ND	ND	ND	
06:15	58771	58350	58450	0	3911	1337	47124	1517	ND	4111	ND	1804	-1033	82							
06:30	59980	59600	60000	0	4245	1500	47351	1542	ND	4473	ND	1800	-931	87							
06:45	61326	61100	61400	0	4691	1526	47567	1541	ND	5639	ND	1798	-1436	92							
07:00	62884	62600	62800	0	4934	1745	47872	1519	ND	5860	ND	1813	-859	95	ND	ND	ND	ND	ND	ND	
07:15	64118	63650	63850	0	4854	2195	47706	1577	ND	7677	ND	1824	-1715	93							
07:30	64768	64700	64900	0	4789	2677	47868	1589	ND	7635	ND	1822	-1612	94							
07:45	65268	65200	65400	0	4588	2766	47919	1575	ND	7891	ND	1825	-1296	92							
08:00	66025	65700	65900	0	4790	2925	47852	1519	ND	8202	ND	1832	-1095	95	ND	ND	ND	ND	ND	ND	
08:15	66504	66450	66600	0	4696	3102	47858	1478	ND	8552	ND	1915	-1097	94							
08:30	67060	67200	67300	0	4934	3089	47942	1487	ND	8671	ND	1922	-985	97							
08:45	67339	67650	67650	0	4866	3089	47904	1517	ND	9206	ND	1924	-1167	95							
09:00	67813	68100	68000	0	4898	3086	47943	1458	ND	9477	ND	1939	-988	95	ND	ND	ND	ND	ND	ND	
09:15	68209	68300	68150	0	4942	3091	47988	1451	ND	10696	ND	2235	-2194	95							
09:30	68176	68500	68300	0	4813	3079	47988	1412	ND	10339	ND	2246	-1701	94							
09:45	67963	68550	68300	0	4731	3064	47968	1325	ND	10135	ND	2250	-1510	94							
10:00	67962	68600	68300	0	4742	3064	47988	1281	ND	10002	ND	2258	-1373	94	ND	ND	ND	ND	ND	ND	
10:15	68325	68500	68050	0	4817	2999	47984	1245	ND	9419	ND	2679	-818	98							
10:30	67701	68400	67800	0	4780	2969	48006	1217	ND	8942	ND	2682	-895	98							
10:45	67447	68200	67550	0	4715	2966	48179	1092	ND	8710	ND	2703	-918	97							
11:00	67159	68000	67300	0	4676	2949	48338	1100	ND	8348	ND	2709	-961	97	ND	ND	ND	ND	ND	ND	
11:15	67731	68200	67450	0	4678	2962	48449	1119	ND	8035	ND	3152	-664	99							
11:30	67458	68400	67600	0	4666	2938	48552	1179	ND	7609	ND	3186	-672	100							
11:45	67253	68450	67600	0	4651	2940	48527	1240	ND	7540	ND	3196	-841	99							
12:00	67280	68500	67600	0	4603	2972	48499	1285	ND	7433	ND	3196	-708	99	ND	ND	ND	ND	ND	ND	
12:15	66858	67550	67000	0	4624	2989	48542	1344	ND	7066	ND	3383	-1090	101							
12:30	66289	66600	66400	0	4442	2949	48339	1389	ND	6942	ND	3386	-1158	99							
12:45	67311	67050	67000	0	4870	3041	48679	1408	ND	7055	ND	3393	-1135	104							
13:00	66254	67500	67600	0	4386	2954	48553	1437	ND	6651	ND	3390	-1117	98	ND	ND	ND	ND	ND	ND	
13:15	65885	66550	66400	0	4742	3014	48677	1423	ND	6511	ND	3317	-1799	102							
13:30	64997	65600	65200	0	4369	2958	48520	1554	ND	6126	ND	3314	-1844	98							
13:45	65555	65500	65150	0	4329	2942	48699	1614	ND	6194	ND	3311	-1534	97							
14:00	64938	65400	65100	0	4284	2960	48668	1593	ND	5873	ND	3360	-1800	97	ND	ND	ND	ND	ND	ND	
14:15	65143	64900	64950	0	4921	3060	48636	1625	ND	6305	ND	3159	-2563	104							
14:30	64204	64400	64800	0	4595	2955	48571	1662	ND	5925	ND	3154	-2658	100							
14:45	63365	63500	63850	0	4475	2926	48624	1676	ND	5187	ND	3146	-2669	100							
15:00	62828	62600	62900	0	4304	2854	48627	1676	ND	5032	ND	3139	-2804	97	ND	ND	ND	ND	ND	ND	
15:15	61742	62300	62550	0	4401	2904	48616	1685	ND	5137	ND	2769	-3770	97							
