Journée du 22/06/2004
Heures	Consommation	PrévisionJ-1		
00:00	48337	48200		
00:15	48024	47050		
00:30	46624	45900		
00:45	45492	44850		
01:00	44985	43800		
01:15	45422	44100		
01:30	44499	44400		
01:45	45061	44300		
02:00	44565	44200		
02:15	45091	43600		
02:30	43872	43000		
02:45	43087	42300		
03:00	42224	41600		
03:15	41995	41100		
03:30	41517	40600		
03:45	41085	40200		
04:00	40522	39800		
04:15	40269	39750		
04:30	40495	39700		
04:45	40479	39750		
05:00	40521	39800		
05:15	41550	40350		
05:30	41868	40900		
05:45	42148	41200		
06:00	42327	41500		
06:15	43301	42550		
06:30	44362	43600		
06:45	45280	45000		
07:00	46483	46400		
07:15	48073	47600		
07:30	49548	48800		
07:45	50793	49750		
08:00	51642	50700		
08:15	52452	51350		
08:30	53060	52000		
08:45	53650	52650		
09:00	54671	53300		
09:15	55218	53650		
09:30	55246	54000		
09:45	55875	54400		
10:00	56004	54800		
10:15	56124	54900		
10:30	56180	55000		
10:45	56689	55250		
11:00	56505	55500		
11:15	56707	55600		
11:30	56938	55700		
11:45	57026	56000		
12:00	57148	56300		
12:15	56692	55850		
12:30	56607	55400		
12:45	57334	56000		
13:00	56196	56600		
13:15	56425	56050		
13:30	56071	55500		
13:45	55972	55900		
14:00	56049	56300		
14:15	56665	56050		
14:30	56300	55800		
14:45	55790	55550		
15:00	55648	55300		
15:15	55458	55000		
15:30	55095	54700		
15:45	54838	54350		
16:00	54432	54000		
16:15	53948	53450		
16:30	53593	52900		
16:45	53284	52700		
17:00	53159	52500		
17:15	52626	52200		
17:30	52530	51900		
17:45	52174	51700		
18:00	52461	51500		
18:15	52282	51600		
18:30	52561	51700		
18:45	52836	52100		
19:00	53089	52500		
19:15	52613	51750		
19:30	52217	51000		
19:45	51912	50500		
20:00	51671	50000		
20:15	50763	49450		
20:30	50071	48900		
20:45	50008	48500		
21:00	49421	48100		
21:15	49067	47700		
21:30	48504	47300		
21:45	48855	47400		
22:00	48658	47500		
22:15	50172	48200		
22:30	50182	48900		
22:45	52179	50200		
23:00	51530	51500		
23:15	51416	50500		
23:30	50298	49500		
23:45	50037	49050		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
