Journée du 09/02/2005
Heures	Consommation	PrévisionJ-1		
00:00	66153	66800		
00:15	65552	66100		
00:30	64497	65400		
00:45	63526	64450		
01:00	62813	63500		
01:15	63753	64150		
01:30	63495	64800		
01:45	64115	64950		
02:00	63687	65100		
02:15	64275	64700		
02:30	63728	64300		
02:45	63058	63550		
03:00	62043	62800		
03:15	61889	62150		
03:30	61185	61500		
03:45	60622	61050		
04:00	60278	60600		
04:15	60260	60450		
04:30	60060	60300		
04:45	60033	60450		
05:00	59983	60600		
05:15	61443	61600		
05:30	61506	62600		
05:45	62600	63500		
06:00	63362	64400		
06:15	64592	65800		
06:30	65788	67200		
06:45	67093	68850		
07:00	68980	70500		
07:15	70952	71750		
07:30	72204	73000		
07:45	72793	73850		
08:00	73416	74700		
08:15	73626	75050		
08:30	74098	75400		
08:45	74649	75600		
09:00	74940	75800		
09:15	75092	75900		
09:30	75197	76000		
09:45	75154	75900		
10:00	74627	75800		
10:15	74668	75550		
10:30	73982	75300		
10:45	73585	75100		
11:00	73410	74900		
11:15	73816	75000		
11:30	73214	75100		
11:45	72950	74800		
12:00	72656	74500		
12:15	71619	73850		
12:30	71405	73200		
12:45	72149	73750		
13:00	71306	74300		
13:15	70967	73650		
13:30	70316	73000		
13:45	70290	72850		
14:00	69917	72700		
14:15	70126	72100		
14:30	69374	71500		
14:45	68067	70850		
15:00	67610	70200		
15:15	67016	69850		
15:30	66405	69500		
15:45	66081	69050		
16:00	65389	68600		
16:15	65220	68300		
16:30	65138	68000		
16:45	64876	67800		
17:00	64599	67600		
17:15	64685	67850		
17:30	64961	68100		
17:45	65579	69350		
18:00	66611	70600		
18:15	68978	72600		
18:30	70784	74600		
18:45	72728	75750		
19:00	73924	76900		
19:15	73868	76450		
19:30	73471	76000		
19:45	72411	75150		
20:00	71882	74300		
20:15	71191	73400		
20:30	70309	72500		
20:45	69675	71650		
21:00	69007	70800		
21:15	67720	69350		
21:30	66906	67900		
21:45	66036	67000		
22:00	65390	66100		
22:15	66498	66750		
22:30	66198	67400		
22:45	67933	68100		
23:00	66945	68800		
23:15	66491	67750		
23:30	65773	66700		
23:45	66027	66000		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
