Journée du 22/05/2002
Heures	Consommation	PrévisionJ-1		
00:00	45560	45799		
00:15	45459	44849		
00:30	44049	43900		
00:45	42849	43150		
01:00	42340	42400		
01:15	42400	42700		
01:30	42139	43000		
01:45	42669	42899		
02:00	41930	42799		
02:15	42060	42149		
02:30	41270	41500		
02:45	40689	40600		
03:00	39799	39700		
03:15	39470	39200		
03:30	38650	38700		
03:45	38450	38399		
04:00	38200	38099		
04:15	38180	37949		
04:30	38069	37799		
04:45	38099	37949		
05:00	38209	38099		
05:15	39360	38849		
05:30	39459	39599		
05:45	40270	39899		
06:00	40450	40200		
06:15	41520	41100		
06:30	42270	42000		
06:45	43259	43350		
07:00	44959	44700		
07:15	46400	46050		
07:30	47630	47400		
07:45	48290	48400		
08:00	49439	49400		
08:15	50590	50200		
08:30	51270	51000		
08:45	52009	51500		
09:00	52650	52000		
09:15	53220	52450		
09:30	53610	52900		
09:45	54020	53099		
10:00	54080	53299		
10:15	54189	53399		
10:30	54240	53500		
10:45	54529	53549		
11:00	54419	53599		
11:15	54659	53699		
11:30	54720	53799		
11:45	54689	53899		
12:00	54720	54000		
12:15	54549	53600		
12:30	54259	53200		
12:45	54970	53800		
13:00	53990	54400		
13:15	54220	53900		
13:30	54000	53400		
13:45	53889	53400		
14:00	53930	53400		
14:15	54340	53249		
14:30	53720	53099		
14:45	53279	52699		
15:00	52919	52299		
15:15	52680	51899		
15:30	52319	51500		
15:45	52110	51100		
16:00	51740	50700		
16:15	51299	50399		
16:30	51299	50099		
16:45	50860	49799		
17:00	50400	49500		
17:15	49979	49149		
17:30	49630	48799		
17:45	49590	48699		
18:00	49700	48599		
18:15	49849	48799		
18:30	50159	49000		
18:45	50349	49299		
19:00	50970	49599		
19:15	50610	49149		
19:30	49909	48700		
19:45	49490	48300		
20:00	49090	47900		
20:15	48610	47550		
20:30	48259	47200		
20:45	47750	46999		
21:00	47400	46799		
21:15	47509	46699		
21:30	47229	46599		
21:45	47279	46949		
22:00	47080	47299		
22:15	47970	47549		
22:30	47990	47799		
22:45	49299	48499		
23:00	48630	49200		
23:15	48479	48499		
23:30	47650	47799		
23:45	47659	47299		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
