Journée du 13/08/2007
Heures	Consommation	PrévisionJ-1		
00:00	41319	41700		
00:15	41037	40750		
00:30	39805	39800		
00:45	38441	38800		
01:00	37755	37800		
01:15	38148	38150		
01:30	37804	38500		
01:45	37911	38350		
02:00	37085	38200		
02:15	37556	37550		
02:30	36598	36900		
02:45	35856	36200		
03:00	35094	35500		
03:15	34836	35050		
03:30	34378	34600		
03:45	34031	34350		
04:00	33822	34100		
04:15	33696	34050		
04:30	33675	34000		
04:45	33800	34150		
05:00	33939	34300		
05:15	34551	34850		
05:30	34844	35400		
05:45	35276	35850		
06:00	35893	36300		
06:15	36605	36750		
06:30	36797	37200		
06:45	36905	37700		
07:00	37493	38200		
07:15	38255	39050		
07:30	38974	39900		
07:45	39729	40750		
08:00	40719	41600		
08:15	41999	42500		
08:30	42989	43400		
08:45	43713	44250		
09:00	44375	45100		
09:15	45217	45800		
09:30	45681	46500		
09:45	46134	46900		
10:00	46398	47300		
10:15	46980	47650		
10:30	47089	48000		
10:45	47357	48150		
11:00	47629	48300		
11:15	47967	48500		
11:30	48071	48700		
11:45	48372	49000		
12:00	48795	49300		
12:15	49030	49450		
12:30	49275	49600		
12:45	50343	50200		
13:00	49775	50800		
13:15	49195	49900		
13:30	48555	49000		
13:45	48498	49150		
14:00	48356	49300		
14:15	48886	49100		
14:30	48402	48900		
14:45	47862	48500		
15:00	47458	48100		
15:15	47085	47800		
15:30	46732	47500		
15:45	46274	47150		
16:00	46017	46800		
16:15	45729	46500		
16:30	45519	46200		
16:45	45033	45900		
17:00	44695	45600		
17:15	44701	45400		
17:30	44447	45200		
17:45	44381	45250		
18:00	44461	45300		
18:15	44526	45500		
18:30	44858	45700		
18:45	45030	46050		
19:00	45625	46400		
19:15	45569	46250		
19:30	45409	46100		
19:45	44877	45800		
20:00	44655	45500		
20:15	44413	45050		
20:30	43937	44600		
20:45	43629	44450		
21:00	43801	44300		
21:15	44261	44550		
21:30	44637	44800		
21:45	45179	45100		
22:00	44779	45400		
22:15	45240	45800		
22:30	45439	46200		
22:45	47058	47000		
23:00	46445	47800		
23:15	46071	46800		
23:30	44972	45800		
23:45	44889	44750		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
