Journée du 23/09/2011
Heures	Consommation	PrévisionJ-1	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2	PrévisionJ		
00:00	48220	48600	0	971	681	44793	578	3339	1796	-3940	1896	48200		
00:15	47614	47450	0	1029	606	45744	583	3838	1761	-5949	1911	46900		
00:30	45739	46300	0	929	510	44754	577	3136	1759	-5927	1779	45600		
00:45	44372	45050	0	930	491	45050	593	1691	1762	-6146	1775	44400		
01:00	43465	43800	0	866	312	44663	591	995	1738	-5702	1639	43200		
01:15	43465	44150	0	917	210	45393	588	754	1710	-6109	1640	43250		
01:30	43096	44500	0	900	194	44980	591	743	1708	-6021	1617	43300		
01:45	43317	44200	0	938	194	45424	595	652	1710	-6197	1654	43200		
02:00	42568	43900	0	915	184	45029	573	998	1705	-6838	1627	43100		
02:15	42907	43250	0	968	185	45660	578	1140	1702	-7327	1677	42600		
02:30	42149	42600	0	924	184	45048	603	1112	1702	-7425	1635	42100		
02:45	41325	41500	0	927	182	44800	617	406	1715	-7324	1642	41150		
03:00	40200	40400	0	921	185	44338	630	108	1610	-7594	1595	40200		
03:15	39942	39950	0	823	182	44266	637	0	1603	-7571	1541	39850		
03:30	39449	39500	0	776	181	43967	627	62	1712	-7878	1496	39500		
03:45	39183	39000	0	790	180	44109	628	0	1617	-8143	1511	39050		
04:00	38653	38500	0	792	180	43982	618	0	1139	-8059	1513	38600		
04:15	38794	38350	0	795	180	44149	625	0	1147	-8105	1515	38550		
04:30	38514	38200	0	796	182	43960	610	0	1137	-8172	1517	38500		
04:45	38790	38500	0	789	265	43939	612	0	1363	-8179	1535	38850		
05:00	39176	38800	0	790	269	43827	597	0	1391	-7699	1539	39200		
05:15	39915	39550	0	911	273	44010	583	251	1697	-7812	1652	39800		
05:30	40385	40300	0	1041	297	44394	576	281	1705	-7910	1788	40400		
05:45	41132	41250	0	1070	661	43956	565	939	1714	-7775	1951	41500		
06:00	42468	42200	0	1189	617	44474	542	1017	1703	-7077	2046	42600		
06:15	44167	43800	0	1230	857	44633	535	1316	1713	-6118	2175	44150		
06:30	45680	45400	0	1289	1451	45166	518	1497	1707	-5949	2443	45700		
06:45	47332	47250	0	1309	1808	45298	510	2617	1706	-5917	2590	47650		
07:00	49387	49100	0	1437	2380	45978	500	3116	1737	-5763	2931	49600		
07:15	51043	50200	0	1472	2436	46070	504	3843	1782	-5067	3004	50750		
07:30	51847	51300	0	1471	2599	45858	495	4831	1780	-5189	3060	51900		
07:45	51915	51750	0	1411	2651	45502	493	5088	1783	-5015	3022	52100		
08:00	52275	52200	0	1442	2660	45685	484	5135	1780	-4914	3055	52300		
08:15	52841	52700	144	1455	2679	45775	481	5172	1859	-4725	3220	52750		
08:30	53042	53200	149	1444	2664	45861	480	5270	1858	-4686	3208	53200		
08:45	53516	53650	149	1495	2683	45911	468	5317	1863	-4372	3265	53400		
09:00	53445	54100	155	1472	2664	45811	439	5421	1910	-4430	3261	53600		
09:15	54132	54400	149	1559	2886	46069	400	5415	2063	-4410	3480	53950		
09:30	54348	54700	149	1601	2931	46176	385	5679	2060	-4636	3536	54300		
09:45	54327	54800	155	1580	2880	46061	362	5763	2058	-4534	3501	54400		
10:00	54202	54900	149	1532	2830	46149	332	5830	1968	-4591	3396	54500		
10:15	54740	54950	153	1500	2807	45885	313	5569	2330	-3819	3506	54500		
10:30	54462	55000	149	1495	2816	45902	296	5327	2333	-3857	3501	54500		
10:45	54437	55100	152	1497	2821	45870	286	5302	2339	-3832	3510	54550		
11:00	54623	55200	0	1543	2868	45960	286	5388	2336	-3760	3448	54600		
11:15	54678	55200	0	1440	2797	45780	289	5101	2536	-3266	3404	54650		
11:30	54628	55200	0	1515	2849	45903	278	4907	2536	-3360	3494	54700		
11:45	54906	55350	0	1511	2903	45999	291	4946	2525	-3270	3506	54700		
12:00	54739	55500	0	1460	2847	45697	293	4878	2527	-2966	3438	54700		
12:15	54663	55100	0	1377	2771	45458	296	4556	2735	-2531	3414	54350		
12:30	54494	54700	0	1369	2786	45526	290	4551	2659	-2690	3381	54000		
12:45	55538	55400	0	1485	2893	45836	299	4926	2651	-2552	3527	54800		
13:00	54876	56100	0	1444	2872	45651	291	4443	2649	-2475	3480	55600		
13:15	54245	55150	0	1497	2869	45604	294	4325	2676	-3023	3541	54550		
13:30	53611	54200	0	1443	2825	45392	282	3987	2665	-2986	3469	53500		
13:45	53364	54350	0	1431	2823	45504	279	3791	2667	-3132	3457	53350		
14:00	53305	54500	0	1365	2767	45192	275	3640	2662	-2598	3372	53200		
14:15	53503	54100	0	1515	2902	45783	270	3471	2637	-3076	3554	53300		
14:30	53125	53700	0	1473	2868	45585	263	3383	2629	-3077	3498	53400		
14:45	52924	53300	0	1420	2931	45895	255	2576	2625	-2780	3469	53000		
15:00	52289	52900	0	1322	2889	45680	255	2337	2635	-2832	3364	52600		
15:15	51559	52450	0	1321	2852	45614	250	2195	2529	-3204	3307	52150		
15:30	51232	52000	0	1274	2819	45523	264	1957	2534	-3140	3251	51700		
15:45	51069	51650	0	1276	2868	45751	254	1384	2520	-2985	3265	51350		
16:00	50555	51300	0	1240	2825	45391	249	1302	2518	-2971	3215	51000		
16:15	50006	50850	0	1252	2748	45640	254	1040	2318	-3247	3118	50500		
16:30	49380	50400	0	1251	2756	45374	252	1027	2298	-3580	3113	50000		
16:45	49569	50000	0	1251	2718	45529	249	1072	2320	-3572	3108	49600		
17:00	49137	49600	0	1192	2621	44251	258	2261	2323	-3770	3017	49200		
17:15	48757	49450	0	1270	2650	45444	254	2806	2096	-5765	3012	49050		
17:30	48777	49300	0	1361	2560	45582	255	2875	2094	-5952	3067	48900		
17:45	49232	49450	0	1390	2502	45311	257	3414	2085	-5729	3069	49100		
18:00	49230	49600	0	1415	2472	45160	262	3517	2088	-5685	3084	49300		
18:15	49494	49700	0	1449	2515	45431	265	4384	1893	-6445	3054	49450		
18:30	49742	49800	0	1506	2571	45671	265	4581	1897	-6751	3130	49600		
18:45	50008	50150	0	1441	2591	45587	275	5186	1873	-6946	3066	50000		
19:00	50881	50500	0	1453	2595	45564	288	5332	1898	-6250	3088	50400		
19:15	50574	50500	0	1429	2605	45461	291	5288	1805	-6306	3032	50400		
19:30	50412	50500	0	1447	2622	45155	310	5469	1805	-6397	3055	50400		
19:45	51030	51250	0	1444	2611	44906	341	6410	1813	-6496	3052	51200		
20:00	52146	52000	0	1519	2640	44847	367	6936	1826	-5991	3139	52000		
20:15	52768	52450	0	1614	2652	44709	405	8018	1794	-6424	3222	52500		
20:30	52318	52900	0	1611	2667	44543	446	7702	1793	-6446	3224	53000		
20:45	51669	52150	0	1634	2694	44475	490	7317	1793	-6735	3256	52200		
21:00	50777	51400	0	1600	2774	44558	536	6248	1794	-6736	3253	51400		
21:15	49900	50600	0	1656	2873	44542	600	5833	1792	-7397	3341	50600		
21:30	48977	49800	0	1524	2798	44036	649	5027	1789	-6848	3186	49800		
21:45	48179	49050	0	1523	2876	44053	699	4069	1789	-6833	3213	49000		
22:00	47423	48300	0	1426	2972	43598	737	3577	1804	-6692	3161	48200		
22:15	47791	48400	0	1393	2987	43554	775	3281	1804	-6005	3134	48300		
22:30	48091	48500	0	1368	2996	43442	813	3309	1803	-5643	3113	48400		
22:45	50476	49600	0	1420	3036	44121	845	4903	1803	-5654	3178	49450		
23:00	49541	50700	0	1334	2988	43394	868	4778	1800	-5622	3076	50500		
23:15	49376	49850	0	1316	2963	43157	875	4338	1802	-5076	3051	49650		
23:30	48576	49000	0	1309	2979	42679	868	3674	1799	-4733	3049	48800		
23:45	48631	48300	0	1365	2940	42866	877	3463	1795	-4678	3088	48200		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
