Journée du 05/10/2010
Heures	Fioul + pointe	Charbon	Gaz	Nucléaire	Eolien	Hydraulique	Autres	Solde	Co2	Consommation	PrévisionJ-1	PrévisionJ		
00:00	0	2094	2065	41487	1307	3762	1728	-2264	3445	50180	51400	50200		
00:15	0	2280	1986	42154	1274	3630	1711	-3385	3588	49650	50400	49050		
00:30	0	2009	1968	41499	1300	3000	1710	-3544	3321	47944	49400	47900		
00:45	0	1910	1991	41392	1285	1986	1709	-3533	3234	46741	48150	46850		
01:00	0	1915	1607	41393	1314	1754	1709	-3851	3100	45842	46900	45800		
01:15	0	2110	1375	41999	1307	998	1705	-3446	3202	46048	46900	46050		
01:30	0	2033	1385	41843	1314	929	1704	-3665	3132	45545	46900	46300		
01:45	0	2163	1445	42269	1301	844	1710	-3963	3281	45770	46750	46150		
02:00	0	2037	1427	41930	1305	737	1708	-4068	3152	45077	46600	46000		
02:15	0	2256	1409	42490	1269	611	1706	-4432	3355	45311	45950	45250		
02:30	0	2243	1394	42254	1344	570	1708	-5032	3338	44482	45300	44500		
02:45	0	2041	1454	41674	1338	562	1704	-5278	3164	43496	44400	43600		
03:00	0	1967	1407	41280	1348	498	1709	-5478	3078	42732	43500	42700		
03:15	0	2274	1401	42320	1323	674	1706	-7210	3370	42489	42950	42350		
03:30	0	2184	1407	41985	1311	509	1703	-7156	3284	41944	42400	42000		
03:45	0	2333	1462	42264	1316	0	1701	-7217	3446	41817	41900	41700		
04:00	0	2254	1381	41882	1319	0	1690	-7010	3337	41372	41400	41400		
04:15	0	2381	1401	42251	1333	0	1698	-7293	3469	41445	41250	41250		
04:30	8	2391	1440	42237	1324	0	1706	-7550	3502	41225	41100	41100		
04:45	22	2483	1448	42180	1259	0	1706	-7300	3605	41383	41300	41400		
05:00	27	2547	1374	42196	1203	0	1711	-7063	3645	41749	41500	41700		
05:15	56	2475	1388	41972	1165	180	1711	-6475	3604	42472	42200	42500		
05:30	103	2664	1417	42234	1129	368	1712	-6334	3835	43294	42900	43300		
05:45	111	2703	1459	42147	1129	966	1710	-6107	3892	44118	44000	44300		
06:00	276	2775	1463	42098	1066	966	1715	-5069	4097	45290	45100	45300		
06:15	480	2945	1533	42420	1016	2213	1724	-5320	4452	47012	46600	46850		
06:30	529	2860	1786	42027	1059	3161	1726	-4728	4502	48421	48100	48400		
06:45	541	3253	1774	42490	1060	3949	1719	-4441	4881	50345	50000	50500		
07:00	542	3494	1783	42676	1009	5194	1720	-3790	5118	52629	51900	52600		
07:15	646	3519	1831	42605	1001	5055	1735	-1586	5248	54807	53750	54450		
07:30	785	4009	1805	42832	1014	5697	1737	-1606	5821	56273	55600	56300		
07:45	960	4099	2099	42796	1013	5703	1733	-1776	6152	56628	56150	56650		
08:00	1052	4098	2229	42700	1029	5922	1732	-1896	6271	56868	56700	57000		
08:15	989	4156	2413	42663	1094	6405	1751	-2483	6350	56989	56800	57100		
08:30	986	4316	2519	42728	1130	6457	1750	-2666	6539	57222	56900	57200		
08:45	944	4349	2464	42790	1095	6545	1751	-2427	6518	57512	57250	57500		
09:00	962	4315	2465	42741	1121	6713	1761	-2277	6503	57802	57600	57800		
09:15	915	4461	2527	42740	1105	6743	1807	-2187	6647	58112	57900	58100		
09:30	964	4564	2463	42775	1119	10988	0	-2380	5169	58320	58200	58400		
09:45	1011	4531	2448	42717	1092	7140	1820	-2226	6767	58534	58300	58400		
10:00	1000	4498	2475	42714	1039	7152	1819	-2396	6736	58301	58400	58400		
10:15	997	4459	2505	42662	1129	7378	1894	-2456	6738	58570	58550	58550		
10:30	1019	4458	2429	42671	1177	7325	1897	-2241	6728	58735	58700	58700		
10:45	1033	4546	2467	42589	1152	7460	1902	-2142	6839	59007	58800	58950		
11:00	1018	4443	2521	42593	1149	7497	1893	-2201	6744	58913	58900	59200		
11:15	1028	4451	2479	42652	1176	7851	1968	-2404	6775	59201	59150	59100		
11:30	1020	4427	2425	42640	1207	7732	1969	-2374	6726	59046	59400	59000		
11:45	1038	4462	2441	42673	1223	7647	1971	-2295	6781	59161	59550	59300		
12:00	1027	4578	2456	42694	1184	7670	1967	-2351	6887	59225	59700	59600		
12:15	1022	4309	2455	42544	1210	6799	1996	-1407	6636	58928	59300	59200		
12:30	984	4157	2469	42469	1258	6644	2004	-1360	6468	58626	58900	58800		
12:45	776	4520	2503	42703	1233	7235	2023	-1555	6670	59439	59550	59300		
13:00	859	4307	2516	42631	1259	6853	2032	-1663	6540	58796	60200	59800		
13:15	866	4437	2743	42685	1306	7092	2040	-2456	6756	58715	59400	58950		
13:30	904	4219	2691	42549	1216	6862	2047	-2364	6561	58125	58600	58100		
13:45	949	4171	2664	42593	1200	6755	2049	-2348	6542	58034	58600	58150		
14:00	954	4190	2709	42344	1279	6744	2054	-2236	6582	58038	58600	58200		
14:15	641	4432	2672	42396	1240	6861	2033	-2079	6542	58196	58750	58050		
14:30	532	4348	2674	42464	1230	6756	2033	-2506	6375	57531	58900	57900		
14:45	566	4391	2691	42329	1242	6422	2034	-2319	6450	57357	58300	57400		
15:00	703	4110	2712	42161	1230	6134	2041	-2233	6301	56859	57700	56900		
15:15	527	4200	2711	42261	1195	6393	1963	-2494	6214	56755	57300	56550		
15:30	527	4175	2689	42323	1161	6138	1973	-2758	6187	56229	56900	56200		
15:45	527	4295	2716	42342	1159	5761	1971	-2728	6311	56043	56500	55900		
16:00	532	4269	2745	42369	1121	5803	1971	-3306	6300	55505	56100	55600		
16:15	616	4256	2808	42329	1095	5753	1910	-3660	6353	55108	55750	55350		
16:30	765	4245	2746	42311	1090	5665	1906	-3885	6438	54844	55400	55100		
16:45	783	4187	2784	42301	1091	5259	1910	-3680	6412	54636	55100	54850		
17:00	783	4033	2753	42207	1075	5162	1903	-3615	6250	54301	54800	54600		
17:15	783	4195	2884	42252	1017	5323	1832	-4171	6424	54116	54400	54300		
17:30	830	4213	2888	42190	1004	5220	1846	-4047	6486	54146	54000	54000		
17:45	842	4154	2902	42199	990	5245	1849	-3982	6445	54199	54200	54200		
18:00	767	4327	2844	42256	969	5559	1859	-3957	6535	54625	54400	54400		
18:15	632	4054	2859	42265	970	5709	1795	-3620	6145	54666	54800	54800		
18:30	520	4488	2891	42469	978	6232	1798	-3832	6484	55545	55200	55200		
18:45	520	4419	2890	42650	978	7155	1791	-3900	6415	56504	56200	56150		
19:00	508	4650	2886	42745	950	8509	1793	-4578	6626	57464	57200	57100		
19:15	520	4445	2892	42709	935	8199	1778	-3394	6435	58085	57800	57700		
19:30	633	4597	2921	42728	907	8601	1788	-3176	6686	59000	58400	58300		
19:45	627	4685	2900	42713	910	9116	1792	-3092	6760	59652	59000	58900		
20:00	621	4631	2884	42743	926	9163	1789	-3194	6696	59564	59600	59500		
20:15	615	4615	2693	42526	916	8878	1795	-3458	6610	58581	58750	58650		
20:30	615	4288	2620	42611	894	7999	1799	-3460	6271	57368	57900	57800		
20:45	621	4206	2657	42676	903	7056	1795	-3514	6209	56400	56950	56850		
21:00	621	3649	2655	42614	894	6255	1796	-3669	5674	54817	56000	55900		
21:15	502	3607	2635	42615	913	5522	1798	-3417	5532	54175	54900	54800		
21:30	466	3195	2630	42477	921	4835	1802	-3402	5107	52925	53800	53700		
21:45	431	3097	2641	42565	983	3759	1766	-3257	4975	51986	52800	52700		
22:00	365	2760	2622	41906	1004	3650	1742	-2953	4582	51097	51800	51700		
