Journée du 26/09/2000
Heures	Consommation	PrévisionJ-1		
00:00	44000	43799		
00:15	43479	43049		
00:30	42400	42299		
00:45	41560	41549		
01:00	40939	40799		
01:15	41299	41099		
01:30	40900	41400		
01:45	41380	41050		
02:00	40779	40700		
02:15	41009	40149		
02:30	39990	39599		
02:45	39310	38799		
03:00	38349	38000		
03:15	37919	37549		
03:30	37580	37099		
03:45	37159	36899		
04:00	37119	36700		
04:15	37139	36600		
04:30	36930	36500		
04:45	37040	36700		
05:00	37310	36900		
05:15	37880	37499		
05:30	38430	38099		
05:45	39349	38949		
06:00	40099	39799		
06:15	41680	41499		
06:30	42860	43200		
06:45	44729	44749		
07:00	46619	46299		
07:15	48450	47249		
07:30	49689	48200		
07:45	49479	48800		
08:00	49959	49400		
08:15	50299	49800		
08:30	50479	50200		
08:45	50840	50550		
09:00	50970	50900		
09:15	51200	51150		
09:30	51279	51400		
09:45	51580	51499		
10:00	51599	51599		
10:15	51729	51699		
10:30	51720	51799		
10:45	51959	52049		
11:00	51840	52299		
11:15	52119	52349		
11:30	52060	52400		
11:45	52409	52499		
12:00	52409	52599		
12:15	51580	51999		
12:30	51669	51400		
12:45	52610	51900		
13:00	51709	52400		
13:15	51790	51849		
13:30	51689	51299		
13:45	51689	51499		
14:00	51549	51700		
14:15	51779	51399		
14:30	51259	51099		
14:45	51200	50599		
15:00	50849	50099		
15:15	50200	49749		
15:30	50000	49400		
15:45	49509	49200		
16:00	49509	49000		
16:15	49209	48750		
16:30	48869	48500		
16:45	48689	48299		
17:00	48299	48099		
17:15	48040	47849		
17:30	47599	47599		
17:45	47360	47549		
18:00	47189	47500		
18:15	47240	47799		
18:30	47909	48099		
18:45		48699		
19:00		49299		
19:15		49599		
19:30		49900		
19:45		50599		
20:00		51299		
20:15		50549		
20:30		49799		
20:45		49049		
21:00		48299		
21:15		47499		
21:30		46700		
21:45		45999		
22:00		45299		
22:15		45549		
22:30		45799		
22:45		46349		
23:00		46900		
23:15		46150		
23:30		45400		
23:45		44749		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
