Journée du 05/09/2002
Heures	Consommation	PrévisionJ-1		
00:00	44549	45599		
00:15	43299	44549		
00:30	42290	43500		
00:45	41770	42850		
01:00	42119	42200		
01:15	41860	42450		
01:30	42099	42700		
01:45	41560	42550		
02:00	41889	42400		
02:15	40919	41749		
02:30	40150	41099		
02:45	39419	40549		
03:00	38950	40000		
03:15	38520	39500		
03:30	38009	39000		
03:45	37819	38649		
04:00	37729	38299		
04:15	37830	38149		
04:30	37669	38000		
04:45	37869	38149		
05:00	38729	38299		
05:15	38959	38799		
05:30	39650	39299		
05:45	40560	40249		
06:00	42000	41200		
06:15	43169	42350		
06:30	44459	43500		
06:45	46229	44850		
07:00	47700	46200		
07:15	48459	47200		
07:30	49240	48200		
07:45	49889	49149		
08:00	51049	50099		
08:15	51180	50649		
08:30	51659	51200		
08:45	52049	51600		
09:00	52759	52000		
09:15	52950	52200		
09:30	53029	52400		
09:45	53180	52700		
10:00	53430	53000		
10:15	53369	53200		
10:30	53689	53400		
10:45	53700	53550		
11:00	53840	53700		
11:15	53830	53749		
11:30	53959	53799		
11:45	53639	53899		
12:00	53020	54000		
12:15	53020	53450		
12:30	53779	52900		
12:45	52930	53499		
13:00	52979	54099		
13:15	52659	53549		
13:30	52840	53000		
13:45	52779	53049		
14:00	52759	53099		
14:15	52310	53249		
14:30	51959	53400		
14:45	51630	52900		
15:00	51139	52400		
15:15	51119	52099		
15:30	50689	51799		
15:45	50430	51399		
16:00	50009	51000		
16:15	50180	50750		
16:30	49970	50500		
16:45	49430	50149		
17:00	49029	49799		
17:15	48779	49549		
17:30	48770	49299		
17:45	48939	49149		
18:00	48590	49000		
18:15	48990	49250		
18:30	49240	49500		
18:45	49630	50049		
19:00	49400	50599		
19:15	49080	50349		
19:30	48580	50099		
19:45	48310	49749		
20:00	48430	49400		
20:15	48939	49650		
20:30	49639	49900		
20:45	49349	50249		
21:00	48450	50599		
21:15	47650	49699		
21:30	47069	48799		
21:45	45840	47899		
22:00	47069	47000		
22:15	46959	47200		
22:30	47639	47400		
22:45	46700	48200		
23:00	46159	49000		
23:15	45569	47950		
23:30	45830	46900		
23:45		46200		

RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises.
